,storeNumber,countryCode,opening_times,closing_times,duration
0,34638-85784,HK,08:30:00,22:30:00,14:00:00
1,32141-267986,HK,07:30:00,22:00:00,14:30:00
2,15035-155445,HK,08:00:00,22:00:00,14:00:00
3,49646-268445,HK,08:00:00,22:00:00,14:00:00
4,31944-224544,HK,08:00:00,20:30:00,12:30:00
5,21805-215565,HK,08:00:00,21:00:00,13:00:00
6,34610-28207,HK,07:00:00,22:30:00,15:30:00
7,32240-132324,HK,07:30:00,19:00:00,11:30:00
8,31735-116128,HK,08:30:00,21:00:00,12:30:00
9,31601-277585,HK,07:00:00,22:00:00,15:00:00
10,27789-248689,HK,07:30:00,20:00:00,12:30:00
11,31295-106071,HK,07:30:00,22:30:00,15:00:00
12,28087-249911,HK,07:30:00,19:00:00,11:30:00
14,28938-251933,HK,08:00:00,22:00:00,14:00:00
15,31484-108178,HK,07:00:00,20:00:00,13:00:00
16,24822-239032,HK,07:30:00,22:00:00,14:30:00
17,15929-163266,HK,08:00:00,22:00:00,14:00:00
18,16739-175266,HK,08:00:00,00:00:00,16:00:00
19,15498-162224,HK,08:30:00,22:00:00,13:30:00
21,34651-97510,HK,07:30:00,22:30:00,15:00:00
22,23427-230344,HK,08:00:00,22:00:00,14:00:00
23,28086-249917,HK,07:30:00,22:00:00,14:30:00
24,34650-96576,HK,08:00:00,23:30:00,15:30:00
25,47110-256908,HK,08:00:00,23:30:00,15:30:00
26,32539-136288,HK,07:30:00,22:00:00,14:30:00
27,49951-271867,HK,07:30:00,22:00:00,14:30:00
28,22692-223905,HK,08:30:00,22:00:00,13:30:00
30,34628-224530,HK,07:30:00,23:00:00,15:30:00
31,34649-96235,HK,07:00:00,23:30:00,16:30:00
32,21708-214544,HK,07:30:00,22:00:00,14:30:00
33,30619-100432,HK,07:30:00,22:00:00,14:30:00
34,19323-201108,HK,07:30:00,23:00:00,15:30:00
35,19399-201944,HK,08:00:00,22:00:00,14:00:00
36,31644-113449,HK,07:00:00,22:00:00,15:00:00
37,27011-246465,HK,07:30:00,22:30:00,15:00:00
39,26879-245951,HK,08:00:00,21:00:00,13:00:00
40,22442-221224,HK,07:30:00,23:00:00,15:30:00
42,34647-95348,HK,07:30:00,23:30:00,16:00:00
43,31372-107012,HK,07:00:00,21:30:00,14:30:00
