"Timestamp","First and Last Initials (eg. Taylor Weidman -> TW)","What is your favorite color?","What is your age?","How many siblings to you have?","Approximately how many miles away from Pittsburgh is your hometown?","What is/are your major(s)?","What time did you wake up this morning?","Did you like your statistics class?","How excited are you for this class?"
"2025/01/08 5:18:53 PM EST","MA","Blue","21","0","200","Computer Science","07:00","8","9"
"2025/01/08 5:20:16 PM EST","NP","Green","19","0","0","Econ Bio","05:00","5","5"
"2025/01/08 5:21:15 PM EST","MB","Blue","22","1","12","Finance","07:30","7","9"
"2025/01/08 5:21:40 PM EST","MW","Blue","21","1","500","Biochemistry","08:15","8","5"
"2025/01/08 5:21:50 PM EST","AV","Blue","20","1","300","Economics/International Studies Co-major","08:30","8","8"
"2025/01/08 5:21:53 PM EST","IL","Blue","21","1","200","Accounting","07:30","8","10"
"2025/01/08 5:22:11 PM EST","NR","Blue","20","0","200","Economics, Psychology ","06:00","3","5"
"2025/01/08 5:22:25 PM EST","JL","Red","21","1","240","LCJS","10:00","6","8"
"2025/01/08 5:22:44 PM EST","RU","Blue","19","2","10","Finance/Econ","06:30","7","7"
"2025/01/08 5:22:45 PM EST","AL","Red","20","1","0","Economics","09:00","7","10"
"2025/01/08 5:23:00 PM EST","ER","Blue","20","2","170 ","Political Science and History","09:30","7","7"
"2025/01/08 5:23:08 PM EST","AB","Orange","19","1","250","Psych Major Econ Minor","06:00","8","8"
"2025/01/08 5:23:16 PM EST","AM","Red","21","1","480","Law, Criminal Justice, and Society","08:00","7","8"
"2025/01/08 5:23:19 PM EST","LR","Blue","20","3","200","Economics","10:00","5","6"
"2025/01/08 5:23:44 PM EST","SS","Green","22","3","50","Computer Engineering","08:45","5","7"
"2025/01/08 5:23:51 PM EST","EB","Blue","20","1","350","Finance and Accounting ","08:30","5","8"
"2025/01/08 5:23:55 PM EST","BF","Red","19","1","5","Political Science + Economics","04:45","9","8"
"2025/01/08 5:24:22 PM EST","SF","Orange","20","2","309.3","Public Health","07:30","8","8"
"2025/01/08 5:24:28 PM EST","MB","Green","20","2","220 miles","Accounting and Business Information Systems","09:00","7","7"
"2025/01/08 5:24:30 PM EST","LZ","Red","21","0","6900","Econ","09:00","7","9"
"2025/01/08 5:24:40 PM EST","MF","Green","22","5","13","Computer Engineer","08:00","7","7"
"2025/01/08 5:24:45 PM EST","OS","Blue","20","0","350","Psychology ","08:00","7","7"
"2025/01/08 5:25:07 PM EST","GB","Green","20","3","240","Business Information Systems and Supply Chain Management","08:00","2","6"
