Household ID,Number of Children
H001,5
H002,4
H003,4
H004,5
H005,5
H006,1
H007,0
H008,1
H009,3
H010,3
H011,2
H012,2
H013,2
H014,3
H015,4
H016,5
H017,3
H018,3
H019,4
H020,5
H021,4
H022,2
H023,2
H024,1
H025,2
H026,3
H027,0
H028,2
H029,1
H030,4
H031,3
H032,3
H033,3
H034,1
H035,0
H036,5
H037,1
H038,2
H039,5
H040,0
H041,1
H042,5
H043,3
H044,0
H045,2
H046,3
H047,0
H048,3
H049,1
H050,3
H051,0
H052,5
H053,1
H054,4
H055,1
H056,1
H057,3
H058,2
H059,4
H060,0
H061,3
H062,0
H063,4
H064,1
H065,4
H066,0
H067,5
H068,1
H069,0
H070,1
H071,0
H072,1
H073,2
H074,5
H075,1
H076,2
H077,0
H078,5
H079,3
H080,1
H081,4
H082,4
H083,4
H084,2
H085,3
H086,2
H087,5
H088,3
H089,4
H090,3
H091,1
H092,0
H093,4
H094,1
H095,1
H096,0
H097,3
H098,0
H099,3
H100,0
