,year_month,price,year,month
0,1973-08,0.65484,1973,8
1,1973-09,0.6527,1973,9
2,1973-10,0.659552380952381,1973,10
3,1973-11,0.64681,1973,11
4,1973-12,0.6709368421052632,1973,12
5,1974-01,0.7169909090909091,1974,1
6,1974-02,0.7565500000000001,1974,2
7,1974-03,0.7321761904761905,1974,3
8,1974-04,0.714795238095238,1974,4
9,1974-05,0.7309818181818183,1974,5
10,1974-06,0.725355,1974,6
11,1974-07,0.7058590909090909,1974,7
12,1974-08,0.6335909090909091,1974,8
13,1974-09,0.544295,1974,9
14,1974-10,0.5753636363636363,1974,10
15,1974-11,0.6029611111111112,1974,11
16,1974-12,0.5946421052631579,1974,12
17,1975-01,0.5608863636363636,1975,1
18,1975-02,0.5345722222222222,1975,2
19,1975-03,0.51371,1975,3
20,1975-04,0.48064090909090906,1975,4
21,1975-05,0.5203428571428571,1975,5
22,1975-06,0.5614285714285715,1975,6
23,1975-07,0.6314409090909091,1975,7
24,1975-08,0.8466238095238096,1975,8
25,1975-09,0.8145571428571428,1975,9
26,1975-10,0.8096045454545454,1975,10
27,1975-11,0.7747875,1975,11
28,1975-12,0.8397285714285714,1975,12
29,1976-01,0.93162,1976,1
30,1976-02,0.9938833333333333,1976,2
31,1976-03,1.0015565217391305,1976,3
32,1976-04,1.2244904761904762,1976,4
33,1976-05,1.356565,1976,5
34,1976-06,1.4895818181818183,1976,6
35,1976-07,1.3632619047619048,1976,7
36,1976-08,1.5392727272727271,1976,8
37,1976-09,1.5708619047619048,1976,9
38,1976-10,1.7361,1976,10
39,1976-11,1.825236842105263,1976,11
40,1976-12,2.063242857142857,1976,12
41,1977-01,2.1895904761904763,1977,1
42,1977-02,2.4256526315789473,1977,2
43,1977-03,3.0029434782608697,1977,3
44,1977-04,3.175705,1977,4
45,1977-05,2.867504761904762,1977,5
46,1977-06,2.6266363636363637,1977,6
47,1977-07,2.233405263157895,1977,7
48,1977-08,2.0115304347826086,1977,8
49,1977-09,1.7761333333333333,1977,9
50,1977-10,1.612575,1977,10
51,1977-11,1.9698105263157895,1977,11
52,1977-12,1.8336904761904762,1977,12
53,1978-01,1.95384,1978,1
54,1978-02,1.8832764705882354,1978,2
55,1978-03,1.5860999999999998,1978,3
56,1978-04,1.716665,1978,4
57,1978-05,1.607540909090909,1978,5
58,1978-06,1.6617318181818184,1978,6
59,1978-07,1.26388,1978,7
60,1978-08,1.3923304347826089,1978,8
61,1978-09,1.492415,1978,9
62,1978-10,1.5281809523809524,1978,10
63,1978-11,1.456715,1978,11
64,1978-12,1.28106,1978,12
65,1979-01,1.300740909090909,1979,1
66,1979-02,1.2611684210526315,1979,2
67,1979-03,1.3386363636363636,1979,3
68,1979-04,1.4252449999999999,1979,4
69,1979-05,1.5494999999999999,1979,5
70,1979-06,1.9549904761904762,1979,6
71,1979-07,2.0767,1979,7
72,1979-08,2.052482608695652,1979,8
73,1979-09,2.117157894736842,1979,9
74,1979-10,2.1373391304347824,1979,10
75,1979-11,2.1504190476190477,1979,11
76,1979-12,1.9250789473684211,1979,12
77,1980-01,1.7226363636363637,1980,1
78,1980-02,1.6966736842105263,1980,2
79,1980-03,1.8930952380952382,1980,3
80,1980-04,1.8373857142857142,1980,4
81,1980-05,1.9770714285714288,1980,5
82,1980-06,1.849909523809524,1980,6
83,1980-07,1.6220681818181817,1980,7
84,1980-08,1.3987190476190476,1980,8
85,1980-09,1.3296428571428571,1980,9
86,1980-10,1.2858913043478262,1980,10
87,1980-11,1.1391222222222224,1980,11
88,1980-12,1.2238095238095237,1980,12
89,1981-01,1.2779500000000001,1981,1
90,1981-02,1.2091105263157893,1981,2
91,1981-03,1.2391590909090908,1981,3
92,1981-04,1.2597380952380952,1981,4
93,1981-05,1.2131,1981,5
94,1981-06,0.9716681818181818,1981,6
95,1981-07,1.0816590909090908,1981,7
96,1981-08,1.1379095238095238,1981,8
97,1981-09,1.1645714285714286,1981,9
98,1981-10,1.349931818181818,1981,10
99,1981-11,1.440225,1981,11
100,1981-12,1.363357142857143,1981,12
101,1982-01,1.4027749999999999,1982,1
102,1982-02,1.5260421052631579,1982,2
103,1982-03,1.3738478260869567,1982,3
104,1982-04,1.3516095238095238,1982,4
105,1982-05,1.2676,1982,5
106,1982-06,1.3735272727272727,1982,6
107,1982-07,1.243857142857143,1982,7
108,1982-08,1.3050045454545456,1982,8
109,1982-09,1.342690476190476,1982,9
110,1982-10,1.4097380952380953,1982,10
111,1982-11,1.3774799999999998,1982,11
112,1982-12,1.318690476190476,1982,12
113,1983-01,1.2794285714285714,1983,1
114,1983-02,1.2487894736842104,1983,2
115,1983-03,1.2308913043478262,1983,3
116,1983-04,1.23408,1983,4
117,1983-05,1.2844285714285715,1983,5
118,1983-06,1.2606454545454546,1983,6
119,1983-07,1.2769499999999998,1983,7
120,1983-08,1.287786956521739,1983,8
121,1983-09,1.3214761904761905,1983,9
122,1983-10,1.4214285714285715,1983,10
123,1983-11,1.4700904761904763,1983,11
124,1983-12,1.4525000000000001,1983,12
125,1984-01,1.42,1984,1
126,1984-02,1.443905,1984,2
127,1984-03,1.4627272727272727,1984,3
128,1984-04,1.503935,1984,4
129,1984-05,1.4932045454545453,1984,5
130,1984-06,1.4635952380952382,1984,6
131,1984-07,1.4141190476190477,1984,7
132,1984-08,1.4583478260869567,1984,8
133,1984-09,1.397657894736842,1984,9
134,1984-10,1.3559782608695652,1984,10
135,1984-11,1.4049333333333334,1984,11
136,1984-12,1.3983157894736842,1984,12
137,1985-01,1.4611363636363637,1985,1
138,1985-02,1.452321052631579,1985,2
139,1985-03,1.4358571428571427,1985,3
140,1985-04,1.4330285714285713,1985,4
141,1985-05,1.4494772727272727,1985,5
142,1985-06,1.443225,1985,6
143,1985-07,1.367952380952381,1985,7
144,1985-08,1.3519409090909091,1985,8
145,1985-09,1.3712894736842105,1985,9
146,1985-10,1.4513636363636364,1985,10
147,1985-11,1.5914199999999998,1985,11
148,1985-12,2.04705,1985,12
149,1986-01,2.410840909090909,1986,1
150,1986-02,2.3271526315789473,1986,2
151,1986-03,2.4571750000000003,1986,3
152,1986-04,2.3054,1986,4
153,1986-05,2.1602619047619047,1986,5
154,1986-06,1.804357142857143,1986,6
155,1986-07,1.781785714285714,1986,7
156,1986-08,1.7805666666666666,1986,8
157,1986-09,2.057857142857143,1986,9
158,1986-10,1.8310434782608696,1986,10
159,1986-11,1.6089055555555556,1986,11
160,1986-12,1.403452380952381,1986,12
161,1987-01,1.271,1987,1
162,1987-02,1.2338631578947368,1987,2
163,1987-03,1.061,1987,3
164,1987-04,1.1078476190476192,1987,4
165,1987-05,1.21455,1987,5
166,1987-06,1.0836045454545455,1987,6
167,1987-07,1.0364545454545455,1987,7
168,1987-08,1.0624809523809524,1987,8
169,1987-09,1.1548571428571428,1987,9
170,1987-10,1.2282727272727274,1987,10
171,1987-11,1.268184210526316,1987,11
172,1987-12,1.2838181818181817,1987,12
173,1988-01,1.287825,1988,1
174,1988-02,1.37318,1988,2
175,1988-03,1.348108695652174,1988,3
176,1988-04,1.34112,1988,4
177,1988-05,1.3360238095238095,1988,5
178,1988-06,1.3553181818181819,1988,6
179,1988-07,1.339675,1988,7
180,1988-08,1.1976652173913043,1988,8
181,1988-09,1.274190476190476,1988,9
182,1988-10,1.2459761904761906,1988,10
183,1988-11,1.259065,1988,11
184,1988-12,1.3859285714285714,1988,12
185,1989-01,1.4417142857142857,1989,1
186,1989-02,1.3188315789473684,1989,2
187,1989-03,1.3020227272727274,1989,3
188,1989-04,1.355115,1989,4
189,1989-05,1.3077045454545455,1989,5
190,1989-06,1.196490909090909,1989,6
191,1989-07,0.8776249999999999,1989,7
192,1989-08,0.8073913043478261,1989,8
193,1989-09,0.8256249999999999,1989,9
194,1989-10,0.7255909090909091,1989,10
195,1989-11,0.750075,1989,11
196,1989-12,0.78145,1989,12
197,1990-01,0.8065227272727273,1990,1
198,1990-02,0.8605315789473685,1990,2
199,1990-03,0.946409090909091,1990,3
200,1990-04,0.94817,1990,4
201,1990-05,0.9432272727272728,1990,5
202,1990-06,0.8941904761904761,1990,6
203,1990-07,0.8823095238095239,1990,7
204,1990-08,0.9543565217391304,1990,8
205,1990-09,0.9704999999999999,1990,9
206,1990-10,0.9240652173913043,1990,10
207,1990-11,0.8509249999999999,1990,11
208,1990-12,0.9140000000000001,1990,12
209,1991-01,0.8705454545454546,1991,1
210,1991-02,0.8852210526315789,1991,2
211,1991-03,0.9360250000000001,1991,3
212,1991-04,0.9110545454545455,1991,4
213,1991-05,0.8817954545454545,1991,5
214,1991-06,0.8550449999999999,1991,6
215,1991-07,0.8368095238095238,1991,7
216,1991-08,0.8181090909090909,1991,8
217,1991-09,0.8988250000000001,1991,9
218,1991-10,0.8155652173913043,1991,10
219,1991-11,0.7910736842105264,1991,11
220,1991-12,0.796,1991,12
