,date,nominal_price,date_column,year,today,cpi
0,8/20/73,0.6735,8/20/73,1973,0.141221374,44.4
1,8/21/73,0.671,8/21/73,1973,0.141221374,44.4
2,8/22/73,0.658,8/22/73,1973,0.141221374,44.4
3,8/23/73,0.6675,8/23/73,1973,0.141221374,44.4
4,8/24/73,0.666,8/24/73,1973,0.141221374,44.4
5,8/27/73,0.659,8/27/73,1973,0.141221374,44.4
6,8/28/73,0.64,8/28/73,1973,0.141221374,44.4
7,8/29/73,0.6345,8/29/73,1973,0.141221374,44.4
8,8/30/73,0.6387,8/30/73,1973,0.141221374,44.4
9,8/31/73,0.6402,8/31/73,1973,0.141221374,44.4
10,9/4/73,0.6432,9/4/73,1973,0.141221374,44.4
11,9/5/73,0.637,9/5/73,1973,0.141221374,44.4
12,9/6/73,0.636,9/6/73,1973,0.141221374,44.4
13,9/7/73,0.638,9/7/73,1973,0.141221374,44.4
14,9/10/73,0.6335,9/10/73,1973,0.141221374,44.4
15,9/11/73,0.6302,9/11/73,1973,0.141221374,44.4
16,9/12/73,0.6365,9/12/73,1973,0.141221374,44.4
17,9/13/73,0.645,9/13/73,1973,0.141221374,44.4
18,9/14/73,0.6645,9/14/73,1973,0.141221374,44.4
19,9/17/73,0.6575,9/17/73,1973,0.141221374,44.4
20,9/18/73,0.6562,9/18/73,1973,0.141221374,44.4
21,9/19/73,0.6515,9/19/73,1973,0.141221374,44.4
22,9/20/73,0.648,9/20/73,1973,0.141221374,44.4
23,9/21/73,0.6465,9/21/73,1973,0.141221374,44.4
24,9/24/73,0.657,9/24/73,1973,0.141221374,44.4
25,9/25/73,0.673,9/25/73,1973,0.141221374,44.4
26,9/26/73,0.684,9/26/73,1973,0.141221374,44.4
27,9/27/73,0.6855,9/27/73,1973,0.141221374,44.4
28,9/28/73,0.6782,9/28/73,1973,0.141221374,44.4
29,10/1/73,0.68,10/1/73,1973,0.141221374,44.4
30,10/2/73,0.6847,10/2/73,1973,0.141221374,44.4
31,10/3/73,0.6845,10/3/73,1973,0.141221374,44.4
32,10/4/73,0.6812,10/4/73,1973,0.141221374,44.4
33,10/5/73,0.6822,10/5/73,1973,0.141221374,44.4
34,10/9/73,0.677,10/9/73,1973,0.141221374,44.4
35,10/10/73,0.6795,10/10/73,1973,0.141221374,44.4
36,10/11/73,0.6702,10/11/73,1973,0.141221374,44.4
37,10/12/73,0.6507,10/12/73,1973,0.141221374,44.4
38,10/15/73,0.6415,10/15/73,1973,0.141221374,44.4
39,10/16/73,0.6433,10/16/73,1973,0.141221374,44.4
40,10/17/73,0.642,10/17/73,1973,0.141221374,44.4
41,10/18/73,0.6493,10/18/73,1973,0.141221374,44.4
42,10/19/73,0.652,10/19/73,1973,0.141221374,44.4
43,10/23/73,0.652,10/23/73,1973,0.141221374,44.4
44,10/24/73,0.6453,10/24/73,1973,0.141221374,44.4
45,10/25/73,0.6483,10/25/73,1973,0.141221374,44.4
46,10/26/73,0.6478,10/26/73,1973,0.141221374,44.4
47,10/29/73,0.6438,10/29/73,1973,0.141221374,44.4
48,10/30/73,0.6448,10/30/73,1973,0.141221374,44.4
49,10/31/73,0.6505,10/31/73,1973,0.141221374,44.4
50,11/1/73,0.6544,11/1/73,1973,0.141221374,44.4
51,11/2/73,0.6475,11/2/73,1973,0.141221374,44.4
52,11/5/73,0.652,11/5/73,1973,0.141221374,44.4
