region_id,climate_region,avg_temperature,precipitation,elevation,green_infrastructure_score
1,Mountain,6.4,1148,2625,72
2,Mountain,11.0,866,1735,70
3,Coastal,19.8,1287,46,81
4,Coastal,18.7,933,124,83
5,Desert,30.2,255,897,34
6,Coastal,20.3,1181,174,78
7,Coastal,19.1,1443,6,97
8,Coastal,20.1,1156,117,95
9,Coastal,14.9,1041,63,95
10,Plains,19.0,674,275,67
11,Mountain,11.2,874,2053,58
12,Desert,25.4,229,503,41
13,Plains,12.4,846,382,59
14,Mountain,14.6,760,1489,57
15,Desert,29.3,179,1245,35
16,Plains,14.2,929,653,75
17,Mountain,9.7,1027,3101,84
18,Desert,32.1,145,693,34
19,Plains,11.3,752,341,63
20,Plains,17.3,908,597,73
21,Desert,26.3,218,487,39
22,Mountain,5.3,1103,2871,79
23,Coastal,17.6,982,143,76
24,Plains,13.5,818,428,61
25,Coastal,20.7,1346,92,87
26,Mountain,7.8,943,2142,68
27,Desert,31.5,176,936,32
28,Plains,15.8,763,517,65
29,Mountain,12.9,813,1673,54
30,Desert,28.7,233,724,43
31,Coastal,16.5,1128,57,84
32,Plains,18.4,891,356,72
33,Mountain,8.6,968,2519,71
34,Desert,27.2,204,895,38
35,Coastal,21.3,1209,112,82
36,Plains,12.1,782,475,58
37,Mountain,10.5,917,2246,65
38,Desert,30.9,162,568,36
39,Coastal,18.2,1075,86,79
40,Plains,16.2,837,531,64
41,Mountain,7.3,1052,2831,75
42,Desert,25.8,241,957,42
43,Coastal,19.3,1294,104,85
44,Plains,13.9,873,429,62
45,Mountain,11.8,892,1826,63
46,Desert,29.5,198,614,37
47,Coastal,17.1,964,135,77
48,Plains,15.3,906,382,68
49,Mountain,6.8,1079,3014,82
50,Desert,28.3,214,843,40
51,Coastal,20.5,1156,75,80
52,Plains,18.7,748,512,69
53,Mountain,9.2,931,2368,67
54,Desert,26.7,236,733,41
55,Coastal,15.8,1037,148,78
56,Plains,12.7,859,395,60
57,Mountain,13.3,842,1573,56
58,Desert,32.6,152,486,33
59,Coastal,21.7,1389,31,92
60,Plains,17.6,796,543,66
61,Mountain,5.9,1196,2925,78
62,Desert,27.8,223,684,39
63,Coastal,18.9,1103,127,83
64,Plains,11.6,831,364,57
65,Mountain,10.1,975,2194,69
66,Desert,31.1,185,921,35
67,Coastal,16.2,1019,152,81
68,Plains,14.8,928,406,64
69,Mountain,8.2,1016,2742,73
70,Desert,29.8,207,768,38
71,Coastal,20.9,1274,98,86
72,Plains,13.2,867,423,61
73,Mountain,12.4,853,1942,61
74,Desert,26.1,232,614,40
75,Coastal,17.8,1062,119,79
76,Plains,16.5,785,548,65
77,Mountain,7.1,1108,2618,77
78,Desert,30.4,169,872,36
79,Coastal,19.6,1215,135,84
80,Plains,15.1,943,374,63
81,Mountain,10.7,924,2157,66
82,Desert,27.5,228,797,42
83,Coastal,15.5,994,115,76
84,Plains,18.1,815,539,67
85,Mountain,6.2,1175,3256,80
86,Desert,32.3,158,532,34
87,Coastal,21.1,1326,82,88
88,Plains,12.9,798,407,59
89,Mountain,13.7,831,1535,55
90,Desert,28.9,219,658,41
91,Coastal,17.3,973,149,77
92,Plains,14.5,914,392,62
93,Mountain,9.4,958,2409,68
94,Desert,31.7,174,843,37
95,Coastal,20.1,1187,63,81
96,Plains,17.9,767,551,68
97,Mountain,5.6,1119,2953,81
98,Desert,26.5,237,705,43
99,Coastal,18.5,1126,139,82
100,Plains,11.8,825,389,58
