,Continent,Country,Marriage Rate
52,Europe,Albania,7.9
57,Africa,Algeria,9.600000381
62,Oceania,American Samoa,2.599999905
72,Europe,Andorra,3.7
73,Africa,Angola,4.300000191
77,Americas,Anguilla,5.5
80,Americas,Antigua and Barbuda,21.0
92,Americas,Argentina,2.7
106,Asia,Armenia,5.1
111,Americas,Aruba,5.300000191
150,Oceania,Australia,4.6
208,Europe,Austria,5.1
225,Asia,Azerbaijan,6.4
230,Americas,"Bahamas, The",7.900000095
235,Asia,Bahrain,6.400000095
240,Asia,Bangladesh,12.5
244,Americas,Barbados,14.10000038
261,Europe,Belarus,7.0
319,Europe,Belgium,3.9
324,Americas,Belize,6.300000191
329,Americas,Bermuda,13.69999981
334,Americas,Bolivia,2.200000048
381,Europe,Bosnia and Herzegovina,4.8
387,Americas,Brazil,4.699999809
392,Americas,British Virgin Islands,19.60000038
397,Asia,Brunei,5.5
455,Europe,Bulgaria,4.0
504,Americas,Canada,4.4
513,Americas,Cayman Islands,10.19999981
540,Americas,Chile,3.4
548,Asia,China,9.6
550,Americas,Colombia,2.200000048
556,Oceania,Cook Islands,59.0
614,Americas,Costa Rica,5.2
672,Europe,Croatia,4.9
677,Americas,Cuba,5.0
731,Asia,Cyprus,6.8
789,Europe,Czech Republic,5.0
847,Europe,Denmark,5.5
850,Africa,Djibouti,5.400000095
854,Americas,Dominica,4.699999809
859,Americas,Dominican Republic,4.199999809
864,Americas,Ecuador,5.599999905
869,Africa,Egypt,7.199999809
874,Americas,El Salvador,3.5
875,Africa,Equatorial Guinea,0.800000012
933,Europe,Estonia,4.9
934,Africa,Ethiopia,9.300000191
937,Americas,Falkland Islands (Islas Malvinas),8.899999619
942,Europe,Faroe Islands,5.699999809
947,Oceania,Fiji,8.600000381
1004,Europe,Finland,4.8
1030,Europe,France,3.5
1035,Americas,French Guiana,3.099999905
1040,Oceania,French Polynesia,4.400000095
1055,Asia,Georgia,6.4
1113,Europe,Germany,4.9
1118,Europe,Gibraltar,5.599999905
1176,Europe,Greece,4.7
1179,Americas,Greenland,3.700000048
1184,Americas,Grenada,5.0
1189,Americas,Guadeloupe,4.300000191
1194,Oceania,Guam,9.399999619
1199,Americas,Guatemala,4.400000095
1201,Africa,Guinea-Bissau,0.200000003
1204,Americas,Guyana,6.099999905
1206,Europe,Holy See (Vatican City),1.399999976
1211,Americas,Honduras,2.599999905
1269,Europe,Hungary,5.2
1321,Europe,Iceland,4.6
1326,Asia,Indonesia,7.599999905
1331,Asia,Iran,11.0
1336,Asia,Iraq,9.600000381
1394,Europe,Ireland,4.6
1427,Asia,Israel,6.2
1485,Europe,Italy,3.2
1490,Americas,Jamaica,8.699999809
1546,Asia,Japan,4.9
1551,Asia,Jordan,10.39999962
