Timestamp,First and Last Initials (eg. Taylor Weidman -> TW),What is your favorite color?,What is your age?,How many siblings to you have?,Approximately how many miles away from Pittsburgh is your hometown?,What is/are your major(s)?,What time did you wake up this morning?,Did you like your statistics class?,How excited are you for this class?
2025/01/08 3:44:16 PM EST,KL,Red,20,2,0,Psychology,8:00,10,6
2025/01/08 3:57:15 PM EST,MD,Blue,20,3,250,Finance,11:00,5,7
2025/01/08 3:57:15 PM EST,PO,Blue,20,1,15,Economics and Japanese,7:30,7,8
2025/01/08 3:57:17 PM EST,BP,Red,19,3,360,Biology ,8:50,10,10
2025/01/08 3:57:18 PM EST,JM,Blue,21,1,200,Marketing,9:00,7,9
2025/01/08 3:57:18 PM EST,ED,Blue,20,2,400,"Marketing, Economics, Communications ",8:00,4,6
2025/01/08 3:57:21 PM EST,JE,Green,21,1,500,Finance,7:30,7,7
2025/01/08 3:57:23 PM EST,DN,Blue,18,0,300,"Neuroscience, maybe Econ",8:00,6,8
2025/01/08 3:57:29 PM EST,GL,Green,20,4,250,Political science; economics,8:00,4,6
2025/01/08 3:57:38 PM EST,JR,Orange,20,2,250,Psychology,8:30,7,9
2025/01/08 3:57:49 PM EST,KB,Red,20,1,280,Neuroscience ,7:00,7,8
2025/01/08 3:57:49 PM EST,LL,Green,19,2,10 miles,"Economics, Political Science ",6:30,5,7
2025/01/08 3:57:51 PM EST,KG,Blue,20,1,370,Accounting ,8:30,6,7
2025/01/08 3:57:54 PM EST,MK,Blue,19,1,460,Psychology,8:00,7,7
2025/01/08 3:57:57 PM EST,CZ,Blue,21,0,7288,"Phil, Econ, PS",8:00,7,7
2025/01/08 3:58:03 PM EST,RG,Blue,21,1,250,Data Science,8:30,9,7
2025/01/08 3:58:04 PM EST,SB,Green,22,2,350,Accounting,8:30,7,8
2025/01/08 3:58:06 PM EST,NM,Green,20,1,550,Computer Engineering,9:00,5,6
2025/01/08 3:58:15 PM EST,NV,Yellow,20,1,320,Molecular Biology,8:00,7,8
2025/01/08 3:58:18 PM EST,ZT,Blue,19,1,285,Neuroscience ,11:11,6,9
2025/01/08 3:58:18 PM EST,JL,Blue,21,2,1933,Industrial Engineering,8:30,2,3
2025/01/08 3:58:23 PM EST,MC,Blue,18,1,20,Economics and History,7:30,7,7
2025/01/08 3:58:24 PM EST,AD,Blue,21,2,9,communications and anthropology ,7:30,5,6
2025/01/08 3:58:30 PM EST,BD,Blue,21,1,280,Finance ,9:15,7,8
2025/01/08 3:58:35 PM EST,BF,Blue,22,1,300,Actuarial Math,6:00,8,8
2025/01/08 3:58:36 PM EST,DK,Blue,20,3,133,Data Science,9:10,7,7
2025/01/08 3:58:38 PM EST,AB,Blue,18,2,0,Psychology,10:00,7,7
2025/01/08 3:58:41 PM EST,AZ,Green,20,2,98,Health Informatics,7:00,7,9
2025/01/08 3:59:08 PM EST,DM,Blue,19,2,550,Economics,9:30,7,9
2025/01/08 3:59:22 PM EST,TV,Green,22,2,39,Finance and Accounting ,8:30,7,7
2025/01/08 3:59:26 PM EST,JH,Red,18,1,200,Economics and Statistics,10:00,7,8
2025/01/08 3:59:47 PM EST,JK,Blue,21,2,300,Industrial Engineering,10:00,7,8
2025/01/08 4:00:06 PM EST,KB,Yellow,19,1,670,Economics,9:00,6,5
2025/01/08 4:00:29 PM EST,JG,Green,20,2,286,Political Science,8:00,7,8
2025/01/08 4:00:36 PM EST,JB,Red,19,2,320,Intended Finance and Business Analytics,8:30,4,8
2025/01/08 4:00:40 PM EST,LM,Blue,19,1,275,Statistics Major and Econ Minor,7:45,8,9
2025/01/08 4:00:47 PM EST,IL,Blue,20,0,300,Applied Math,7:30,10,10
2025/01/08 4:01:00 PM EST,RDJ,Blue,20,1,304.2,finance and minor in economics ,7:00,9,10
2025/01/08 4:01:24 PM EST,EK,Red,20,2,250,Economics ,9:00,8,8
2025/01/08 4:01:34 PM EST,TM,Blue,20,2,200,Computer Engineering,8:30,8,8
