ID,Economic Optimism
B001,Somewhat Pessimistic
B002,Very Pessimistic
B003,Somewhat Optimistic
B004,Very Optimistic
B005,Somewhat Pessimistic
B006,Very Pessimistic
B007,Neutral
B008,Somewhat Pessimistic
B009,Very Pessimistic
B010,Somewhat Optimistic
B011,Somewhat Pessimistic
B012,Somewhat Optimistic
B013,Very Pessimistic
B014,Somewhat Pessimistic
B015,Neutral
B016,Somewhat Pessimistic
B017,Somewhat Optimistic
B018,Neutral
B019,Very Pessimistic
B020,Somewhat Optimistic
B021,Neutral
B022,Very Optimistic
B023,Very Optimistic
B024,Somewhat Pessimistic
B025,Very Optimistic
B026,Somewhat Pessimistic
B027,Somewhat Optimistic
B028,Somewhat Optimistic
B029,Very Optimistic
B030,Very Optimistic
B031,Very Pessimistic
B032,Very Optimistic
B033,Very Pessimistic
B034,Somewhat Optimistic
B035,Neutral
B036,Somewhat Pessimistic
B037,Very Pessimistic
B038,Very Pessimistic
B039,Neutral
B040,Somewhat Optimistic
B041,Somewhat Optimistic
B042,Somewhat Optimistic
B043,Neutral
B044,Neutral
B045,Very Pessimistic
B046,Very Pessimistic
B047,Somewhat Pessimistic
B048,Neutral
B049,Very Optimistic
B050,Very Pessimistic
B051,Somewhat Optimistic
B052,Somewhat Optimistic
B053,Very Pessimistic
B054,Very Pessimistic
B055,Very Pessimistic
B056,Somewhat Optimistic
B057,Somewhat Pessimistic
B058,Very Pessimistic
B059,Neutral
B060,Very Optimistic
B061,Very Optimistic
B062,Somewhat Optimistic
B063,Somewhat Pessimistic
B064,Somewhat Pessimistic
B065,Very Optimistic
B066,Very Pessimistic
B067,Neutral
B068,Very Pessimistic
B069,Very Optimistic
B070,Somewhat Optimistic
B071,Very Pessimistic
B072,Very Pessimistic
B073,Very Optimistic
B074,Somewhat Pessimistic
B075,Neutral
B076,Neutral
B077,Somewhat Optimistic
B078,Neutral
B079,Neutral
B080,Somewhat Pessimistic
B081,Very Pessimistic
B082,Somewhat Pessimistic
B083,Somewhat Pessimistic
B084,Very Optimistic
B085,Neutral
B086,Somewhat Pessimistic
B087,Very Pessimistic
B088,Somewhat Optimistic
B089,Neutral
B090,Somewhat Pessimistic
B091,Very Optimistic
B092,Somewhat Pessimistic
B093,Neutral
B094,Somewhat Pessimistic
B095,Somewhat Optimistic
B096,Somewhat Pessimistic
B097,Neutral
B098,Very Optimistic
B099,Somewhat Pessimistic
B100,Very Pessimistic
