Month-Year,GDP (Million USD)
Jan-2010,1021.42
Feb-2010,1036.1
Mar-2010,1755.75
Apr-2010,1109.8
May-2010,2608.41
Jun-2010,2723.85
Jul-2010,2655.34
Aug-2010,1562.08
Sep-2010,2045.44
Oct-2010,2852.26
Nov-2010,1686.72
Dec-2010,2405.33
Jan-2011,2774.14
Feb-2011,2259.29
Mar-2011,1047.05
Apr-2011,1477.84
May-2011,1906.91
Jun-2011,2265.84
Jul-2011,1630.08
Aug-2011,1649.08
Sep-2011,2154.52
Oct-2011,1094.77
Nov-2011,1139.85
Dec-2011,2864.15
Jan-2012,1119.7
Feb-2012,2422.54
Mar-2012,2414.02
Apr-2012,1912.75
May-2012,2114.8
Jun-2012,1150.55
Jul-2012,2307.4
Aug-2012,1441.91
Sep-2012,2913.94
Oct-2012,1495.58
Nov-2012,1790.51
Dec-2012,1706.36
Jan-2013,2814.91
Feb-2013,2179.16
Mar-2013,2273.71
Apr-2013,1380.19
May-2013,1797.29
Jun-2013,2976.46
Jul-2013,1189.37
Aug-2013,2015.82
Sep-2013,1826.71
Oct-2013,2649.09
Nov-2013,2459.08
Dec-2013,2348.21
Jan-2014,2921.56
Feb-2014,1182.7
Mar-2014,2948.95
Apr-2014,2143.33
May-2014,1407.99
Jun-2014,1433.2
Jul-2014,2325.97
Aug-2014,2671.56
Sep-2014,2062.95
Oct-2014,1398.43
Nov-2014,1112.58
Dec-2014,2531.6
Jan-2015,1348.93
Feb-2015,1561.28
Mar-2015,2875.23
Apr-2015,2922.86
May-2015,2936.83
Jun-2015,1953.44
Jul-2015,1703.52
Aug-2015,1743.77
Sep-2015,1744.7
Oct-2015,1611.56
Nov-2015,2564.75
Dec-2015,1519.66
Jan-2016,2717.37
Feb-2016,1763.6
Mar-2016,1760.45
Apr-2016,2242.71
May-2016,2171.46
Jun-2016,2999.52
Jul-2016,2093.07
Aug-2016,1160.39
Sep-2016,2642.97
Oct-2016,1001.72
Nov-2016,2531.12
Dec-2016,1608.84
Jan-2017,2004.35
Feb-2017,1102.54
Mar-2017,1298.41
Apr-2017,1672.56
May-2017,1129.98
Jun-2017,2363.35
Jul-2017,1839.89
Aug-2017,2433.67
Sep-2017,2170.04
Oct-2017,1574.97
Nov-2017,1576.77
Dec-2017,1512.47
Jan-2018,2526.28
Feb-2018,1572.81
Mar-2018,1263.62
Apr-2018,2467.51
May-2018,1450.99
Jun-2018,1239.19
Jul-2018,2607.49
Aug-2018,1842.59
Sep-2018,2723.78
Oct-2018,1100.0
Nov-2018,2077.15
Dec-2018,1293.49
Jan-2019,2616.38
Feb-2019,1118.74
Mar-2019,1693.48
Apr-2019,1851.19
May-2019,1560.52
Jun-2019,2179.48
Jul-2019,2010.19
Aug-2019,1612.27
Sep-2019,1308.26
Oct-2019,1307.86
Nov-2019,2425.85
Dec-2019,1427.05
