date,year,month,sales
2015-01,2015,1,383.4
2015-02,2015,2,410.1
2015-03,2015,3,465.8
2015-04,2015,4,472.4
2015-05,2015,5,495.0
2015-06,2015,6,499.8
2015-07,2015,7,480.8
2015-08,2015,8,489.8
2015-09,2015,9,481.6
2015-10,2015,10,495.3
2015-11,2015,11,526.1
2015-12,2015,12,562.5
2016-01,2016,1,385.2
2016-02,2016,2,412.6
2016-03,2016,3,468.9
2016-04,2016,4,476.3
2016-05,2016,5,500.1
2016-06,2016,6,504.8
2016-07,2016,7,486.1
2016-08,2016,8,494.2
2016-09,2016,9,486.9
2016-10,2016,10,500.7
2016-11,2016,11,531.9
2016-12,2016,12,568.7
2017-01,2017,1,389.1
2017-02,2017,2,416.7
2017-03,2017,3,473.6
2017-04,2017,4,480.6
2017-05,2017,5,504.1
2017-06,2017,6,510.4
2017-07,2017,7,490.0
2017-08,2017,8,499.2
2017-09,2017,9,491.8
2017-10,2017,10,506.2
2017-11,2017,11,538.3
2017-12,2017,12,575.6
2018-01,2018,1,392.2
2018-02,2018,2,421.3
2018-03,2018,3,478.8
2018-04,2018,4,485.9
2018-05,2018,5,509.7
2018-06,2018,6,516.1
2018-07,2018,7,495.4
2018-08,2018,8,504.7
2018-09,2018,9,497.2
2018-10,2018,10,512.3
2018-11,2018,11,545.3
2018-12,2018,12,582.8
2019-01,2019,1,396.9
2019-02,2019,2,425.5
2019-03,2019,3,484.5
2019-04,2019,4,491.8
2019-05,2019,5,515.8
2019-06,2019,6,522.2
2019-07,2019,7,500.8
2019-08,2019,8,510.8
2019-09,2019,9,503.1
2019-10,2019,10,518.0
2019-11,2019,11,551.9
2019-12,2019,12,590.5
2020-01,2020,1,400.9
2020-02,2020,2,430.3
2020-03,2020,3,468.7
2020-04,2020,4,451.0
2020-05,2020,5,494.3
2020-06,2020,6,527.9
2020-07,2020,7,515.8
2020-08,2020,8,516.3
2020-09,2020,9,509.4
2020-10,2020,10,525.3
2020-11,2020,11,559.1
2020-12,2020,12,598.7
