community,wealth_gap,heat_intensity
Riverdale,5.2,3.1
Oakwood,7.8,4.7
Pinecrest,3.4,2.3
Highland,8.5,5.2
Westside,6.1,3.8
Marina District,9.2,5.6
Northgate,4.5,2.8
Downtown,8.9,5.4
Eastwood,6.7,4.0
Brookfield,5.8,3.5
Southbank,7.3,4.4
Meadowview,4.1,2.6
Sunset Heights,8.0,4.9
Lakeshore,6.4,3.9
Mill Creek,3.9,2.5
Hillcrest,7.5,4.5
Glenwood,5.5,3.3
Fairview,9.5,5.8
Roseville,4.8,2.9
Cedar Heights,8.3,5.0
University District,6.9,4.2
Springfield,3.6,2.4
Elmwood,7.0,4.3
Parkside,5.0,3.0
Garden Grove,8.7,5.3
Beacon Hill,4.3,2.7
Newport,9.7,5.9
Bayside,5.6,3.4
Valleyview,7.6,4.6
Forest Park,4.0,2.5
Centennial,8.2,5.0
Belmont,6.3,3.8
Willowbrook,3.8,2.4
Harbor View,9.0,5.5
Greenfield,5.3,3.2
Cherry Hill,7.9,4.8
Old Town,4.6,2.8
Pacific Heights,9.3,5.7
Golden Gate,6.5,3.9
Ridgewood,8.1,4.9
