Household ID,Year,Income (USD)
H001,2010,34610.47
H001,2011,45559.97
H001,2012,83698.17
H001,2013,115593.13
H001,2014,47060.79
H001,2015,111979.45
H001,2016,83791.84
H001,2017,62145.45
H001,2018,66787.31
H001,2019,97037.22
H002,2010,31368.41
H002,2011,75113.35
H002,2012,74253.32
H002,2013,118540.23
H002,2014,103901.58
H002,2015,110971.71
H002,2016,70355.56
H002,2017,57550.23
H002,2018,53215.82
H002,2019,80723.14
H003,2010,104914.0
H003,2011,68447.51
H003,2012,76023.95
H003,2013,83670.55
H003,2014,70053.44
H003,2015,86736.89
H003,2016,91052.19
H003,2017,79884.06
H003,2018,42136.84
H003,2019,34423.13
H004,2010,90856.97
H004,2011,30472.06
H004,2012,34441.05
H004,2013,37626.38
H004,2014,86203.65
H004,2015,106630.56
H004,2016,82186.64
H004,2017,114947.19
H004,2018,88578.73
H004,2019,46650.54
H005,2010,84594.82
H005,2011,43576.92
H005,2012,116664.26
H005,2013,46386.03
H005,2014,107053.41
H005,2015,50782.02
H005,2016,94683.47
H005,2017,30734.1
H005,2018,57612.56
H005,2019,76215.52
H006,2010,34654.12
H006,2011,91557.92
H006,2012,50328.88
H006,2013,65055.39
H006,2014,32991.41
H006,2015,77219.24
H006,2016,77573.29
H006,2017,95148.01
H006,2018,43423.83
H006,2019,70995.69
H007,2010,113864.7
H007,2011,54135.76
H007,2012,83636.92
H007,2013,36330.62
H007,2014,79351.98
H007,2015,64277.84
H007,2016,50229.3
H007,2017,39203.07
H007,2018,49018.81
H007,2019,106717.72
H008,2010,107504.73
H008,2011,31658.3
H008,2012,80436.6
H008,2013,110701.24
H008,2014,118440.0
H008,2015,69636.74
H008,2016,101544.16
H008,2017,85598.71
H008,2018,100804.83
H008,2019,52508.78
H009,2010,115851.55
H009,2011,32791.31
H009,2012,113471.78
H009,2013,45076.88
H009,2014,37822.43
H009,2015,84769.66
H009,2016,105544.43
H009,2017,109017.78
H009,2018,116852.94
H009,2019,115506.79
H010,2010,105074.68
H010,2011,103293.28
H010,2012,67568.79
H010,2013,101234.71
H010,2014,71396.18
H010,2015,48657.89
H010,2016,76106.49
H010,2017,93761.98
H010,2018,49040.2
H010,2019,117567.96
H011,2010,98790.47
H011,2011,84099.42
H011,2012,106978.62
H011,2013,89101.15
H011,2014,94496.99
H011,2015,85714.35
H011,2016,89299.92
H011,2017,61041.22
H011,2018,99834.42
H011,2019,115477.25
H012,2010,36005.13
H012,2011,75293.34
H012,2012,100181.04
H012,2013,46141.99
H012,2014,76337.68
H012,2015,111916.29
H012,2016,53110.85
H012,2017,84517.43
H012,2018,100932.25
H012,2019,34545.42
H013,2010,30716.52
H013,2011,44435.38
H013,2012,98785.01
H013,2013,67903.3
H013,2014,71619.69
H013,2015,102021.68
H013,2016,51196.47
H013,2017,74458.86
H013,2018,97586.35
H013,2019,69852.67
H014,2010,110290.49
H014,2011,81104.07
H014,2012,64588.51
H014,2013,81474.28
H014,2014,50113.07
H014,2015,45605.73
H014,2016,32152.16
H014,2017,67429.24
H014,2018,53277.95
H014,2019,83197.28
H015,2010,107288.13
H015,2011,69207.06
H015,2012,50918.95
H015,2013,34892.42
H015,2014,99592.35
H015,2015,64532.39
H015,2016,89045.08
H015,2017,49954.34
H015,2018,45049.59
H015,2019,69757.56
H016,2010,54338.24
H016,2011,74461.37
H016,2012,109870.08
H016,2013,89194.47
H016,2014,46568.56
H016,2015,57639.87
H016,2016,67715.85
H016,2017,98897.88
H016,2018,74121.61
H016,2019,111095.58
H017,2010,113003.39
H017,2011,42199.2
H017,2012,77639.24
H017,2013,85749.12
H017,2014,109425.82
H017,2015,116811.0
H017,2016,71126.1
H017,2017,47797.96
H017,2018,68265.25
H017,2019,73707.56
H018,2010,46235.46
H018,2011,113831.45
H018,2012,95717.27
H018,2013,108834.74
H018,2014,106236.43
H018,2015,51944.82
H018,2016,75610.44
H018,2017,32769.37
H018,2018,47077.04
H018,2019,91624.75
H019,2010,91119.03
H019,2011,34076.7
H019,2012,54949.9
H019,2013,98997.11
H019,2014,63113.9
H019,2015,35430.81
H019,2016,54214.57
H019,2017,108192.71
H019,2018,59243.72
H019,2019,88752.17
H020,2010,109376.76
H020,2011,94275.72
H020,2012,31211.19
H020,2013,99628.47
H020,2014,60616.39
H020,2015,75858.85
H020,2016,115767.18
H020,2017,65801.99
H020,2018,62486.59
H020,2019,65766.41
