,Unnamed: 0,Event,Revenue,Offer ID
0,12657,transaction,34.56,2off10
1,12670,transaction,18.97,2off10
2,12676,transaction,33.9,Bogo 5
3,12688,transaction,18.01,Bogo 10
4,12692,transaction,19.11,Bogo 10
5,12711,transaction,28.39,Bogo 10
6,12714,transaction,28.08,3off7
7,12736,transaction,13.57,Bogo 5
8,12755,transaction,31.42,2off10
9,12757,transaction,27.89,Bogo 10
10,12769,transaction,38.38,Bogo 5
11,12772,transaction,5.78,Bogo 5
12,12773,transaction,14.27,2off10
13,12784,transaction,13.93,Bogo 10
14,12802,transaction,18.97,3off7
15,12810,transaction,30.03,2off10
16,12818,transaction,21.84,3off7
17,12823,transaction,10.37,3off7
18,12843,transaction,19.82,Bogo 10
19,12845,transaction,11.83,Bogo 5
20,12879,transaction,24.8,Bogo 10
21,12914,transaction,6.32,Bogo 5
22,12920,transaction,18.98,Bogo 5
23,12948,transaction,24.98,3off7
24,12963,transaction,15.72,2off10
25,12971,transaction,18.57,2off10
26,12994,transaction,24.38,Bogo 5
27,13008,transaction,25.07,Bogo 5
28,13014,transaction,22.22,2off10
29,13026,transaction,7.66,Bogo 5
30,13034,transaction,12.72,Bogo 5
31,13056,transaction,13.37,Bogo 5
32,13059,transaction,11.62,3off7
33,13066,transaction,5.62,Bogo 5
34,13071,transaction,13.42,Bogo 5
35,13087,transaction,21.34,3off7
36,13093,transaction,39.64,2off10
37,13102,transaction,26.47,Bogo 10
38,13116,transaction,14.93,Bogo 5
39,13141,transaction,11.29,Bogo 5
40,13142,transaction,16.34,2off10
41,13164,transaction,22.87,Bogo 10
42,13174,transaction,7.51,Bogo 5
43,13209,transaction,12.09,Bogo 5
44,13259,transaction,33.56,Bogo 10
45,13305,transaction,26.11,3off7
46,13330,transaction,26.5,Bogo 10
47,13332,transaction,9.08,Bogo 5
48,13333,transaction,21.4,Bogo 10
49,13336,transaction,19.53,Bogo 5
50,13344,transaction,14.57,2off10
51,13357,transaction,16.76,Bogo 5
52,13376,transaction,11.1,Bogo 10
53,13380,transaction,16.32,Bogo 5
54,13388,transaction,10.96,2off10
55,13405,transaction,37.34,Bogo 10
56,13415,transaction,15.22,Bogo 5
57,13422,transaction,13.67,Bogo 10
58,13435,transaction,23.03,3off7
59,13474,transaction,20.18,Bogo 5
60,13478,transaction,12.06,Bogo 5
61,13491,transaction,34.01,2off10
62,13494,transaction,23.08,Bogo 5
63,13498,transaction,10.25,3off7
