,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE
296306,1202H00136000000,15143,9/10/13,530960.0,2.0,2013.0,11.0,5.0,3.0,1.0,4435.0,5.725061804633986
125627,0382E00004000000,15132,12/31/79,3500.0,2.0,1925.0,8.0,4.0,2.0,0.0,2228.0,3.5440680443502757
45045,0088S00003000000,15217,11/21/14,655000.0,2.0,2014.0,6.0,3.0,2.0,1.0,2976.0,5.816241299991783
171940,0299B00100000000,15221,5/31/18,200000.0,2.0,1928.0,6.0,3.0,1.0,1.0,2218.0,5.301029995663981
265608,0316R00212000000,15236,10/15/87,52000.0,1.0,1954.0,5.0,3.0,1.0,0.0,900.0,4.7160033436347994
229708,0546M00215000000,15035,8/1/05,115710.0,1.5,1939.0,6.0,3.0,2.0,0.0,1461.0,5.063370893585704
205564,0168L00356000000,15215,8/2/85,52000.0,2.0,1979.0,5.0,3.0,1.0,1.0,1368.0,4.7160033436347994
382891,0292B00032000000,15238,5/14/01,10.0,1.0,1970.0,7.0,3.0,1.0,0.0,1092.0,1.0
246104,0314G00040000000,15236,10/28/16,150000.0,1.0,1961.0,6.0,3.0,2.0,1.0,1898.0,5.176091259055681
407243,0047H00334000000,15212,9/24/02,30000.0,2.0,1905.0,3.0,1.0,1.0,1.0,1152.0,4.477121254719663
330212,2204N00279000000,15065,11/4/10,169500.0,1.5,1957.0,6.0,3.0,1.0,0.0,2601.0,5.229169702539101
347742,0806B00146000000,15108,6/8/76,38250.0,1.0,1950.0,6.0,3.0,1.0,0.0,1428.0,4.582631439489637
91901,0023F00122000000,15212,12/13/78,11000.0,2.0,1886.0,7.0,4.0,1.0,0.0,1620.0,4.041392685158225
194324,0302A00128000000,15104,4/8/81,12000.0,2.0,1910.0,6.0,3.0,1.0,0.0,1050.0,4.079181246047625
173937,0374B00073000000,15221,4/7/11,82500.0,2.0,1925.0,8.0,4.0,1.0,1.0,1688.0,4.9164539485499255
363788,0825E00046000000,15237,6/3/14,258000.0,1.0,1961.0,7.0,3.0,1.0,1.0,1725.0,5.41161970596323
391494,0368H00335000000,15235,3/29/04,85900.0,1.0,1955.0,4.0,2.0,1.0,0.0,750.0,4.933993163831242
355258,0191B00196000000,15228,9/4/87,143200.0,2.0,1938.0,7.0,3.0,1.0,1.0,2148.0,5.155943017971837
260848,0888F00108161400,15102,11/21/16,122000.0,2.0,1982.0,4.0,2.0,1.0,1.0,1144.0,5.086359830674748
264712,0246F00182000000,15227,9/23/10,60000.0,1.5,1942.0,6.0,3.0,2.0,1.0,1256.0,4.778151250383644
381842,0290G00018000000,15238,6/13/03,340000.0,2.0,1955.0,8.0,4.0,2.0,1.0,2614.0,5.531478917042255
379111,0548S00153000000,15137,11/1/99,69900.0,1.0,1956.0,4.0,2.0,1.0,0.0,1200.0,4.8444771757456815
397770,0535J00019000000,15147,1/31/13,111500.0,1.0,1964.0,6.0,3.0,1.0,2.0,1564.0,5.047274867384179
224720,0233D00251001300,15221,3/11/09,464000.0,1.0,1980.0,3.0,1.0,1.0,0.0,504.0,5.666517980554881
205398,0168K00166000000,15215,11/16/05,60000.0,2.0,1920.0,8.0,4.0,1.0,0.0,3113.0,4.778151250383644
362092,0714M00212000000,15237,7/11/15,249900.0,1.0,1978.0,6.0,3.0,1.0,1.0,1712.0,5.39776625612645
364591,0826J00051000000,15237,12/9/74,36000.0,1.0,1948.0,7.0,3.0,1.0,0.0,1372.0,4.556302500767287
336083,0156H00147000000,15108,12/15/04,130000.0,1.0,1956.0,5.0,3.0,1.0,1.0,1230.0,5.113943352306837
139226,0215S00231000000,15202,3/9/18,95000.0,2.5,1900.0,8.0,4.0,2.0,0.0,2194.0,4.977723605288848
41637,0086C00043000000,15217,12/29/87,160000.0,2.5,1924.0,9.0,6.0,2.0,1.0,3206.0,5.204119982655925
149495,0066K00034000000,15106,2/24/10,74900.0,2.0,1935.0,6.0,2.0,1.0,0.0,1200.0,4.874481817699467
280007,0979R00137000000,15146,10/8/86,85500.0,1.0,1940.0,7.0,3.0,2.0,1.0,1735.0,4.931966114728173
271408,1006C00050005400,15025,6/2/14,35000.0,1.0,1985.0,3.0,1.0,1.0,0.0,716.0,4.544068044350276
161001,0068G00264000000,15205,1/29/15,222500.0,2.0,1950.0,8.0,3.0,1.0,2.0,1874.0,5.347330015316951
339699,1999F00025000000,15086,2/29/88,12900.0,1.0,1940.0,6.0,3.0,1.0,0.0,728.0,4.110589710299249
277820,0857K00233010300,15146,3/30/15,157000.0,1.5,1995.0,5.0,2.0,2.0,0.0,1598.0,5.195899652409234
240773,0471H00243000000,15236,10/22/02,75000.0,1.0,1955.0,6.0,3.0,2.0,0.0,1065.0,4.8750612633917
157421,0341D00089000000,15108,7/30/93,12500.0,2.0,1930.0,6.0,2.0,1.0,0.0,1084.0,4.096910013008056
53714,0056P00154000000,15207,6/30/06,7500.0,2.5,1899.0,8.0,5.0,1.0,0.0,2792.0,3.8750612633917
304621,0959H00214000000,15030,1/7/03,40000.0,2.0,1910.0,8.0,4.0,2.0,0.0,2000.0,4.6020599913279625
104798,0040L00039000000,15205,2/27/15,152500.0,2.0,1929.0,8.0,4.0,2.0,0.0,2698.0,5.183269843682805
17346,0051D00122000000,15232,6/13/13,253000.0,2.5,1907.0,12.0,7.0,3.0,1.0,4450.0,5.4031205211758175
269800,0768P00080000000,15025,6/17/10,95500.0,1.0,1953.0,4.0,2.0,1.0,0.0,832.0,4.980003371583746
255887,0567P00074000000,15102,8/15/86,73000.0,1.0,1965.0,6.0,2.0,1.0,1.0,1329.0,4.863322860120456
401211,0632S00234000000,15235,10/30/95,33000.0,2.0,1925.0,4.0,2.0,1.0,0.0,1024.0,4.518513939877887
260082,0887A0024000A800,15102,4/17/14,98500.0,2.0,1987.0,5.0,2.0,1.0,1.0,1056.0,4.993436230497612
389071,0364H00063000000,15147,7/18/18,44000.0,2.0,1927.0,7.0,3.0,2.0,0.0,1338.0,4.643452676486188
47763,0129H00008000000,15218,6/4/14,147000.0,2.0,1939.0,6.0,3.0,2.0,1.0,1256.0,5.1673173347481764
278793,0859M00107000000,15146,8/5/83,74500.0,1.0,1974.0,6.0,3.0,1.0,0.0,1518.0,4.872156272748293
161925,0062N00267000000,15226,9/25/12,91500.0,2.0,1924.0,7.0,4.0,1.0,1.0,2710.0,4.9614210940664485
174081,0374B00144000000,15221,5/27/80,44000.0,2.0,1930.0,6.0,3.0,1.0,0.0,1220.0,4.643452676486188
14389,0084K00026000000,15232,10/24/96,939000.0,2.5,1900.0,11.0,5.0,3.0,0.0,2947.0,5.972665592266111
398383,0537R00197000000,15235,3/18/03,93000.0,2.0,1967.0,5.0,3.0,1.0,0.0,1410.0,4.968482948553935
403245,1502C00001000000,15044,4/26/04,111000.0,2.0,2005.0,10.0,4.0,3.0,2.0,4058.0,5.045322978786658
199923,0747A00034000000,15140,3/11/91,25000.0,2.0,1906.0,12.0,6.0,2.0,0.0,3341.0,4.3979400086720375
62668,0004S00252000000,15211,11/12/86,16000.0,2.5,1920.0,5.0,3.0,1.0,0.0,1856.0,4.204119982655925
11690,0048M00035000000,15201,10/27/14,417083.0,3.0,2014.0,8.0,3.0,2.0,1.0,2138.0,5.620222488679077
350320,0098K00184000000,15216,8/4/16,169900.0,2.0,1925.0,6.0,3.0,1.0,0.0,1142.0,5.230193378869045
49095,0177N00072000A00,15218,11/2/77,37500.0,2.0,1952.0,7.0,3.0,2.0,1.0,1644.0,4.574031267727719
46744,0126N00038000000,15217,6/19/90,110000.0,2.0,1910.0,8.0,4.0,2.0,1.0,2069.0,5.041392685158225
30361,0124H00163000000,15206,1/12/99,22000.0,2.0,1920.0,7.0,3.0,1.0,1.0,1467.0,4.342422680822207
346837,0697M00052000000,15108,11/17/17,170400.0,1.0,1951.0,5.0,3.0,1.0,0.0,1574.0,5.231469590430681
384362,0427J00024000000,15237,9/8/16,410000.0,2.0,2011.0,9.0,4.0,2.0,1.0,3070.0,5.6127838567197355
156824,0371G00074000000,15235,4/5/17,185000.0,1.0,1958.0,8.0,4.0,2.0,1.0,1468.0,5.267171728403014
338052,0935N00071000000,15143,9/24/04,10.0,1.0,1945.0,6.0,2.0,1.0,0.0,990.0,1.0
116233,0096D00112000000,15226,5/8/14,40000.0,2.0,1947.0,7.0,3.0,1.0,1.0,1450.0,4.6020599913279625
94942,0047G00173000000,15212,4/30/10,10000.0,2.5,1903.0,8.0,4.0,1.0,1.0,2609.0,4.0
381185,0227P00108000000,15238,11/15/93,107000.0,2.0,1950.0,7.0,3.0,1.0,1.0,1364.0,5.02938377768521
169489,0276F00115000000,15202,8/11/08,62500.0,1.0,1950.0,5.0,1.0,1.0,0.0,1404.0,4.795880017344075
327530,1518S00179000000,15065,4/20/07,94000.0,1.0,1970.0,4.0,2.0,1.0,0.0,1624.0,4.973127853599698
290584,1240K00242000000,15239,6/30/89,83000.0,1.0,1966.0,7.0,3.0,2.0,1.0,1562.0,4.919078092376074
26855,0082G00125000D00,15206,10/29/14,135000.0,2.0,1918.0,6.0,3.0,1.0,1.0,1264.0,5.1303337684950066
285882,0850M00104000000,15239,8/19/15,10.0,2.0,1901.0,7.0,4.0,1.0,0.0,1482.0,1.0
354036,0141P00198000000,15228,4/6/11,209000.0,2.0,1900.0,8.0,2.0,2.0,1.0,1996.0,5.320146286111054
81036,0036M00196000000,15216,6/30/10,55000.0,1.0,2000.0,5.0,3.0,1.0,1.0,1107.0,4.740362689494244
382536,0290F00048000000,15238,6/3/16,385000.0,2.0,1962.0,8.0,4.0,2.0,1.0,2223.0,5.585460729508501
219237,0279G00237000000,15229,9/30/15,128500.0,1.5,1991.0,5.0,2.0,2.0,0.0,1564.0,5.108903127667313
23683,0081E00133000000,15201,6/23/16,140000.0,2.0,1910.0,5.0,2.0,1.0,0.0,904.0,5.146128035678238
347062,0698N00019000000,15108,2/5/13,179472.0,2.0,2013.0,5.0,3.0,2.0,1.0,1424.0,5.253996702529807
168912,0213B00148000000,15202,7/9/15,75000.0,2.0,1900.0,6.0,3.0,1.0,0.0,1192.0,4.8750612633917
58784,0003E00061000000,15203,7/20/09,130000.0,2.0,1890.0,6.0,2.0,1.0,1.0,1325.0,5.113943352306837
310509,1416A00280000000,15037,10/30/92,86000.0,1.0,1976.0,5.0,3.0,2.0,1.0,2034.0,4.9344984512435675
28326,0083B00327000000,15206,3/25/16,360000.0,2.0,1910.0,12.0,6.0,2.0,0.0,2576.0,5.556302500767287
310511,1416A00290000000,15037,12/29/15,187000.0,2.0,1978.0,7.0,3.0,1.0,2.0,1741.0,5.271841606536499
118618,0657S00006000000,15025,7/8/16,29000.0,2.0,1900.0,6.0,3.0,1.0,0.0,2560.0,4.4623979978989565
399403,0539A00013000000,15235,12/31/13,27500.0,1.0,1952.0,6.0,3.0,1.0,0.0,1149.0,4.439332693830263
331641,0620M00180000000,15024,7/18/06,714500.0,2.0,1987.0,10.0,5.0,4.0,1.0,4641.0,5.854002233126989
303612,0601N00068000000,15046,1/12/09,123700.0,1.5,1951.0,6.0,3.0,2.0,0.0,1652.0,5.092369699629121
87135,0008D00177000000,15212,11/15/84,66166.0,2.0,1984.0,5.0,2.0,1.0,1.0,1340.0,4.820634880594385
30936,0124L00137000000,15206,9/15/83,33000.0,2.0,1920.0,8.0,4.0,1.0,0.0,2006.0,4.518513939877887
261310,0059F00058000000,15227,7/11/94,55000.0,2.0,1930.0,5.0,2.0,1.0,1.0,1125.0,4.740362689494244
299159,0140M00218000000,15228,9/9/15,70200.0,2.0,1948.0,6.0,3.0,1.0,0.0,1080.0,4.846337112129805
229972,0526E00020000000,15238,8/26/10,925000.0,2.0,1959.0,11.0,5.0,3.0,2.0,4774.0,5.9661417327390325
135243,0169S00209000000,15215,12/1/17,302000.0,2.0,1900.0,7.0,3.0,1.0,0.0,1770.0,5.480006942957151
383087,0357L00080061400,15238,12/11/13,360000.0,2.5,1998.0,7.0,3.0,2.0,2.0,2886.0,5.556302500767287
297285,1346N00386000000,15143,12/12/03,150000.0,1.5,1930.0,7.0,3.0,1.0,1.0,1669.0,5.176091259055681
41089,0085M00011000000,15217,2/14/13,250000.0,1.0,1930.0,6.0,3.0,1.0,0.0,1696.0,5.3979400086720375
39793,0053G00104000000,15217,4/17/15,505000.0,2.0,1985.0,7.0,2.0,2.0,1.0,2160.0,5.703291378118661
238517,0150S00096016100,15205,11/20/15,110000.0,2.0,1974.0,4.0,2.0,1.0,0.0,992.0,5.041392685158225
368307,1348K00055023A00,15090,5/21/14,250000.0,2.0,2011.0,6.0,3.0,2.0,1.0,1734.0,5.3979400086720375
366399,0947L00031000000,15101,11/25/14,245000.0,2.0,1992.0,7.0,2.0,2.0,1.0,1436.0,5.389166084364533
402070,0739E00366000000,15235,12/24/79,43500.0,2.0,1974.0,6.0,3.0,1.0,1.0,1248.0,4.638489256954637
367072,1071K00159000000,15090,5/26/10,223500.0,2.0,1975.0,8.0,4.0,2.0,1.0,2213.0,5.349277527467955
183265,0556H00049000000,15133,9/21/17,77000.0,1.0,1945.0,5.0,2.0,1.0,0.0,863.0,4.886490725172482
