neighborhood_id,air_pollution_index,median_income,population_density
1,29.1,133946,5664
2,32.9,74027,22743
3,46.5,28534,14557
4,29.5,100630,25424
5,22.9,111722,10978
6,41.2,67348,20955
7,59.2,42291,20127
8,42.3,61268,19233
9,30.4,84117,17462
10,28.8,124832,16725
11,34.7,77592,13248
12,56.4,23785,21563
13,26.5,93165,8765
14,48.9,53218,19875
15,32.1,70352,15428
16,20.6,142895,6754
17,39.5,64219,18532
18,45.7,58946,12945
19,55.2,37641,23548
20,24.7,102853,7623
21,33.8,82476,16189
22,51.3,49832,22741
23,27.2,95728,9421
24,40.1,72135,18967
25,36.5,68593,15843
26,22.3,138427,7123
27,43.8,55376,21384
28,58.6,31286,19752
29,25.4,113849,8247
30,37.9,65842,17631
31,52.4,46175,20183
32,29.8,91467,10956
33,44.2,59721,16248
34,31.5,86294,14732
35,23.7,125819,6891
36,49.3,51759,22437
37,35.3,73416,12519
38,54.7,39857,18976
39,28.2,97358,9842
40,38.6,63485,15273
41,26.8,105946,7284
42,47.5,57164,20175
43,33.2,79213,13846
44,51.9,43619,19258
45,27.6,108371,8569
46,39.4,62847,16537
47,35.9,71648,14182
48,21.4,136582,7852
49,55.8,34753,23146
50,30.7,88759,11342
51,46.1,54927,19764
52,34.1,75489,15637
53,24.1,119637,8126
54,50.6,47253,21968
55,32.6,81834,13247
56,53.2,40186,18352
57,28.9,94531,10479
58,41.7,66127,16892
59,25.9,107294,7615
60,44.8,58194,20731
61,36.2,69857,14653
62,22.5,134219,6947
63,57.4,33428,22851
64,31.3,85673,11748
65,48.3,52496,18953
66,35.6,72759,13529
67,24.3,116482,8347
68,51.5,45978,21475
69,29.9,92184,10825
70,42.6,63752,17268
71,26.4,103956,7429
72,45.3,56583,19847
73,37.4,68172,14826
74,23.1,130574,6723
75,56.9,36319,22647
76,32.7,83915,12153
77,49.8,51238,19524
78,36.8,70624,13975
79,25.2,114937,8521
80,52.8,42815,20982
81,30.5,89476,11241
82,43.9,61593,17438
83,27.9,101287,7842
84,46.7,54316,20156
85,34.3,76824,14368
86,23.6,122795,7938
87,54.1,38917,21874
88,31.8,87238,12456
89,47.3,53427,18765
90,35.1,73148,15194
91,24.9,117648,8742
92,53.7,41523,22138
93,30.1,90795,11639
94,42.8,64891,16947
95,26.7,104689,7319
96,45.9,57432,19623
97,36.3,70128,14758
98,22.7,133157,6892
99,58.1,32854,23287
100,31.9,88574,12753
