,mm,yyyy,Hires,Unnamed: 0,tmax,tmin,af,rain,sun
0,1,2011,403178,756,7.4,2.8,8,76.8,35.6
1,1,2012,494325,768,9.8,3.4,7,34.4,68.5
2,1,2013,565589,780,6.5,2.0,13,50.1,34.5
3,1,2014,493870,792,10.0,3.8,1,162.4,68.3
4,1,2015,583663,804,8.8,1.6,10,63.4,62.0
5,1,2016,586325,816,9.5,3.0,5,74.8,54.8
6,1,2017,638491,828,7.6,0.7,15,60.2,64.5
7,1,2018,645901,840,9.7,3.8,1,58.0,46.5
8,1,2019,685798,852,7.6,2.0,9,33.2,56.4
9,1,2020,709673,864,10.1,4.7,4,47.6,50.3
10,1,2021,409887,876,7.0,1.3,12,96.6,29.4
11,1,2022,748502,888,8.9,1.9,9,17.2,67.1
12,1,2023,571133,900,9.0,2.5,10,59.0,68.2
13,1,2024,558837,912,8.4,2.5,8,50.6,71.4
14,2,2011,398292,757,10.2,4.8,1,42.8,36.2
15,2,2012,481826,769,8.0,1.3,12,16.8,84.9
16,2,2013,516588,781,6.7,1.2,4,32.8,64.9
17,2,2014,522940,793,10.6,4.4,0,89.8,91.7
18,2,2015,549278,805,8.0,1.8,8,38.6,63.9
19,2,2016,597641,817,9.4,2.9,5,43.8,86.8
20,2,2017,618550,829,10.0,4.4,1,38.2,47.8
21,2,2018,576425,841,6.7,0.6,12,29.0,92.0
22,2,2019,698917,853,12.4,3.3,3,34.2,120.2
23,2,2020,641128,865,11.1,4.3,1,99.8,62.0
24,2,2021,511046,877,9.1,3.1,7,36.4,57.9
25,2,2022,749898,889,11.3,4.0,3,49.6,78.4
26,2,2023,613325,901,10.8,3.4,6,4.2,81.3
27,2,2024,568039,913,12.2,6.0,2,100.4,48.6
28,3,2011,556155,758,12.3,3.8,4,14.6,126.4
29,3,2012,818209,770,14.7,4.7,0,16.2,180.3
30,3,2013,504611,782,6.9,1.2,11,52.8,62.3
31,3,2014,757864,794,14.1,4.4,1,27.8,161.4
32,3,2015,701384,806,11.6,4.1,1,24.0,140.7
33,3,2016,664485,818,10.7,3.2,3,72.8,123.3
34,3,2017,819752,830,14.1,6.6,0,25.8,116.3
35,3,2018,604921,842,9.8,3.0,6,81.2,70.3
36,3,2019,792272,854,13.1,5.8,0,49.6,119.0
37,3,2020,553648,866,12.0,3.9,1,42.8,148.0
38,3,2021,748511,878,12.1,4.1,1,24.6,91.4
39,3,2022,1056720,890,13.2,4.9,1,31.4,157.2
40,3,2023,630605,902,11.5,5.2,1,92.4,60.2
41,3,2024,647372,914,13.1,5.9,0,85.0,94.9
42,4,2011,673639,759,19.7,8.6,0,2.4,218.0
43,4,2012,649473,771,13.3,4.9,1,98.4,141.7
44,4,2013,658230,783,13.5,4.7,3,34.0,162.8
45,4,2014,805571,795,16.1,7.5,0,58.0,156.9
46,4,2015,838543,807,16.3,6.0,0,16.2,212.1
47,4,2016,763308,819,13.5,4.9,0,47.2,170.0
48,4,2017,917716,831,15.8,5.9,0,4.6,186.2
49,4,2018,824737,843,15.5,7.9,0,65.2,113.4
50,4,2019,890148,855,15.8,5.7,1,12.8,170.1
51,4,2020,591294,867,18.2,6.5,1,38.2,235.4
52,4,2021,943760,879,13.1,2.9,5,7.2,202.6
53,4,2022,1031077,891,16.1,5.7,1,16.4,167.2
54,4,2023,646899,903,14.6,5.9,0,65.8,151.1
55,4,2024,685246,915,15.0,7.2,0,68.6,126.3
56,5,2011,722072,760,19.4,9.4,0,24.6,218.0
57,5,2012,926952,772,18.2,9.7,0,25.4,166.6
58,5,2013,749934,784,16.4,7.7,0,41.8,163.3
59,5,2014,890709,796,18.0,9.8,0,84.6,178.8
60,5,2015,899969,808,17.6,8.8,0,41.6,189.0
61,5,2016,1013666,820,19.0,9.7,0,60.4,192.7
62,5,2017,992601,832,19.8,10.4,0,64.8,164.8
63,5,2018,1112686,844,20.8,9.8,0,58.4,248.3
64,5,2019,1006547,856,18.6,8.4,0,36.0,176.3
65,5,2020,1121435,868,21.1,9.1,0,2.0,308.6
66,5,2021,921988,880,16.5,7.2,0,84.6,131.9
67,5,2022,1201054,892,20.2,10.1,0,34.2,155.3
68,5,2023,821433,904,18.6,9.3,0,38.4,196.6
69,5,2024,822970,916,19.6,10.6,0,54.4,164.2
70,6,2011,638717,761,20.7,11.0,0,84.0,173.5
71,6,2012,858805,773,19.4,11.6,0,110.8,118.5
72,6,2013,813631,785,20.3,11.2,0,11.6,157.5
73,6,2014,1052573,797,22.1,12.5,0,40.8,220.2
74,6,2015,1039768,809,22.2,11.4,0,12.2,197.0
75,6,2016,963232,821,20.7,12.7,0,93.4,101.7
76,6,2017,1098294,833,24.0,13.9,0,46.4,204.3
77,6,2018,1181642,845,24.2,13.1,0,0.4,234.5
78,6,2019,1006434,857,21.8,11.9,0,81.8,170.1
79,6,2020,1158560,869,22.5,12.6,0,54.0,174.9
80,6,2021,1183634,881,22.5,13.3,0,88.2,159.6
81,6,2022,1280180,893,23.2,11.9,0,24.0,212.2
82,6,2023,884730,905,25.3,13.5,0,56.8,250.2
83,6,2024,869330,917,22.0,11.1,0,12.4,205.7
84,7,2010,12461,750,25.0,15.1,0,18.0,161.8
85,7,2011,708454,762,21.7,12.6,0,49.8,173.6
86,7,2012,1014174,774,21.3,13.2,0,71.8,161.6
87,7,2013,998755,786,27.0,15.2,0,25.2,268.2
88,7,2014,1183182,798,25.8,15.0,0,50.0,246.4
89,7,2015,1134816,810,23.7,13.8,0,71.8,189.7
90,7,2016,1188428,822,24.0,14.5,0,16.0,182.8
91,7,2017,1131838,834,23.8,14.9,0,90.0,178.0
92,7,2018,1253102,846,28.3,16.4,0,14.8,272.5
93,7,2019,1152150,858,25.5,14.9,0,50.8,194.5
94,7,2020,1170060,870,23.8,13.4,0,35.2,171.2
95,7,2021,1168166,882,24.2,14.9,0,61.2,171.1
96,7,2022,1315801,894,27.2,15.5,0,7.6,221.1
97,7,2023,808688,906,22.9,14.0,0,61.4,150.1
98,7,2024,883624,918,23.5,13.8,0,83.6,178.2
99,8,2010,341203,751,21.6,13.2,0,88.6,110.9
100,8,2011,642440,763,21.8,13.4,0,68.8,144.1
101,8,2012,1163171,775,23.5,14.3,0,36.4,182.6
102,8,2013,904155,787,24.3,14.3,0,32.6,198.7
103,8,2014,1055206,799,21.7,12.7,0,97.6,183.6
104,8,2015,1042932,811,22.2,14.1,0,116.8,134.1
105,8,2016,1158393,823,24.7,14.6,0,21.6,201.4
106,8,2017,994199,835,22.0,13.5,0,58.6,174.9
107,8,2018,1058181,847,24.5,14.5,0,48.2,182.1
108,8,2019,1053921,859,25.2,14.1,0,33.6,201.2
109,8,2020,1153276,871,25.6,15.6,0,58.2,161.8
110,8,2021,1111134,883,21.9,13.4,0,42.2,95.6
111,8,2022,1259932,895,27.0,15.9,0,54.4,234.3
112,8,2023,778336,907,23.0,13.8,0,53.0,171.1
113,9,2010,540859,752,19.4,11.2,0,38.2,128.7
114,9,2011,684780,764,21.3,12.4,0,35.0,161.2
115,9,2012,1015145,776,20.0,10.3,0,41.2,178.9
116,9,2013,701724,788,19.7,11.1,0,49.6,118.9
117,9,2014,1058684,800,21.5,12.8,0,10.8,134.6
118,9,2015,903429,812,18.6,10.2,0,50.0,162.3
119,9,2016,1053039,824,22.4,13.7,0,42.2,122.1
120,9,2017,934751,836,19.2,11.0,0,59.0,120.1
121,9,2018,1008201,848,20.9,11.0,0,29.4,195.0
122,9,2019,965581,860,21.2,11.8,0,63.0,156.8
123,9,2020,1137524,872,21.6,11.2,0,20.0,168.9
