GEO (Labels),1990,2019
Belgium,6.5,3.9
Bulgaria,6.9,4.2
Czechia,8.8,5.1
Denmark,6.1,5.3
Germany,6.6,5
Estonia,7.5,5.1
Ireland,5.1,4.1
Greece,5.8,4.4
Spain,5.7,3.5
Croatia,5.8,4.9
Italy,5.6,3.1
Cyprus,9.7,8.9
Latvia,8.9,6.7
Lithuania,9.8,7
Luxembourg,6.1,3.5
Hungary,6.4,6.7
Malta,7.1,5.3
Netherlands,6.5,3.7
Austria,5.9,5.2
Poland,6.7,4.8
Portugal,7.2,3.2
Romania,8.3,6.6
Slovenia,4.3,3.2
Slovakia,7.6,5.4
Finland,5,4
Sweden,4.7,4.7
Iceland,4.5,5.8
Norway,5.2,4
Switzerland,6.9,4.5
North Macedonia,8.3,6.7
Albania,8.9,7.9
