education,experience,wages
10,17.2,47352.3
10,17.9,46384.1
10,18.3,46792.5
10,16.5,45837.2
10,15.8,45394.7
10,16.3,45721.8
10,17.5,46215.6
10,19.2,47105.4
10,18.7,46928.1
11,16.8,46982.5
11,16.2,46735.9
11,17.3,47591.2
11,15.7,45892.4
11,18.1,48374.6
11,16.9,47102.3
11,17.6,47835.7
11,15.3,45382.1
11,18.2,48519.8
11,17.1,47328.4
12,15.5,47129.2
12,14.8,46571.8
12,16.1,48042.7
12,14.3,45982.1
12,15.9,47528.6
12,14.6,46287.9
12,16.2,48159.3
12,15.0,46825.4
12,15.7,47375.1
12,14.9,46781.2
12,16.0,47895.8
12,15.2,46973.2
12,15.8,47492.7
12,14.5,46162.8
12,16.3,48221.5
12,14.7,46384.5
12,15.6,47263.9
12,15.1,46892.6
12,15.4,47021.3
12,14.4,46058.7
13,14.2,48297.8
13,13.5,47634.2
13,14.9,49128.3
13,13.0,47037.6
13,14.6,48892.1
13,13.2,47332.5
13,14.8,49043.7
13,13.7,47825.4
13,14.3,48421.9
13,13.3,47427.8
13,14.5,48713.6
13,13.4,47529.1
13,14.7,48967.2
13,13.1,47193.5
13,14.4,48625.7
13,13.6,47721.8
13,14.1,48172.3
13,13.8,47943.6
13,14.0,48087.4
13,13.9,48021.5
14,12.5,50237.4
14,11.8,49562.8
14,13.2,51087.2
14,11.3,48967.1
14,12.9,50827.6
14,11.5,49232.3
14,13.1,51021.5
14,12.0,49762.4
14,12.7,50637.9
14,11.7,49478.2
14,13.0,50958.3
14,11.9,49679.7
14,12.8,50738.1
14,11.4,49059.8
14,12.6,50534.6
14,11.6,49342.7
14,12.4,50138.2
14,12.1,49879.5
14,12.3,50037.6
14,12.2,49932.8
15,10.8,52127.9
15,10.1,51452.3
15,11.5,52972.8
15,9.6,50863.7
15,11.2,52712.5
15,9.8,51132.8
15,11.4,52911.6
15,10.3,51657.9
15,11.0,52528.1
15,10.0,51359.6
15,11.3,52792.3
15,10.2,51559.2
15,11.1,52621.7
15,9.7,50963.4
15,10.9,52427.5
15,9.9,51245.8
15,10.7,52032.1
15,10.4,51772.6
15,10.6,51942.8
15,10.5,51852.7
16,9.2,53978.6
16,8.5,53312.7
16,9.9,54835.9
16,8.0,52718.4
16,9.6,54573.2
16,8.2,52982.5
16,9.8,54762.1
16,8.7,53512.8
16,9.4,54392.7
16,8.4,53212.9
16,9.7,54653.8
16,8.6,53412.5
16,9.5,54482.3
16,8.1,52828.7
16,9.3,54297.1
16,8.3,53092.6
16,9.1,53892.4
16,8.8,53632.5
16,9.0,53782.3
16,8.9,53722.7
17,7.5,56827.3
17,6.8,56159.2
17,8.2,57682.8
17,6.3,55572.6
17,7.9,57421.5
17,6.5,55832.4
17,8.1,57612.3
17,7.0,56359.7
17,7.7,57242.8
17,6.7,56059.5
17,8.0,57527.9
17,6.9,56258.3
17,7.8,57342.1
17,6.4,55672.9
17,7.6,57143.5
17,6.6,55953.2
17,7.4,56729.8
17,7.1,56458.2
17,7.3,56627.4
17,7.2,56541.9
18,5.8,59673.1
18,5.1,59012.5
18,6.5,60532.7
18,4.6,58422.3
18,6.2,60273.6
18,4.8,58682.9
18,6.4,60462.8
18,5.3,59217.5
18,6.0,60092.1
18,5.0,58912.7
18,6.3,60372.4
18,5.2,59113.8
18,6.1,60192.5
18,4.7,58522.7
18,5.9,59992.6
18,4.9,58792.3
18,5.7,59573.8
18,5.4,59322.1
18,5.6,59472.9
18,5.5,59395.4
19,4.1,62518.9
19,3.4,61865.2
19,4.8,63378.4
19,2.9,61275.9
19,4.5,63119.3
19,3.1,61532.7
19,4.7,63298.6
19,3.6,62072.8
19,4.3,62941.2
19,3.3,61763.5
19,4.6,63217.9
19,3.5,61972.6
19,4.4,63032.7
19,3.0,61389.2
19,4.2,62843.5
19,3.2,61652.8
19,4.0,62427.3
19,3.7,62183.1
19,3.9,62327.8
19,3.8,62251.6
20,2.4,65371.5
20,1.7,64719.8
20,3.1,66229.3
20,1.2,64132.4
20,2.8,65971.7
20,1.4,64382.5
20,3.0,66148.2
20,1.9,64923.6
20,2.6,65789.4
20,1.6,64617.9
20,2.9,66062.5
20,1.8,64827.3
20,2.7,65882.6
20,1.3,64246.1
20,2.5,65692.8
20,1.5,64492.7
20,2.3,65273.9
20,2.0,65027.4
20,2.2,65172.6
20,2.1,65096.1
21,0.7,68217.4
21,0.0,67573.2
21,1.4,69078.5
21,0.0,66983.6
21,1.1,68821.9
21,0.0,67232.8
21,1.3,68998.7
21,0.2,67773.8
21,0.9,68642.5
21,0.0,67471.2
21,1.2,68912.3
21,0.1,67677.9
21,1.0,68732.8
21,0.0,67096.5
21,0.8,68542.7
21,0.0,67342.9
21,0.6,68121.3
21,0.3,67879.2
21,0.5,68022.6
21,0.4,67947.8
