"Entity","Code","Year","coffe_prod"
"Angola","AGO",1961,168600
"Angola","AGO",1962,185000
"Angola","AGO",1963,168300
"Angola","AGO",1964,198200
"Angola","AGO",1965,205000
"Angola","AGO",1966,225700
"Angola","AGO",1967,235200
"Angola","AGO",1968,198000
"Angola","AGO",1969,215000
"Angola","AGO",1970,204000
"Angola","AGO",1971,228000
"Angola","AGO",1972,225000
"Angola","AGO",1973,210000
"Angola","AGO",1974,224772
"Angola","AGO",1975,180000
"Angola","AGO",1976,57480
"Angola","AGO",1977,57060
"Angola","AGO",1978,34320
"Angola","AGO",1979,17340
"Angola","AGO",1980,43260
"Angola","AGO",1981,20640
"Angola","AGO",1982,17400
"Angola","AGO",1983,13000
"Angola","AGO",1984,15000
"Angola","AGO",1985,12000
"Angola","AGO",1986,14800
"Angola","AGO",1987,8700
"Angola","AGO",1988,11000
"Angola","AGO",1989,10000
"Angola","AGO",1990,5000
"Angola","AGO",1991,5000
"Angola","AGO",1992,5000
"Angola","AGO",1993,4620
"Angola","AGO",1994,2160
"Angola","AGO",1995,3300
"Angola","AGO",1996,2820
"Angola","AGO",1997,3840
"Angola","AGO",1998,5100
"Angola","AGO",1999,3300
"Angola","AGO",2000,4260
"Angola","AGO",2001,3300
"Angola","AGO",2002,1260
"Angola","AGO",2003,2040
"Angola","AGO",2004,1980
"Angola","AGO",2005,3500
"Angola","AGO",2006,5000
"Angola","AGO",2007,11523
"Angola","AGO",2008,4000
"Angola","AGO",2009,11982
"Angola","AGO",2010,9951
"Angola","AGO",2011,10192
"Angola","AGO",2012,11740.03
"Angola","AGO",2013,12550
"Angola","AGO",2014,15009
"Angola","AGO",2015,15000
"Angola","AGO",2016,14679.61
"Angola","AGO",2017,13542.99
"Angola","AGO",2018,13228.18
"Angola","AGO",2019,13256.51
"Angola","AGO",2020,13105.14
"Angola","AGO",2021,10304
"Angola","AGO",2022,16767
"Angola","AGO",2023,20071
"Benin","BEN",1961,2090
"Benin","BEN",1962,1730
"Benin","BEN",1963,1002
"Benin","BEN",1964,1065
"Benin","BEN",1965,891
"Benin","BEN",1966,1041
"Benin","BEN",1967,1086
"Benin","BEN",1968,511
"Benin","BEN",1969,2268
"Benin","BEN",1970,1940
"Benin","BEN",1971,2229
"Benin","BEN",1972,2724
"Benin","BEN",1973,1341
"Benin","BEN",1974,161
"Benin","BEN",1975,477
"Benin","BEN",1976,599
"Benin","BEN",1977,610
"Benin","BEN",1978,185
"Benin","BEN",1979,31
"Benin","BEN",1980,321
"Benin","BEN",1981,585
"Benin","BEN",1982,1629
"Benin","BEN",1983,1000
"Benin","BEN",1984,3000
"Benin","BEN",1985,700
"Benin","BEN",1986,1100
"Benin","BEN",1987,1900
"Benin","BEN",1988,2700
"Benin","BEN",1989,800
"Benin","BEN",1990,120
"Benin","BEN",1991,180
"Benin","BEN",1992,200
"Benin","BEN",1993,300
"Benin","BEN",1994,200
"Benin","BEN",1995,174.67
"Benin","BEN",1996,165.26
"Benin","BEN",1997,160.65
"Benin","BEN",1998,153.89
"Benin","BEN",1999,150.68
"Benin","BEN",2000,142.51
"Benin","BEN",2001,150
"Benin","BEN",2002,100
"Benin","BEN",2003,60
