,Unnamed: 0,Month-Year,GDP (Million USD),Year
0,0,2010-01-01,1021.42,2010
1,1,2010-02-01,1036.1,2010
2,2,2010-03-01,1755.75,2010
3,3,2010-04-01,1109.8,2010
4,4,2010-05-01,2608.41,2010
5,5,2010-06-01,2723.85,2010
6,6,2010-07-01,2655.34,2010
7,7,2010-08-01,1562.08,2010
8,8,2010-09-01,2045.44,2010
9,9,2010-10-01,2852.26,2010
10,10,2010-11-01,1686.72,2010
11,11,2010-12-01,2405.33,2010
12,12,2011-01-01,2774.14,2011
13,13,2011-02-01,2259.29,2011
14,14,2011-03-01,1047.05,2011
15,15,2011-04-01,1477.84,2011
16,16,2011-05-01,1906.91,2011
17,17,2011-06-01,2265.84,2011
18,18,2011-07-01,1630.08,2011
19,19,2011-08-01,1649.08,2011
20,20,2011-09-01,2154.52,2011
21,21,2011-10-01,1094.77,2011
22,22,2011-11-01,1139.85,2011
23,23,2011-12-01,2864.15,2011
24,24,2012-01-01,1119.7,2012
25,25,2012-02-01,2422.54,2012
26,26,2012-03-01,2414.02,2012
27,27,2012-04-01,1912.75,2012
28,28,2012-05-01,2114.8,2012
29,29,2012-06-01,1150.55,2012
30,30,2012-07-01,2307.4,2012
31,31,2012-08-01,1441.91,2012
32,32,2012-09-01,2913.94,2012
33,33,2012-10-01,1495.58,2012
34,34,2012-11-01,1790.51,2012
35,35,2012-12-01,1706.36,2012
36,36,2013-01-01,2814.91,2013
37,37,2013-02-01,2179.16,2013
38,38,2013-03-01,2273.71,2013
39,39,2013-04-01,1380.19,2013
40,40,2013-05-01,1797.29,2013
41,41,2013-06-01,2976.46,2013
42,42,2013-07-01,1189.37,2013
43,43,2013-08-01,2015.82,2013
44,44,2013-09-01,1826.71,2013
45,45,2013-10-01,2649.09,2013
46,46,2013-11-01,2459.08,2013
47,47,2013-12-01,2348.21,2013
48,48,2014-01-01,2921.56,2014
49,49,2014-02-01,1182.7,2014
50,50,2014-03-01,2948.95,2014
51,51,2014-04-01,2143.33,2014
52,52,2014-05-01,1407.99,2014
53,53,2014-06-01,1433.2,2014
54,54,2014-07-01,2325.97,2014
55,55,2014-08-01,2671.56,2014
56,56,2014-09-01,2062.95,2014
57,57,2014-10-01,1398.43,2014
58,58,2014-11-01,1112.58,2014
59,59,2014-12-01,2531.6,2014
60,60,2015-01-01,1348.93,2015
61,61,2015-02-01,1561.28,2015
62,62,2015-03-01,2875.23,2015
63,63,2015-04-01,2922.86,2015
64,64,2015-05-01,2936.83,2015
65,65,2015-06-01,1953.44,2015
66,66,2015-07-01,1703.52,2015
67,67,2015-08-01,1743.77,2015
68,68,2015-09-01,1744.7,2015
69,69,2015-10-01,1611.56,2015
70,70,2015-11-01,2564.75,2015
71,71,2015-12-01,1519.66,2015
72,72,2016-01-01,2717.37,2016
73,73,2016-02-01,1763.6,2016
74,74,2016-03-01,1760.45,2016
75,75,2016-04-01,2242.71,2016
76,76,2016-05-01,2171.46,2016
77,77,2016-06-01,2999.52,2016
78,78,2016-07-01,2093.07,2016
79,79,2016-08-01,1160.39,2016
80,80,2016-09-01,2642.97,2016
81,81,2016-10-01,1001.72,2016
82,82,2016-11-01,2531.12,2016
83,83,2016-12-01,1608.84,2016
84,84,2017-01-01,2004.35,2017
85,85,2017-02-01,1102.54,2017
86,86,2017-03-01,1298.41,2017
87,87,2017-04-01,1672.56,2017
88,88,2017-05-01,1129.98,2017
89,89,2017-06-01,2363.35,2017
90,90,2017-07-01,1839.89,2017
91,91,2017-08-01,2433.67,2017
92,92,2017-09-01,2170.04,2017
93,93,2017-10-01,1574.97,2017
94,94,2017-11-01,1576.77,2017
95,95,2017-12-01,1512.47,2017
96,96,2018-01-01,2526.28,2018
97,97,2018-02-01,1572.81,2018
98,98,2018-03-01,1263.62,2018
99,99,2018-04-01,2467.51,2018
100,100,2018-05-01,1450.99,2018
101,101,2018-06-01,1239.19,2018
102,102,2018-07-01,2607.49,2018
103,103,2018-08-01,1842.59,2018
104,104,2018-09-01,2723.78,2018
105,105,2018-10-01,1100.0,2018
106,106,2018-11-01,2077.15,2018
107,107,2018-12-01,1293.49,2018
108,108,2019-01-01,2616.38,2019
109,109,2019-02-01,1118.74,2019
110,110,2019-03-01,1693.48,2019
111,111,2019-04-01,1851.19,2019
112,112,2019-05-01,1560.52,2019
113,113,2019-06-01,2179.48,2019
114,114,2019-07-01,2010.19,2019
115,115,2019-08-01,1612.27,2019
116,116,2019-09-01,1308.26,2019
117,117,2019-10-01,1307.86,2019
118,118,2019-11-01,2425.85,2019
119,119,2019-12-01,1427.05,2019
