,Event,Revenue,Offer ID
12657,transaction,34.56,2off10
12670,transaction,18.97,2off10
12676,transaction,33.9,Bogo 5
12688,transaction,18.01,Bogo 10
12692,transaction,19.11,Bogo 10
12711,transaction,28.39,Bogo 10
12714,transaction,28.08,3off7
12736,transaction,13.57,Bogo 5
12755,transaction,31.42,2off10
12757,transaction,27.89,Bogo 10
12769,transaction,38.38,Bogo 5
12772,transaction,5.78,Bogo 5
12773,transaction,14.27,2off10
12784,transaction,13.93,Bogo 10
12802,transaction,18.97,3off7
12810,transaction,30.03,2off10
12818,transaction,21.84,3off7
12823,transaction,10.37,3off7
12843,transaction,19.82,Bogo 10
12845,transaction,11.83,Bogo 5
12879,transaction,24.8,Bogo 10
12914,transaction,6.32,Bogo 5
12920,transaction,18.98,Bogo 5
12948,transaction,24.98,3off7
12963,transaction,15.72,2off10
12971,transaction,18.57,2off10
12994,transaction,24.38,Bogo 5
13008,transaction,25.07,Bogo 5
13014,transaction,22.22,2off10
13026,transaction,7.66,Bogo 5
13034,transaction,12.72,Bogo 5
13056,transaction,13.37,Bogo 5
13059,transaction,11.62,3off7
13066,transaction,5.62,Bogo 5
13071,transaction,13.42,Bogo 5
13087,transaction,21.34,3off7
13093,transaction,39.64,2off10
13102,transaction,26.47,Bogo 10
13116,transaction,14.93,Bogo 5
13141,transaction,11.29,Bogo 5
13142,transaction,16.34,2off10
13164,transaction,22.87,Bogo 10
13174,transaction,7.51,Bogo 5
13209,transaction,12.09,Bogo 5
13259,transaction,33.56,Bogo 10
13305,transaction,26.11,3off7
13330,transaction,26.5,Bogo 10
13332,transaction,9.08,Bogo 5
13333,transaction,21.4,Bogo 10
13336,transaction,19.53,Bogo 5
13344,transaction,14.57,2off10
13357,transaction,16.76,Bogo 5
13376,transaction,11.1,Bogo 10
13380,transaction,16.32,Bogo 5
13388,transaction,10.96,2off10
13405,transaction,37.34,Bogo 10
13415,transaction,15.22,Bogo 5
13422,transaction,13.67,Bogo 10
13435,transaction,23.03,3off7
13474,transaction,20.18,Bogo 5
13478,transaction,12.06,Bogo 5
13491,transaction,34.01,2off10
13494,transaction,23.08,Bogo 5
13498,transaction,10.25,3off7
13508,transaction,21.97,Bogo 5
