,gender,age,id,became_member_on,income
34,M,40,f082d80f0aac47a99173ba8ef8fc1909,20160709,33000.0
41,F,20,02c083884c7d45b39cc68e1314fec56c,20160711,30000.0
42,M,45,c0d210398dee4a0895b24444a5fcd1d2,20180707,33000.0
46,F,69,8e7c7465e98c43d8a01f51e2b5c29542,20130918,37000.0
51,F,66,7584948ea6d04f94b8798624706261c2,20180408,38000.0
61,M,44,b7a66e629b134079a9bc7120c7b9947b,20170924,35000.0
77,F,46,e528ceb341964128aaf58a59733ec2af,20180629,36000.0
82,M,27,6e04a90a0e074496b5f229eb1f553433,20180110,35000.0
111,M,55,8a4bc602e4424ab6b16f0b907f2f22af,20171210,31000.0
123,F,64,2cf5895bddf9467e878c6d51a622d5fb,20171020,37000.0
136,M,45,77927096ab4144fa930b4cadd4773cc2,20171007,31000.0
137,M,52,acbc358a8bf44ba88d0de1f2bec5b2ab,20180130,30000.0
155,M,72,1827da57bb924833a6f73c79b5f2bbc5,20180601,33000.0
188,M,66,83e2ccc1d4374c14865e8e2cf16007dd,20180617,34000.0
199,M,26,3cea9c09fefb4c33ae2f0aa604af7eb4,20171117,35000.0
211,M,64,aa4a681ea192401ab469b616f8fe6885,20180720,38000.0
231,M,71,18174519037241e9b1ddcb627ca4dc41,20180321,30000.0
234,M,63,044f41cfd98940119477d73c81f973a3,20170729,36000.0
238,M,44,09e7e40eb89943458f4f79fe2e023dd6,20171011,36000.0
250,M,32,27aa749a6f5f448e91327028a2ac7fb5,20151008,38000.0
254,M,34,fffad4f4828548d1b5583907f2e9906b,20170123,34000.0
265,M,72,da6c95e567f94dfdb54c16073807fcfe,20170909,39000.0
269,M,58,932715eb8a33450c83c1557c99968c7b,20180717,39000.0
279,M,65,e1103f6b4c444f84b65f856738c0f60c,20171011,39000.0
293,M,20,4e6eb10de9744995be7496f5b1cc7bcf,20150812,32000.0
309,M,73,32fbf97e89274e8a935903f2ad095e1f,20171212,38000.0
331,F,76,cc40aaa447054294a86c75d79881e35a,20180613,34000.0
