,staff_id,customer_id,product_id,quantity,unit_price,Hours,Shop
0,12,558,52,1,2.5,12,Shop A
1,17,781,27,2,3.5,15,Shop A
2,17,788,46,2,2.5,14,Shop A
3,12,683,23,2,2.5,16,Shop A
4,17,99,34,1,2.45,19,Shop A
5,17,664,32,1,3.0,18,Shop A
6,12,316,49,2,3.0,13,Shop A
7,12,38,60,1,3.75,11,Shop A
8,12,370,51,2,3.0,19,Shop A
9,12,180,49,2,3.0,12,Shop A
10,12,35,35,2,3.1,13,Shop A
11,17,595,47,1,3.0,11,Shop A
12,12,500,25,2,2.2,12,Shop A
13,17,128,23,2,2.5,17,Shop A
14,17,599,48,2,2.5,12,Shop A
15,17,152,53,2,3.0,14,Shop A
16,17,65,40,1,3.75,16,Shop A
17,12,90,37,2,3.0,13,Shop A
18,12,82,60,1,3.75,18,Shop A
19,12,174,53,2,3.0,15,Shop A
20,12,116,41,2,4.25,13,Shop A
21,17,189,38,2,3.75,11,Shop A
22,17,131,40,1,3.75,17,Shop A
23,17,264,40,1,3.75,11,Shop A
24,17,722,38,1,3.75,13,Shop A
25,17,302,50,1,2.5,14,Shop A
26,12,174,59,2,4.5,13,Shop A
27,17,604,28,1,2.0,12,Shop A
28,17,32,34,1,2.45,12,Shop A
29,17,32,77,1,3.0,12,Shop A
30,17,470,55,1,4.0,19,Shop A
31,12,127,54,2,2.5,16,Shop A
32,17,553,47,1,3.0,19,Shop A
33,17,518,45,2,3.0,17,Shop A
34,12,112,41,2,4.25,14,Shop A
35,12,112,79,1,3.75,14,Shop A
36,17,437,37,2,3.0,17,Shop A
37,17,552,50,1,2.5,17,Shop A
38,12,194,43,1,3.0,15,Shop A
39,17,788,38,2,3.75,14,Shop A
40,12,533,40,1,3.75,16,Shop A
41,17,521,28,2,2.0,12,Shop A
42,17,512,41,1,4.25,15,Shop A
43,17,178,23,1,2.5,19,Shop A
44,12,416,32,2,3.0,14,Shop A
45,12,22,52,1,2.5,11,Shop A
46,12,642,61,2,4.75,18,Shop A
47,12,189,58,1,3.5,11,Shop A
48,17,223,42,2,2.5,16,Shop A
49,12,40,53,1,3.0,19,Shop A
50,17,344,49,1,3.0,11,Shop A
51,12,401,42,2,2.5,16,Shop A
52,12,189,31,2,2.2,11,Shop A
53,12,517,43,1,3.0,14,Shop A
54,17,328,39,1,4.25,14,Shop A
55,17,328,79,1,3.75,14,Shop A
