,transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn,Seconds,Hours,Shop
0,7,2019-04-01,12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N,43483,12,A
1,11,2019-04-01,15:54:39,3,17,781,N,1,1,27,2,7.0,3.5,N,57279,15,A
2,19,2019-04-01,14:34:59,3,17,788,Y,1,1,46,2,5.0,2.5,N,52499,14,A
3,32,2019-04-01,16:06:04,3,12,683,N,1,1,23,2,5.0,2.5,N,57964,16,A
4,33,2019-04-01,19:18:37,3,17,99,Y,1,1,34,1,2.45,2.45,N,69517,19,A
5,39,2019-04-01,18:54:46,3,17,664,Y,1,1,32,1,3.0,3.0,N,68086,18,A
6,50,2019-04-01,13:03:49,3,12,316,N,1,1,49,2,6.0,3.0,N,47029,13,A
7,53,2019-04-01,11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N,40874,11,A
8,59,2019-04-01,19:30:55,3,12,370,Y,1,1,51,2,6.0,3.0,N,70255,19,A
9,62,2019-04-01,12:01:00,3,12,180,Y,1,1,49,2,6.0,3.0,N,43260,12,A
10,81,2019-04-01,13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N,48051,13,A
11,90,2019-04-01,11:40:20,3,17,595,N,1,1,47,1,3.0,3.0,N,42020,11,A
12,91,2019-04-01,12:27:43,3,12,500,N,1,1,25,2,4.4,2.2,N,44863,12,A
13,94,2019-04-01,17:37:02,3,17,128,Y,1,1,23,2,5.0,2.5,N,63422,17,A
14,101,2019-04-01,12:26:34,3,17,599,Y,1,1,48,2,5.0,2.5,N,44794,12,A
15,103,2019-04-01,14:33:32,3,17,152,Y,1,1,53,2,6.0,3.0,N,52412,14,A
16,108,2019-04-01,16:11:18,3,17,65,N,1,1,40,1,3.75,3.75,N,58278,16,A
17,112,2019-04-01,13:03:38,3,12,90,Y,1,1,37,2,6.0,3.0,N,47018,13,A
18,117,2019-04-01,18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N,66304,18,A
19,120,2019-04-01,15:51:44,3,12,174,N,1,1,53,2,6.0,3.0,N,57104,15,A
20,127,2019-04-01,13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N,50320,13,A
21,134,2019-04-01,11:49:29,3,17,189,Y,1,1,38,2,7.5,3.75,N,42569,11,A
22,135,2019-04-01,17:01:36,3,17,131,Y,1,1,40,1,3.75,3.75,N,61296,17,A
23,137,2019-04-01,11:10:04,3,17,264,Y,1,1,40,1,3.75,3.75,N,40204,11,A
24,138,2019-04-01,13:17:42,3,17,722,Y,1,1,38,1,3.75,3.75,N,47862,13,A
25,141,2019-04-01,14:07:25,3,17,302,Y,1,1,50,1,2.5,2.5,N,50845,14,A
26,143,2019-04-01,13:17:00,3,12,174,Y,1,1,59,2,9.0,4.5,N,47820,13,A
27,150,2019-04-01,12:24:53,3,17,604,Y,1,1,28,1,2.0,2.0,N,44693,12,A
28,156,2019-04-01,12:30:00,3,17,32,N,1,1,34,1,2.45,2.45,N,45000,12,A
29,156,2019-04-01,12:30:00,3,17,32,N,1,5,77,1,3.0,3.0,N,45000,12,A
30,162,2019-04-01,19:07:40,3,17,470,N,1,1,55,1,4.0,4.0,N,68860,19,A
31,165,2019-04-01,16:44:46,3,12,127,Y,1,1,54,2,5.0,2.5,N,60286,16,A
32,175,2019-04-01,19:54:12,3,17,553,Y,1,1,47,1,3.0,3.0,N,71652,19,A
33,180,2019-04-01,17:52:36,3,17,518,Y,1,1,45,2,6.0,3.0,N,64356,17,A
34,199,2019-04-01,14:24:55,3,12,112,Y,1,1,41,2,8.5,4.25,N,51895,14,A
35,199,2019-04-01,14:24:55,3,12,112,Y,1,5,79,1,3.75,3.75,N,51895,14,A
36,202,2019-04-01,17:26:58,3,17,437,N,1,1,37,2,6.0,3.0,N,62818,17,A
37,212,2019-04-01,17:03:21,3,17,552,N,1,1,50,1,2.5,2.5,N,61401,17,A
38,219,2019-04-01,15:03:55,3,12,194,Y,1,1,43,1,3.0,3.0,N,54235,15,A
39,224,2019-04-01,14:54:27,3,17,788,N,1,1,38,2,7.5,3.75,N,53667,14,A
40,226,2019-04-01,16:30:12,3,12,533,Y,1,1,40,1,3.75,3.75,N,59412,16,A
41,227,2019-04-01,12:09:11,3,17,521,N,1,1,28,2,4.0,2.0,N,43751,12,A
42,238,2019-04-01,15:48:10,3,17,512,Y,1,1,41,1,4.25,4.25,N,56890,15,A
43,247,2019-04-01,19:04:32,3,17,178,Y,1,1,23,1,2.5,2.5,N,68672,19,A
44,248,2019-04-01,14:30:49,3,12,416,Y,1,1,32,2,6.0,3.0,N,52249,14,A
45,249,2019-04-01,11:15:38,3,12,22,Y,1,1,52,1,2.5,2.5,N,40538,11,A
46,260,2019-04-01,18:14:31,3,12,642,Y,1,1,61,2,9.5,4.75,N,65671,18,A
47,262,2019-04-01,11:52:08,3,12,189,N,1,1,58,1,3.5,3.5,N,42728,11,A
48,268,2019-04-01,16:04:10,3,17,223,N,1,1,42,2,5.0,2.5,N,57850,16,A
49,269,2019-04-01,19:25:00,3,12,40,Y,1,1,53,1,3.0,3.0,N,69900,19,A
50,270,2019-04-01,11:27:00,3,17,344,N,1,1,49,1,3.0,3.0,N,41220,11,A
51,276,2019-04-01,16:10:37,3,12,401,N,1,1,42,2,5.0,2.5,N,58237,16,A
52,281,2019-04-01,11:27:06,3,12,189,N,1,1,31,2,4.4,2.2,N,41226,11,A
53,290,2019-04-01,14:58:35,3,12,517,N,1,1,43,1,3.0,3.0,N,53915,14,A
54,296,2019-04-01,14:49:18,3,17,328,Y,1,1,39,1,4.25,4.25,N,53358,14,A
55,296,2019-04-01,14:49:18,3,17,328,Y,1,5,79,1,3.75,3.75,N,53358,14,A
56,297,2019-04-01,12:05:26,3,12,331,N,1,1,48,2,5.0,2.5,N,43526,12,A
57,298,2019-04-01,18:30:05,3,17,414,N,1,1,55,2,8.0,4.0,N,66605,18,A
58,317,2019-04-01,19:57:08,3,12,567,N,1,1,48,1,2.5,2.5,N,71828,19,A
59,325,2019-04-01,19:23:13,3,12,526,N,1,1,22,2,4.0,2.0,N,69793,19,A
60,326,2019-04-01,12:05:31,3,12,659,N,1,1,52,2,5.0,2.5,N,43531,12,A
61,334,2019-04-01,18:12:37,3,17,492,N,1,1,25,2,4.4,2.2,N,65557,18,A
62,337,2019-04-01,18:14:17,3,17,655,Y,1,1,39,2,8.5,4.25,N,65657,18,A
63,344,2019-04-01,17:28:16,3,12,500,Y,1,1,41,1,4.25,4.25,N,62896,17,A
64,357,2019-04-01,15:34:10,3,12,530,N,1,1,41,2,8.5,4.25,N,56050,15,A
65,357,2019-04-01,15:34:10,3,12,530,N,1,5,76,1,3.5,3.5,N,56050,15,A
66,360,2019-04-01,15:30:57,3,17,114,Y,1,1,38,2,7.5,3.75,N,55857,15,A
67,366,2019-04-01,18:33:47,3,17,301,N,1,1,51,1,3.0,3.0,N,66827,18,A
68,384,2019-04-01,16:04:18,3,17,602,Y,1,1,54,2,5.0,2.5,N,57858,16,A
69,385,2019-04-01,11:32:46,3,12,565,Y,1,1,31,2,4.4,2.2,N,41566,11,A
70,389,2019-04-01,17:00:27,3,12,335,Y,1,1,29,1,2.5,2.5,N,61227,17,A
71,390,2019-04-01,12:20:37,3,12,52,Y,1,1,25,1,2.2,2.2,N,44437,12,A
72,391,2019-04-01,18:05:52,3,12,216,N,1,1,33,2,7.0,3.5,N,65152,18,A
73,391,2019-04-01,18:05:52,3,12,216,N,1,5,79,1,3.75,3.75,N,65152,18,A
74,396,2019-04-01,14:45:31,3,17,550,Y,1,1,47,1,3.0,3.0,N,53131,14,A
75,405,2019-04-01,19:31:31,3,17,481,N,1,1,26,2,6.0,3.0,N,70291,19,A
76,411,2019-04-01,12:23:27,3,12,516,N,1,1,22,2,4.0,2.0,N,44607,12,A
77,413,2019-04-01,16:03:50,3,17,508,N,1,1,31,1,2.2,2.2,N,57830,16,A
78,413,2019-04-01,16:03:50,3,17,508,N,1,5,76,1,3.5,3.5,N,57830,16,A
79,421,2019-04-01,19:52:28,3,17,717,N,1,1,34,2,4.9,2.45,N,71548,19,A
80,422,2019-04-01,14:14:08,3,17,641,Y,1,1,26,1,3.0,3.0,N,51248,14,A
81,426,2019-04-01,15:45:16,3,17,525,N,1,1,46,2,5.0,2.5,N,56716,15,A
82,427,2019-04-01,19:03:00,3,12,384,Y,1,1,22,1,2.0,2.0,N,68580,19,A
83,429,2019-04-01,12:56:59,3,17,784,Y,1,1,47,1,3.0,3.0,N,46619,12,A
84,434,2019-04-01,17:26:52,3,12,383,N,1,1,26,2,6.0,3.0,N,62812,17,A
85,446,2019-04-01,12:15:02,3,12,659,Y,1,1,50,2,5.0,2.5,N,44102,12,A
86,447,2019-04-01,14:51:44,3,17,235,Y,1,1,30,1,3.0,3.0,N,53504,14,A
87,451,2019-04-01,12:55:25,3,12,319,Y,1,1,49,1,3.0,3.0,N,46525,12,A
88,457,2019-04-01,16:17:06,3,12,647,N,1,1,34,2,4.9,2.45,N,58626,16,A
89,459,2019-04-01,18:09:04,3,17,320,Y,1,1,35,1,3.1,3.1,N,65344,18,A
90,461,2019-04-01,17:54:11,3,17,326,Y,1,1,56,2,5.1,2.55,N,64451,17,A
91,470,2019-04-01,18:38:00,3,12,122,Y,1,1,41,1,4.25,4.25,N,67080,18,A
92,474,2019-04-01,18:13:09,3,12,453,Y,1,1,59,1,4.5,4.5,N,65589,18,A
93,480,2019-04-01,16:37:34,3,17,185,N,1,1,26,2,6.0,3.0,N,59854,16,A
94,483,2019-04-01,19:15:15,3,12,393,N,1,1,55,1,4.0,4.0,N,69315,19,A
95,490,2019-04-01,16:24:40,3,12,392,Y,1,1,47,2,6.0,3.0,N,59080,16,A
96,490,2019-04-01,16:24:40,3,12,392,Y,1,5,74,1,3.5,3.5,N,59080,16,A
97,494,2019-04-01,18:25:42,3,12,241,N,1,1,35,1,3.1,3.1,N,66342,18,A
98,495,2019-04-01,18:51:23,3,17,777,N,1,1,24,2,6.0,3.0,N,67883,18,A
99,497,2019-04-01,16:49:38,3,12,407,Y,1,1,52,1,2.5,2.5,N,60578,16,A
100,501,2019-04-01,16:16:43,3,17,659,N,1,1,39,1,4.25,4.25,N,58603,16,A
