city_id,avg_temperature,green_space_percent,population_density
1,17.08,28.34,17204
2,18.16,39.69,19751
3,22.91,13.82,18566
4,20.16,23.01,12894
5,22.72,17.51,9482
6,23.44,25.29,3430
7,25.59,12.85,9836
8,21.31,32.18,11067
9,21.66,29.98,1365
10,23.50,28.00,17642
11,20.76,18.67,9047
12,23.88,11.34,16893
13,19.51,18.73,17995
14,21.87,10.06,16243
15,19.96,33.13,14318
16,15.63,36.42,9928
17,23.35,3.87,1456
18,19.50,21.21,11437
19,24.36,7.43,18432
20,21.04,14.52,18954
21,17.56,30.75,13276
22,22.19,20.32,5879
23,25.35,9.70,3201
24,19.85,26.43,14702
25,17.27,35.64,8765
26,24.81,15.09,19804
27,21.34,26.87,7623
28,18.76,21.95,10248
29,24.15,6.32,16387
30,22.47,13.29,4392
31,19.66,24.58,13421
32,23.78,12.04,17856
33,20.54,17.85,9287
34,18.35,31.76,12643
35,24.92,8.51,5421
36,22.63,19.27,15879
37,21.16,23.84,8032
38,16.88,38.15,10754
39,23.21,14.37,18973
40,19.72,29.43,6419
41,25.12,5.98,14536
42,20.86,22.76,9871
43,18.14,32.59,11765
44,23.67,10.81,15238
45,21.94,16.24,7324
46,20.19,25.62,13876
47,17.72,34.21,9562
48,25.43,7.16,16749
49,22.38,18.93,5123
50,19.37,28.17,12789
51,24.06,11.52,17942
52,21.73,20.85,8217
53,17.94,33.42,13528
54,23.51,9.37,5976
55,20.27,24.09,16432
56,18.80,27.76,9784
57,24.73,6.93,14271
58,22.05,15.68,7819
59,19.89,30.32,12174
60,25.63,4.12,18635
61,21.52,19.56,5438
62,18.53,26.24,14096
63,24.29,8.79,9263
64,20.37,23.47,15784
65,17.39,32.81,7621
66,23.83,13.18,16937
67,22.14,17.37,8462
68,19.05,29.65,11329
69,25.27,5.34,17586
70,21.79,21.43,6124
71,18.42,31.07,15237
72,24.52,9.15,8791
73,20.69,22.84,14683
74,17.83,34.76,6813
75,23.95,12.62,18279
76,22.26,16.81,9357
77,19.17,28.31,12548
78,25.79,6.59,16794
79,21.03,20.18,7265
80,18.28,33.94,13652
81,24.69,10.27,5947
82,20.47,25.16,15863
83,17.18,36.17,8176
84,24.36,8.42,17298
85,22.85,14.91,6482
86,19.79,27.53,14519
87,25.92,5.76,9324
88,21.25,19.84,16783
89,18.63,32.27,7931
90,24.84,11.08,15476
91,20.74,24.37,8569
92,17.51,35.28,12674
93,23.31,13.73,17831
94,22.93,16.16,7152
95,19.28,30.89,14387
96,25.15,7.29,9826
97,21.38,22.12,16538
98,18.96,27.91,8342
99,24.03,12.34,13791
100,20.85,26.75,6937
