,observation_date,gdp,unemployment,quarter,year,time,time_base,unemployment_diff,gdp_diff,gdp_growth
1,1948-04-01,2276.69,3.9,2,1948,1948.5,0.5,0.5,37.008000000000266,1.6523774357252607
2,1948-07-01,2289.77,3.6,3,1948,1948.75,0.75,-0.2999999999999998,13.079999999999927,0.5745182699445239
3,1948-10-01,2292.364,3.7,4,1948,1949.0,1.0,0.10000000000000009,2.594000000000051,0.1132864872891215
4,1949-01-01,2260.807,4.3,1,1949,1949.25,1.25,0.5999999999999996,-31.557000000000244,-1.3766138361970492
5,1949-04-01,2253.128,5.3,2,1949,1949.5,1.5,1.0,-7.678999999999633,-0.33965747629053356
6,1949-07-01,2276.424,6.7,3,1949,1949.75,1.75,1.4000000000000004,23.29599999999982,1.0339403708977013
7,1949-10-01,2257.352,7.9,4,1949,1950.0,2.0,1.2000000000000002,-19.072000000000116,-0.8378052594771535
8,1950-01-01,2346.104,6.5,1,1950,1950.25,2.25,-1.4000000000000004,88.75199999999995,3.9316863298236138
9,1950-04-01,2417.682,5.8,2,1950,1950.5,2.5,-0.7000000000000002,71.57799999999997,3.050930393537543
10,1950-07-01,2511.127,5.0,3,1950,1950.75,2.75,-0.7999999999999998,93.44500000000016,3.865065794426248
11,1950-10-01,2559.214,4.2,4,1950,1951.0,3.0,-0.7999999999999998,48.08699999999999,1.9149569097859143
12,1951-01-01,2593.967,3.7,1,1951,1951.25,3.25,-0.5,34.753000000000156,1.3579559974273403
13,1951-04-01,2638.898,3.1,2,1951,1951.5,3.5,-0.6000000000000001,44.93100000000004,1.7321346031001994
14,1951-07-01,2693.259,3.1,3,1951,1951.75,3.75,0.0,54.360999999999876,2.0599886770917175
15,1951-10-01,2699.156,3.5,4,1951,1952.0,4.0,0.3999999999999999,5.8969999999999345,0.21895406271732476
16,1952-01-01,2727.954,3.2,1,1952,1952.25,4.25,-0.2999999999999998,28.79800000000023,1.0669261057901114
17,1952-04-01,2733.8,2.9,2,1952,1952.5,4.5,-0.30000000000000027,5.846000000000004,0.21429980124298975
18,1952-07-01,2753.517,3.2,3,1952,1952.75,4.75,0.30000000000000027,19.716999999999643,0.7212305216182546
19,1952-10-01,2843.941,3.0,4,1952,1953.0,5.0,-0.20000000000000018,90.42399999999998,3.283945586680592
20,1953-01-01,2896.811,2.9,1,1953,1953.25,5.25,-0.10000000000000009,52.870000000000346,1.8590399730515017
21,1953-04-01,2919.206,2.7,2,1953,1953.5,5.5,-0.19999999999999973,22.394999999999982,0.7730915133917993
22,1953-07-01,2902.785,2.6,3,1953,1953.75,5.75,-0.10000000000000009,-16.421000000000276,-0.5625159718087858
23,1953-10-01,2858.845,3.1,4,1953,1954.0,6.0,0.5,-43.940000000000055,-1.5137187218481563
24,1954-01-01,2845.192,4.9,1,1954,1954.25,6.25,1.8000000000000003,-13.652999999999793,-0.4775704873821396
25,1954-04-01,2848.305,5.9,2,1954,1954.5,6.5,1.0,3.112999999999829,0.1094126512375837
26,1954-07-01,2880.482,5.8,3,1954,1954.75,6.75,-0.10000000000000053,32.177000000000135,1.1296894117729606
27,1954-10-01,2936.852,5.7,4,1954,1955.0,7.0,-0.09999999999999964,56.36999999999989,1.9569641469726173
28,1955-01-01,3020.746,4.9,1,1955,1955.25,7.25,-0.7999999999999998,83.89400000000023,2.8565961103930393
29,1955-04-01,3069.91,4.7,2,1955,1955.5,7.5,-0.20000000000000018,49.16399999999976,1.627544983921192
30,1955-07-01,3111.379,4.0,3,1955,1955.75,7.75,-0.7000000000000002,41.46900000000005,1.3508213595838425
31,1955-10-01,3130.068,4.3,4,1955,1956.0,8.0,0.2999999999999998,18.689000000000306,0.600666135498118
32,1956-01-01,3117.922,4.0,1,1956,1956.25,8.25,-0.2999999999999998,-12.146000000000186,-0.38804268789048857
33,1956-04-01,3143.694,4.0,2,1956,1956.5,8.5,0.0,25.771999999999935,0.8265761619437484
34,1956-07-01,3140.874,4.4,3,1956,1956.75,8.75,0.40000000000000036,-2.8200000000001637,-0.08970338716173254
35,1956-10-01,3192.57,3.9,4,1956,1957.0,9.0,-0.5000000000000004,51.69600000000037,1.645911297301339
36,1957-01-01,3213.011,4.2,1,1957,1957.25,9.25,0.30000000000000027,20.440999999999804,0.6402678719652055
37,1957-04-01,3205.97,3.9,2,1957,1957.5,9.5,-0.30000000000000027,-7.041000000000167,-0.21914023948252925
38,1957-07-01,3237.386,4.2,3,1957,1957.75,9.75,0.30000000000000027,31.416000000000167,0.9799218333296889
39,1957-10-01,3203.894,4.5,4,1957,1958.0,10.0,0.2999999999999998,-33.49200000000019,-1.0345383590341206
40,1958-01-01,3120.724,5.8,1,1958,1958.25,10.25,1.2999999999999998,-83.16999999999962,-2.595903609794814
41,1958-04-01,3141.224,7.4,2,1958,1958.5,10.5,1.6000000000000005,20.5,0.6568988478314663
42,1958-07-01,3213.884,7.5,3,1958,1958.75,10.75,0.09999999999999964,72.65999999999985,2.3131110675329136
43,1958-10-01,3289.032,6.7,4,1958,1959.0,11.0,-0.7999999999999998,75.14800000000014,2.3382300045676763
44,1959-01-01,3352.129,6.0,1,1959,1959.25,11.25,-0.7000000000000002,63.09699999999975,1.9184063882625502
45,1959-04-01,3427.667,5.2,2,1959,1959.5,11.5,-0.7999999999999998,75.53800000000001,2.2534335641617664
46,1959-07-01,3430.057,5.1,3,1959,1959.75,11.75,-0.10000000000000053,2.3899999999998727,0.06972672666276658
47,1959-10-01,3439.832,5.7,4,1959,1960.0,12.0,0.6000000000000005,9.775000000000091,0.28498068690987477
48,1960-01-01,3517.181,5.2,1,1960,1960.25,12.25,-0.5,77.34900000000016,2.2486272585405365
49,1960-04-01,3498.246,5.2,2,1960,1960.5,12.5,0.0,-18.934999999999945,-0.5383572810156778
50,1960-07-01,3515.385,5.5,3,1960,1960.75,12.75,0.2999999999999998,17.139000000000124,0.4899312398270572
51,1960-10-01,3470.278,6.1,4,1960,1961.0,13.0,0.5999999999999996,-45.107000000000426,-1.283131150642114
52,1961-01-01,3493.703,6.6,1,1961,1961.25,13.25,0.5,23.425000000000182,0.6750179668602918
53,1961-04-01,3553.021,7.0,2,1961,1961.5,13.5,0.40000000000000036,59.31800000000021,1.6978546831256214
54,1961-07-01,3621.252,7.0,3,1961,1961.75,13.75,0.0,68.23099999999977,1.9203657957552078
55,1961-10-01,3692.289,6.5,4,1961,1962.0,14.0,-0.5,71.03700000000026,1.961669610399941
56,1962-01-01,3758.147,5.8,1,1962,1962.25,14.25,-0.7000000000000002,65.85799999999972,1.7836631964615934
57,1962-04-01,3792.149,5.6,2,1962,1962.5,14.5,-0.20000000000000018,34.00199999999995,0.9047543909272315
58,1962-07-01,3838.776,5.4,3,1962,1962.75,14.75,-0.1999999999999993,46.62699999999995,1.2295666652338832
59,1962-10-01,3851.421,5.4,4,1962,1963.0,15.0,0.0,12.644999999999982,0.32940187184664627
60,1963-01-01,3893.482,5.7,1,1963,1963.25,15.25,0.2999999999999998,42.06100000000015,1.0920904258454156
61,1963-04-01,3937.183,5.7,2,1963,1963.5,15.5,0.0,43.70100000000002,1.122414332466426
62,1963-07-01,4023.755,5.6,3,1963,1963.75,15.75,-0.10000000000000053,86.57200000000012,2.1988309915998316
63,1963-10-01,4050.147,5.5,4,1963,1964.0,16.0,-0.09999999999999964,26.391999999999825,0.6559047456915268
64,1964-01-01,4135.553,5.6,1,1964,1964.25,16.25,0.09999999999999964,85.40599999999995,2.108713584963695
65,1964-04-01,4180.592,5.3,2,1964,1964.5,16.5,-0.2999999999999998,45.03899999999976,1.0890683785215627
66,1964-07-01,4245.918,4.9,3,1964,1964.75,16.75,-0.39999999999999947,65.32600000000002,1.5626016602433346
67,1964-10-01,4259.046,5.1,4,1964,1965.0,17.0,0.1999999999999993,13.128000000000611,0.30919108659188677
68,1965-01-01,4362.111,4.9,1,1965,1965.25,17.25,-0.1999999999999993,103.0649999999996,2.4199081202691763
69,1965-04-01,4417.225,4.8,2,1965,1965.5,17.5,-0.10000000000000053,55.11400000000049,1.263470828688229
70,1965-07-01,4515.427,4.4,3,1965,1965.75,17.75,-0.39999999999999947,98.20199999999932,2.2231604683935924
71,1965-10-01,4619.458,4.2,4,1965,1966.0,18.0,-0.20000000000000018,104.03099999999995,2.303901712949852
72,1966-01-01,4731.888,4.0,1,1966,1966.25,18.25,-0.20000000000000018,112.43000000000029,2.433835311415322
73,1966-04-01,4748.046,3.8,2,1966,1966.5,18.5,-0.20000000000000018,16.158000000000357,0.3414704659112866
74,1966-07-01,4788.254,3.8,3,1966,1966.75,18.75,0.0,40.20799999999963,0.8468325707038149
75,1966-10-01,4827.537,3.7,4,1966,1967.0,19.0,-0.09999999999999964,39.28300000000036,0.8204034288907813
76,1967-01-01,4870.299,3.9,1,1967,1967.25,19.25,0.19999999999999973,42.761999999999716,0.8857933144789998
77,1967-04-01,4873.287,3.8,2,1967,1967.5,19.5,-0.10000000000000009,2.9880000000002838,0.06135146938617275
