Household ID,Household Income (USD),Household Size,Savings Rate (%)
H001,103504.67,5,9.32
H002,107607.2,1,16.23
H003,31591.31,6,12.32
H004,43834.86,6,18.01
H005,117250.01,5,6.26
H006,71494.01,6,5.12
H007,87400.58,3,5.13
H008,48611.93,6,18.46
H009,68649.34,6,17.89
H010,100704.65,2,13.13
H011,87139.48,2,8.81
H012,118761.31,1,15.28
H013,60888.33,1,7.07
H014,52988.5,6,6.01
H015,103573.86,1,14.04
H016,113566.39,3,7.76
H017,115746.99,2,13.73
H018,94419.62,2,5.49
H019,41888.52,6,10.93
H020,81089.43,2,15.55
H021,104137.88,2,15.56
H022,37510.1,3,7.57
H023,115310.05,5,15.55
H024,68514.79,4,14.38
H025,32564.69,1,12.86
H026,104626.96,4,18.27
H027,47183.57,2,17.87
H028,108839.23,6,9.25
H029,38011.33,2,17.4
H030,111828.81,1,13.56
H031,113351.37,4,8.62
H032,96071.22,4,9.24
H033,73643.05,3,14.3
H034,64855.57,3,15.31
H035,54021.82,4,14.43
H036,104768.2,2,5.84
H037,40131.49,1,6.69
H038,105213.16,5,16.53
H039,106340.55,6,10.99
H040,77535.44,5,8.27
H041,63514.39,2,16.24
H042,59215.21,2,18.54
H043,42928.09,1,11.98
H044,58088.23,5,19.82
H045,93602.88,5,7.0
H046,116176.32,3,8.29
H047,72726.46,3,13.56
H048,89448.17,3,12.79
H049,88771.36,5,13.89
H050,36763.93,5,5.09
H051,45052.99,2,15.01
H052,103577.94,6,17.43
H053,61242.98,1,19.31
H054,44583.48,4,16.34
H055,87225.38,6,7.19
H056,118728.49,2,6.13
H057,99270.22,5,6.15
H058,106650.52,5,12.15
H059,106703.69,1,17.67
H060,108831.63,6,19.26
H061,51627.43,5,12.6
H062,44099.86,3,19.48
H063,106807.89,2,5.57
H064,74834.08,4,19.81
H065,65681.6,2,17.11
H066,96420.18,4,18.25
H067,77943.63,5,11.79
H068,58501.57,6,12.62
H069,109116.3,6,6.57
H070,111213.02,5,10.28
H071,109118.45,5,10.17
H072,105431.97,3,11.17
H073,87368.8,1,17.23
H074,73058.87,6,9.27
H075,95526.38,2,6.14
H076,51470.8,5,16.75
H077,104248.74,6,6.47
H078,73430.11,4,14.55
H079,39947.69,2,16.28
H080,107197.32,5,12.99
H081,56804.06,3,18.04
H082,114567.92,6,10.79
H083,72777.52,3,19.0
H084,41381.03,3,16.74
H085,60362.18,1,12.4
H086,67881.22,3,16.51
H087,104499.63,1,11.25
H088,42699.03,3,7.6
H089,34831.19,3,8.58
H090,110261.19,5,10.53
H091,107461.55,3,6.74
H092,118040.28,1,7.19
H093,90293.74,2,8.66
H094,58707.92,1,10.78
H095,64916.25,1,8.37
H096,55682.7,3,7.33
H097,95537.64,2,18.65
H098,72388.54,5,18.12
H099,97201.18,5,19.55
H100,75486.66,3,12.16
