Shop,Price,Hour (out of 24)
Shop A,2.5,12
Shop A,3.5,15
Shop A,2.5,14
Shop A,2.5,16
Shop A,2.45,19
Shop A,3,18
Shop A,3,13
Shop A,3.75,11
Shop A,3,19
Shop A,3,12
Shop A,3.1,13
Shop A,3,11
Shop A,2.2,12
Shop A,2.5,17
Shop A,2.5,12
Shop A,3,14
Shop A,3.75,16
Shop A,3,13
Shop A,3.75,18
Shop A,3,15
Shop A,4.25,13
Shop A,3.75,11
Shop A,3.75,17
Shop A,3.75,11
Shop A,3.75,13
Shop A,2.5,14
Shop A,4.5,13
Shop A,2,12
Shop A,2.45,12
Shop A,3,12
Shop A,4,19
Shop A,2.5,16
Shop A,3,19
Shop A,3,17
Shop A,4.25,14
Shop A,3.75,14
Shop A,3,17
Shop A,2.5,17
Shop A,3,15
Shop A,3.75,14
Shop A,3.75,16
Shop A,2,12
Shop A,4.25,15
Shop A,2.5,19
Shop A,3,14
Shop A,2.5,11
Shop A,4.75,18
Shop A,3.5,11
Shop A,2.5,16
Shop A,3,19
Shop A,3,11
Shop A,2.5,16
Shop A,2.2,11
Shop A,3,14
Shop A,4.25,14
Shop A,3.75,14
Shop A,2.5,12
Shop A,4,18
Shop A,2.5,19
Shop A,2,19
Shop A,2.5,12
Shop A,2.2,18
Shop A,4.25,18
Shop A,4.25,17
Shop A,4.25,15
Shop A,3.5,15
Shop A,3.75,15
Shop A,3,18
Shop A,2.5,16
Shop A,2.2,11
Shop A,2.5,17
Shop A,2.2,12
Shop A,3.5,18
Shop A,3.75,18
Shop A,3,14
Shop A,3,19
Shop A,2,12
Shop A,2.2,16
Shop A,3.5,16
Shop A,2.45,19
Shop A,3,14
Shop A,2.5,15
Shop A,2,19
Shop A,3,12
Shop A,3,17
Shop A,2.5,12
Shop A,3,14
Shop A,3,12
Shop A,2.45,16
Shop A,3.1,18
Shop A,2.55,17
Shop A,4.25,18
Shop A,4.5,18
Shop A,3,16
Shop A,4,19
Shop A,3,16
Shop A,3.5,16
Shop A,3.1,18
Shop A,3,18
Shop A,2.5,16
Shop A,4.25,16
Shop A,3.1,15
Shop A,3.75,15
Shop A,3,18
Shop A,4.5,11
Shop A,3,16
Shop A,3.75,16
Shop A,2.2,14
Shop A,4,17
Shop A,3.75,19
Shop A,4,19
Shop A,2,18
Shop A,3.75,12
Shop A,2.5,17
Shop A,2.5,19
Shop A,3.5,18
Shop A,2,11
Shop A,2.2,17
Shop A,3,18
Shop A,2.55,13
Shop A,3,13
Shop A,3,11
Shop A,3.75,12
Shop A,4,17
Shop A,3.75,17
Shop A,2.5,11
Shop A,2.5,17
Shop A,3,15
Shop A,2,12
Shop A,3.75,16
Shop A,3,16
Shop A,4.5,18
Shop A,4.25,12
Shop A,2.5,11
Shop A,3.25,11
Shop A,2,16
Shop A,3,15
Shop A,3,11
Shop A,3,11
Shop A,2.2,18
Shop A,3,18
Shop A,4.5,16
Shop A,2.5,18
Shop A,4,19
Shop A,3.1,15
Shop A,3.25,15
Shop A,4.5,11
Shop A,3.75,14
Shop A,3,11
Shop A,2.2,17
Shop A,3,17
Shop A,3.75,18
Shop A,3.75,14
Shop A,3.75,13
Shop A,2.5,12
Shop A,3.75,18
Shop A,3.5,13
Shop A,4,19
Shop A,3,16
Shop A,2.45,15
Shop A,2.55,12
Shop A,2.2,18
Shop A,2,15
Shop A,3.5,17
Shop A,3.1,16
Shop A,4,14
Shop A,2.5,15
Shop A,3.75,14
Shop A,3,18
Shop A,4.25,18
