"Country_Code","Country_Name","Employment_in_agriculture","Year","Coffee_Prod"
"AGO","Angola",56.22402086,2023,20071
"BDI","Burundi",85.05400293,2023,9900
"BEN","Benin",27.99444189,2023,55.09
"BLZ","Belize",15.61904205,2023,89.56
"BOL","Bolivia",24.35061893,2023,23579.45
"BRA","Brazil",8.202818535,2023,3405267
"CAF","Central African Republic",70.53203845,2023,316108
"CHN","China",22.33370987,2023,108000
"CIV","Cote d'Ivoire",45.23172549,2023,91326.79
"CMR","Cameroon",43.41990479,2023,24266.35
"COD","Congo, Dem. Rep.",55.0634904,2023,62216.86
"COG","Congo, Rep.",30.16644543,2023,3237.71
"COL","Colombia",14.43888558,2023,680857.7
"COM","Comoros",34.43307669,2023,143.76
"CPV","Cabo Verde",9.915105822,2023,17.17
"CRI","Costa Rica",13.41196691,2023,78822
"CUB","Cuba",17.1022757,2023,6000
"DMA","Dominica",NA,2023,361.16
"DOM","Dominican Republic",7.385725145,2023,23446.25
"ECU","Ecuador",29.99781661,2023,5584.19
"ETH","Ethiopia",62.36967923,2023,559400
"FJI","Fiji",28.09209919,2023,14.25
"GAB","Gabon",29.18828298,2023,103.9
"GHA","Ghana",35.36956954,2023,736
"GIN","Guinea",58.23698895,2023,2e+05
"GNQ","Equatorial Guinea",55.87481793,2023,4091.67
"GTM","Guatemala",26.66459821,2023,225327.3
"GUY","Guyana",11.28750688,2023,133
"HND","Honduras",22.55924252,2023,384361.03
"HTI","Haiti",44.67761528,2023,5046.87
"IDN","Indonesia",28.7684839,2023,760192.2
"IND","India",43.51358293,2023,332848.3
"JAM","Jamaica",14.60951653,2023,8152
"KEN","Kenya",32.25377494,2023,48700
"KHM","Cambodia",36.00656689,2023,364.83
"LAO","Lao PDR",69.6416787,2023,177662.23
"LBR","Liberia",38.86562399,2023,625.27
"LKA","Sri Lanka",26.26008077,2023,4750
"MDG","Madagascar",69.37767579,2023,49343.51
"MEX","Mexico",11.96475522,2023,194916.12
"MMR","Myanmar",45.19862531,2023,8417.22
"MOZ","Mozambique",69.48458149,2023,794.86
"MWI","Malawi",61.70194219,2023,11000
"MYS","Malaysia",9.8378745,2023,5995.95
"NCL","New Caledonia",1.820392536,2023,1.25
"NGA","Nigeria",34.31025191,2023,1844.06
"NIC","Nicaragua",27.67243923,2023,143336.66
"NPL","Nepal",61.20529926,2023,394.4
"PAN","Panama",14.70767744,2023,12760
"PER","Peru",23.96683082,2023,369550.53
"PHL","Philippines",22.36500443,2023,30023.39
"PNG","Papua New Guinea",38.73247107,2023,45371.09
"PRI","Puerto Rico (US)",1.178500775,2023,1616.37
"PRY","Paraguay",17.17140812,2023,267.33
"PYF","French Polynesia",2.050969835,2023,21.91
"RWA","Rwanda",54.78970743,2023,27104.4
"SLE","Sierra Leone",43.03172924,2023,3600
"SLV","El Salvador",14.75380882,2023,32326.39
"STP","Sao Tome and Principe",11.10056926,2023,7.57
"SUR","Suriname",7.35899163,2023,5.63
"TGO","Togo",30.30852039,2023,22895.05
"THA","Thailand",30.10956816,2023,16574.86
"TLS","Timor-Leste",36.79795253,2023,9167.88
"TON","Tonga",26.29158541,2023,15.05
"TTO","Trinidad and Tobago",2.919250767,2023,771.33
"TZA","Tanzania",65.37116663,2023,62917
"UGA","Uganda",65.91254926,2023,384000
"USA","United States",1.569609917,2023,3121
"VCT","St. Vincent and the Grenadines",9.602275398,2023,185.34
"VEN","Venezuela, RB",10.6310221,2023,56380.58
"VNM","Viet Nam",32.98418826,2023,1956782.5
"VUT","Vanuatu",43.62315667,2023,14.32
"WSM","Samoa",30.21310095,2023,11.77
"YEM","Yemen, Rep.",28.55788031,2023,30290.89
"ZMB","Zambia",55.44526176,2023,8786.74
"ZWE","Zimbabwe",52.53338918,2023,698.88
