Year,Real_GDP
1970,5.316
1971,5.491
1972,5.780
1973,6.106
1974,6.073
1975,6.061
1976,6.387
1977,6.683
1978,7.053
1979,7.276
1980,7.257
1981,7.441
1982,7.307
1983,7.642
1984,8.195
1985,8.537
1986,8.833
1987,9.138
1988,9.519
1989,9.869
1990,10.055
1991,10.044
1992,10.398
1993,10.684
1994,11.115
1995,11.413
1996,11.844
1997,12.370
1998,12.925
1999,13.544
2000,14.096
2001,14.231
2002,14.473
2003,14.877
2004,15.450
2005,15.988
2006,16.433
2007,16.762
2008,16.781
2009,16.349
2010,16.790
2011,17.052
2012,17.443
2013,17.812
2014,18.262
2015,18.800
2016,19.142
2017,19.612
2018,20.194
2019,20.716
2020,20.268
2021,21.495
2022,22.035
2023,22.671
2024,23.305
