,Code,Year,coffe_prod,Entity,GDP
0,AGO,1970,0.204,Angola,0.028522482
1,AGO,1971,0.228,Angola,0.03043585
2,AGO,1972,0.225,Angola,0.030127364
3,AGO,1973,0.21,Angola,0.03251412
4,AGO,1974,0.224772,Angola,0.032680583
5,AGO,1975,0.18,Angola,0.030533284
6,AGO,1976,0.05748,Angola,0.029695132
7,AGO,1977,0.05706,Angola,0.031375712
8,AGO,1978,0.03432,Angola,0.028078903
9,AGO,1979,0.01734,Angola,0.028697123
10,AGO,1980,0.04326,Angola,0.02892742
11,AGO,1981,0.02064,Angola,0.028634075
12,AGO,1982,0.0174,Angola,0.028998656
13,AGO,1983,0.013,Angola,0.029083146
14,AGO,1984,0.015,Angola,0.031850689
15,AGO,1985,0.012,Angola,0.032966547
16,AGO,1986,0.0148,Angola,0.02935868
18,AGO,1988,0.011,Angola,0.031056706
37,AGO,2007,0.011523,Angola,0.12145944
39,AGO,2009,0.011982,Angola,0.11550534
41,AGO,2011,0.010192,Angola,0.20185766
42,AGO,2012,0.01174003,Angola,0.22956324
43,AGO,2013,0.01255,Angola,0.24249028
44,AGO,2014,0.015009,Angola,0.25487466
45,AGO,2015,0.015,Angola,0.2247126
46,AGO,2016,0.014679610000000001,Angola,0.21867065
47,AGO,2017,0.01354299,Angola,0.23015134
48,AGO,2018,0.01322818,Angola,0.23380507
49,AGO,2019,0.01325651,Angola,0.22785571
139,BOL,1969,0.0101,Bolivia,0.009591523
140,BOL,1970,0.0112,Bolivia,0.00939334
141,BOL,1971,0.0124,Bolivia,0.009977065
142,BOL,1972,0.013,Bolivia,0.01016156
143,BOL,1973,0.0134,Bolivia,0.010989853
144,BOL,1974,0.01387,Bolivia,0.011777313
145,BOL,1975,0.0149,Bolivia,0.01246005
146,BOL,1976,0.014664,Bolivia,0.012984377
147,BOL,1977,0.013372,Bolivia,0.013663677
148,BOL,1978,0.013424,Bolivia,0.013597819
149,BOL,1979,0.0157,Bolivia,0.013887001
150,BOL,1980,0.02054,Bolivia,0.013809288
151,BOL,1981,0.021325,Bolivia,0.014236742
152,BOL,1982,0.021179,Bolivia,0.013993296
153,BOL,1983,0.021141,Bolivia,0.013887886
154,BOL,1984,0.021566,Bolivia,0.01448584
155,BOL,1985,0.023361,Bolivia,0.01527031
156,BOL,1986,0.024153,Bolivia,0.015340767
157,BOL,1987,0.0252,Bolivia,0.015982963
158,BOL,1988,0.02545,Bolivia,0.014350957
159,BOL,1989,0.02674,Bolivia,0.015052253
160,BOL,1990,0.024378,Bolivia,0.016026932
161,BOL,1991,0.014071,Bolivia,0.017120052
162,BOL,1992,0.015179,Bolivia,0.017976957
163,BOL,1993,0.013153,Bolivia,0.01921334
164,BOL,1994,0.019216,Bolivia,0.020845146
165,BOL,1995,0.020323,Bolivia,0.02329855
166,BOL,1996,0.022015,Bolivia,0.026058768
167,BOL,1997,0.022608,Bolivia,0.02641555
168,BOL,1998,0.022532,Bolivia,0.02699646
169,BOL,1999,0.026931,Bolivia,0.027045091
170,BOL,2000,0.027696,Bolivia,0.027482989
171,BOL,2001,0.024086,Bolivia,0.02867248
172,BOL,2002,0.024513,Bolivia,0.030088868
173,BOL,2003,0.0247,Bolivia,0.03158918
174,BOL,2004,0.024546,Bolivia,0.033584617
175,BOL,2005,0.024976,Bolivia,0.03597514
176,BOL,2006,0.025272,Bolivia,0.0379647
177,BOL,2007,0.027012,Bolivia,0.04033016
178,BOL,2008,0.027305,Bolivia,0.045558235
179,BOL,2009,0.02827,Bolivia,0.047438836
180,BOL,2010,0.02732702,Bolivia,0.052741243
181,BOL,2011,0.0275964,Bolivia,0.059436564
182,BOL,2012,0.02813686,Bolivia,0.06666789
183,BOL,2013,0.02945513,Bolivia,0.07421727
184,BOL,2014,0.020496,Bolivia,0.07770289
185,BOL,2015,0.020954,Bolivia,0.079743345
186,BOL,2016,0.021427,Bolivia,0.08390908
187,BOL,2017,0.021181,Bolivia,0.09152248
188,BOL,2018,0.02212099,Bolivia,0.09638486
189,BOL,2019,0.024841,Bolivia,0.09883571
190,BRA,1961,2.228704,Brazil,0.18967054
191,BRA,1962,2.190303,Brazil,0.20408748
192,BRA,1963,1.650527,Brazil,0.21823105
193,BRA,1964,1.042013,Brazil,0.22809503
194,BRA,1965,2.294047,Brazil,0.2426276
195,BRA,1966,1.202868,Brazil,0.25455854
196,BRA,1967,1.5075,Brazil,0.2764557
197,BRA,1968,1.0577,Brazil,0.30542057
198,BRA,1969,1.2835,Brazil,0.31082984
199,BRA,1970,0.7548,Brazil,0.35442845
200,BRA,1971,1.551462,Brazil,0.39786388
201,BRA,1972,1.495705,Brazil,0.44599165
202,BRA,1973,0.872897,Brazil,0.50644763
203,BRA,1974,1.615309,Brazil,0.55084116
204,BRA,1975,1.272298,Brazil,0.5741666
205,BRA,1976,0.375985,Brazil,0.6235411
206,BRA,1977,0.975385,Brazil,0.63797304
207,BRA,1978,1.267661,Brazil,0.6636184
208,BRA,1979,1.332772,Brazil,0.70901216
209,BRA,1980,1.061195,Brazil,0.7093135
210,BRA,1981,2.03221,Brazil,0.7351479
211,BRA,1982,0.957931,Brazil,0.75234266
212,BRA,1983,1.671588,Brazil,0.7365008
213,BRA,1984,1.420281,Brazil,0.7639584
214,BRA,1985,1.910646,Brazil,0.80391
215,BRA,1986,1.041406,Brazil,0.9188306
216,BRA,1987,2.202708,Brazil,0.9495213
217,BRA,1988,1.348014,Brazil,0.9566518
218,BRA,1989,1.532335,Brazil,0.9781645
219,BRA,1990,1.464856,Brazil,0.954572
220,BRA,1991,1.520382,Brazil,1.04185115
221,BRA,1992,1.294373,Brazil,1.0711285
222,BRA,1993,1.278759,Brazil,1.1551523
223,BRA,1994,1.307289,Brazil,1.3000928
224,BRA,1995,0.930135,Brazil,1.5139018
225,BRA,1996,1.369196,Brazil,1.8179526
226,BRA,1997,1.228513,Brazil,1.7615918
227,BRA,1998,1.689366,Brazil,1.6879902
228,BRA,1999,1.631852,Brazil,1.6306918
229,BRA,2000,1.903562,Brazil,1.6535724
230,BRA,2001,1.819569,Brazil,1.6458497
231,BRA,2002,2.610524,Brazil,1.657569
232,BRA,2003,1.987074,Brazil,1.651363
233,BRA,2004,2.46571,Brazil,1.7387942
234,BRA,2005,2.140169,Brazil,1.8029515
235,BRA,2006,2.573368,Brazil,1.967472
236,BRA,2007,2.249011,Brazil,2.1916388
237,BRA,2008,2.796927,Brazil,2.4398788
238,BRA,2009,2.440056,Brazil,2.5315933
239,BRA,2010,2.907265,Brazil,2.9381556
240,BRA,2011,2.70054,Brazil,3.280996
241,BRA,2012,3.037534,Brazil,3.271619
242,BRA,2013,2.964538,Brazil,3.306056
243,BRA,2014,2.80407,Brazil,3.2975382
244,BRA,2015,2.647504,Brazil,3.082939
245,BRA,2016,3.024466,Brazil,2.931514
246,BRA,2017,2.684508,Brazil,2.9688256
247,BRA,2018,3.552729,Brazil,3.0421216
248,BRA,2019,3.011745,Brazil,3.0800486
249,BDI,1961,0.014,Burundi,0.0018205379
250,BDI,1962,0.013001,Burundi,0.0019856623
252,BDI,1964,0.017737,Burundi,0.0020933208
253,BDI,1965,0.012831,Burundi,0.0021707323
254,BDI,1966,0.014071,Burundi,0.0022530488
255,BDI,1967,0.018682,Burundi,0.002535058
256,BDI,1968,0.016539,Burundi,0.0025572682
257,BDI,1969,0.014551,Burundi,0.0024674504
258,BDI,1970,0.022084,Burundi,0.002968418
259,BDI,1971,0.025051,Burundi,0.0031022838
260,BDI,1972,0.019403,Burundi,0.0027861932
261,BDI,1973,0.021395,Burundi,0.00303751
262,BDI,1974,0.02814,Burundi,0.0030621522
263,BDI,1975,0.016924,Burundi,0.0030386284
264,BDI,1976,0.021428,Burundi,0.003352995
265,BDI,1977,0.01703,Burundi,0.003819538
266,BDI,1978,0.022783,Burundi,0.0038667988
267,BDI,1979,0.027728,Burundi,0.0039393142
268,BDI,1980,0.018894,Burundi,0.0040607475
269,BDI,1981,0.043824,Burundi,0.0043381724
270,BDI,1982,0.020221,Burundi,0.0042710152
271,BDI,1983,0.035954,Burundi,0.004354756
272,BDI,1984,0.027005,Burundi,0.004448606
273,BDI,1985,0.032493,Burundi,0.0047964155
274,BDI,1986,0.03129,Burundi,0.0050448174
275,BDI,1987,0.037338,Burundi,0.0050634757
276,BDI,1988,0.035247,Burundi,0.00548138
277,BDI,1989,0.0314,Burundi,0.0052977413
278,BDI,1990,0.032694,Burundi,0.0055220884
279,BDI,1991,0.034204,Burundi,0.0057652
280,BDI,1992,0.037215,Burundi,0.005665636
281,BDI,1993,0.022991,Burundi,0.005312859
282,BDI,1994,0.041293,Burundi,0.0053804216
283,BDI,1995,0.025516,Burundi,0.0048878116
284,BDI,1996,0.026875,Burundi,0.0045226614
285,BDI,1997,0.019991,Burundi,0.00443595
286,BDI,1998,0.016937,Burundi,0.004908592
287,BDI,1999,0.02913,Burundi,0.0049459763
288,BDI,2000,0.067439,Burundi,0.0047703373
289,BDI,2001,0.07098,Burundi,0.0048439076
290,BDI,2002,0.182182,Burundi,0.005082718
291,BDI,2003,0.035682,Burundi,0.005344242
292,BDI,2004,0.204509,Burundi,0.005627235
293,BDI,2005,0.034828,Burundi,0.0055542953
294,BDI,2006,0.14946,Burundi,0.005775267
295,BDI,2007,0.031964,Burundi,0.005881253
296,BDI,2008,0.100475,Burundi,0.0062095693
297,BDI,2009,0.020517,Burundi,0.006265482
298,BDI,2010,0.08996,Burundi,0.006650672
299,BDI,2011,0.04196,Burundi,0.007267036
300,BDI,2012,0.02634,Burundi,0.0075440123
301,BDI,2013,0.022625,Burundi,0.0083139405
302,BDI,2014,0.010405,Burundi,0.008707798
303,BDI,2015,0.018367,Burundi,0.008671002
304,BDI,2016,0.01362446,Burundi,0.009021906
305,BDI,2017,0.01634,Burundi,0.008945593
306,BDI,2018,0.014216,Burundi,0.009026536
307,BDI,2019,0.014059,Burundi,0.009109688
358,CMR,1961,0.0447,Cameroon,0.008788787
359,CMR,1962,0.045,Cameroon,0.00884716
360,CMR,1963,0.0536,Cameroon,0.009419621
361,CMR,1964,0.0591,Cameroon,0.009777521
362,CMR,1965,0.0741,Cameroon,0.010346154
363,CMR,1966,0.0633,Cameroon,0.010826853
364,CMR,1967,0.0796,Cameroon,0.009884235
365,CMR,1968,0.0817,Cameroon,0.010284659
366,CMR,1969,0.081815,Cameroon,0.010980378
367,CMR,1970,0.092993,Cameroon,0.011402711
368,CMR,1971,0.09479,Cameroon,0.011546208
369,CMR,1972,0.096165,Cameroon,0.012119849
370,CMR,1973,0.093913,Cameroon,0.012592878
371,CMR,1974,0.104442,Cameroon,0.012704734
372,CMR,1975,0.092488,Cameroon,0.013163668
373,CMR,1976,0.079599,Cameroon,0.012546081
374,CMR,1977,0.086448,Cameroon,0.014242877
375,CMR,1978,0.107993,Cameroon,0.017747065
376,CMR,1979,0.101166,Cameroon,0.018609099
377,CMR,1980,0.112207,Cameroon,0.020713488
378,CMR,1981,0.109286,Cameroon,0.023411878
379,CMR,1982,0.128237,Cameroon,0.026591515
380,CMR,1983,0.0637,Cameroon,0.030344475
381,CMR,1984,0.1379,Cameroon,0.034288579
382,CMR,1985,0.10002,Cameroon,0.035614024
383,CMR,1986,0.132,Cameroon,0.03459203
384,CMR,1987,0.08256,Cameroon,0.034068007
385,CMR,1988,0.1194,Cameroon,0.0333498
386,CMR,1989,0.1157,Cameroon,0.032284434
387,CMR,1990,0.10098,Cameroon,0.03103347
388,CMR,1991,0.11508,Cameroon,0.029799062
389,CMR,1992,0.0762,Cameroon,0.029639752
390,CMR,1993,0.068417,Cameroon,0.030932531
391,CMR,1994,0.073743,Cameroon,0.02983982
392,CMR,1995,0.074,Cameroon,0.033006477
393,CMR,1996,0.104121,Cameroon,0.03504104
394,CMR,1997,0.0636,Cameroon,0.03658922
395,CMR,1998,0.112532,Cameroon,0.038341714
396,CMR,1999,0.098,Cameroon,0.039935136
397,CMR,2000,0.0862,Cameroon,0.041473425
398,CMR,2001,0.0705,Cameroon,0.042446856
399,CMR,2002,0.041,Cameroon,0.0438147
400,CMR,2003,0.048,Cameroon,0.04650156
401,CMR,2004,0.054,Cameroon,0.047715176
402,CMR,2005,0.06,Cameroon,0.04956836
403,CMR,2006,0.0623,Cameroon,0.051431748
404,CMR,2007,0.047792,Cameroon,0.054119653
405,CMR,2008,0.050687,Cameroon,0.05719487
406,CMR,2009,0.048123,Cameroon,0.05731063
407,CMR,2010,0.066584,Cameroon,0.05972107
408,CMR,2011,0.026322,Cameroon,0.06365255
409,CMR,2012,0.038127,Cameroon,0.06823222
410,CMR,2013,0.0418,Cameroon,0.07123741
411,CMR,2014,0.038081870000000004,Cameroon,0.075289575
412,CMR,2015,0.035937989999999996,Cameroon,0.07845827
413,CMR,2016,0.031388,Cameroon,0.08336732
414,CMR,2017,0.0316098,Cameroon,0.08650479
415,CMR,2018,0.0346195,Cameroon,0.090939834
416,CMR,2019,0.0340613,Cameroon,0.09448753
460,CAF,1963,0.0126,Central African Republic,0.0022781932
462,CAF,1965,0.0114,Central African Republic,0.0024072215
466,CAF,1969,0.012163,Central African Republic,0.0027127475
467,CAF,1970,0.010665,Central African Republic,0.00283448
470,CAF,1973,0.010001,Central African Republic,0.002913552
471,CAF,1974,0.0132,Central African Republic,0.0026251433
472,CAF,1975,0.0143,Central African Republic,0.0025847534
473,CAF,1976,0.0139,Central African Republic,0.0025726986
474,CAF,1977,0.0148,Central African Republic,0.0027052076
475,CAF,1978,0.015183,Central African Republic,0.0027741463
476,CAF,1979,0.016073,Central African Republic,0.0027253537
477,CAF,1980,0.016808,Central African Republic,0.0025067645
478,CAF,1981,0.017,Central African Republic,0.002925534
479,CAF,1982,0.017,Central African Republic,0.002955156
480,CAF,1983,0.0154,Central African Republic,0.002793038
481,CAF,1984,0.0184,Central African Republic,0.003006835
482,CAF,1985,0.0133,Central African Republic,0.0033458903
483,CAF,1986,0.0201,Central African Republic,0.0033132961
484,CAF,1987,0.021346,Central African Republic,0.0030882342
485,CAF,1988,0.024482,Central African Republic,0.003251904
486,CAF,1989,0.020808,Central African Republic,0.0034391183
487,CAF,1990,0.014314,Central African Republic,0.0033916058
488,CAF,1991,0.017625,Central African Republic,0.003339995
491,CAF,1994,0.0145,Central African Republic,0.003830596
493,CAF,1996,0.018,Central African Republic,0.003353623
494,CAF,1997,0.015,Central African Republic,0.0035199268
495,CAF,1998,0.012037,Central African Republic,0.0037017298
496,CAF,1999,0.01126,Central African Republic,0.0036610762
497,CAF,2000,0.0129,Central African Republic,0.0037788142
498,CAF,2001,0.0123,Central African Republic,0.0038327744
499,CAF,2002,0.013,Central African Republic,0.0038395154
511,CAF,2014,0.010799,Central African Republic,0.003516555
513,CAF,2016,0.01012,Central African Republic,0.0041316017
515,CAF,2018,0.08997942,Central African Republic,0.004441046
516,CAF,2019,0.20275273000000002,Central African Republic,0.004642449
556,CHN,2000,0.011568,China,5.4201066
557,CHN,2001,0.017202,China,5.898086
558,CHN,2002,0.019456,China,6.458509
559,CHN,2003,0.023144,China,7.0566617
560,CHN,2004,0.021659,China,7.8763094
561,CHN,2005,0.021919,China,8.767904
576,COL,1961,0.45,Colombia,0.06593743
577,COL,1962,0.4821,Colombia,0.06906214
578,COL,1963,0.45,Colombia,0.07111181
579,COL,1964,0.468,Colombia,0.07706656
580,COL,1965,0.492,Colombia,0.07727576
581,COL,1966,0.492,Colombia,0.08153343
582,COL,1967,0.456,Colombia,0.08463956
583,COL,1968,0.48,Colombia,0.09007542
584,COL,1969,0.474,Colombia,0.09619274
585,COL,1970,0.507,Colombia,0.10398532
586,COL,1971,0.468,Colombia,0.115132645
587,COL,1972,0.432,Colombia,0.1265669
588,COL,1973,0.528,Colombia,0.14035829
589,COL,1974,0.47,Colombia,0.15168134
590,COL,1975,0.5132,Colombia,0.16080563
591,COL,1976,0.483,Colombia,0.17155256
592,COL,1977,0.63942,Colombia,0.17979943
593,COL,1978,0.68322,Colombia,0.19337404
594,COL,1979,0.71334,Colombia,0.2003445
595,COL,1980,0.72438,Colombia,0.20989757
596,COL,1981,0.7822,Colombia,0.21114755
597,COL,1982,0.7736,Colombia,0.21212635
598,COL,1983,0.7686,Colombia,0.2111678
599,COL,1984,0.8078,Colombia,0.21556992
600,COL,1985,0.6431,Colombia,0.21532582
601,COL,1986,0.7135,Colombia,0.22903821
602,COL,1987,0.6516,Colombia,0.23106698
603,COL,1988,0.7087,Colombia,0.23849699
604,COL,1989,0.664,Colombia,0.24401487
605,COL,1990,0.845,Colombia,0.25240627
606,COL,1991,0.97074,Colombia,0.25375446
607,COL,1992,1.1,Colombia,0.26591684
608,COL,1993,0.81822,Colombia,0.28395006
609,COL,1994,0.72186,Colombia,0.2996819
610,COL,1995,0.82182,Colombia,0.31314015
611,COL,1996,0.671401,Colombia,0.31439376
612,COL,1997,0.642239,Colombia,0.32205213
613,COL,1998,0.76698,Colombia,0.31501094
614,COL,1999,0.54672,Colombia,0.2983558
615,COL,2000,0.63714,Colombia,0.30755065
616,COL,2001,0.65616,Colombia,0.30916257
617,COL,2002,0.69684,Colombia,0.3131609
618,COL,2003,0.69408,Colombia,0.32443302
619,COL,2004,0.6744,Colombia,0.34038186
620,COL,2005,0.66714,Colombia,0.36374433
621,COL,2006,0.72474,Colombia,0.39815427
622,COL,2007,0.75708,Colombia,0.4389755
623,COL,2008,0.68868,Colombia,0.48227477
624,COL,2009,0.46872,Colombia,0.49110486
625,COL,2010,0.53538,Colombia,0.54068845
626,COL,2011,0.46854,Colombia,0.6039515
627,COL,2012,0.462,Colombia,0.63047297
628,COL,2013,0.65316,Colombia,0.6435049
629,COL,2014,0.7284,Colombia,0.66134514
630,COL,2015,0.82775,Colombia,0.6556351
631,COL,2016,0.818243,Colombia,0.6535504
632,COL,2017,0.85164,Colombia,0.65670054
633,COL,2018,0.81342,Colombia,0.6844351
634,COL,2019,0.88512,Colombia,0.7076596
753,CRI,1961,0.061769,Costa Rica,0.00677161
754,CRI,1962,0.054523,Costa Rica,0.007225571
