Entry,When is your birthday?,What is your favorite color?,Approximately how many miles away from Pittsburgh is your hometown?,What country (or state if you're in the US) do you call home?,What is your year in college?,What is your (primary) major?,How much did you like your statistics class?,How excited are you for this class?,Do you feel confident in Excel?,How confident do you feel in python?,When is your birthyear?,When is your birthmonth?
0,4/18/06,Pink,175,Pennsylvania,Sophomore,Public Health,9,7,No,1,2006,4
1,12/2/05,Pink,300,Pennsylvania,Sophomore,Economics,7,8,Yes,1,2005,12
2,5/19/06,Black,0,PA,Sophomore,Industrial Engineering,5,7,Yes,4,2006,5
3,5/27/08,Purple,250,PA,Freshman,Political Science,5,6,No,1,2008,5
4,3/13/06,Blue,117,Pennsylvania ,Sophomore,Economics,9,6,Yes,1,2006,3
5,11/1/05,Green,10,PA,Sophomore,Biology,8,7,Yes,1,2005,11
6,11/22/05,Red,305,PA,Sophomore,Economics,4,8,No,1,2005,11
7,9/14/06,Yellow,250,PA,Freshman,Economics,5,8,No,3,2006,9
8,8/25/03,Blue,250,PA,Senior,Psychology,9,9,Yes,10,2003,8
9,10/6/05,Blue,20,PA,Sophomore,Finance,7,7,Yes,5,2005,10
10,3/11/06,Yellow,445,Virginia,Sophomore,Environmental Studies,5,7,Yes,1,2006,3
11,10/29/06,Red,195,PA,Sophomore,Public Health,7,8,No,3,2006,10
12,2/26/06,Beige,332,PA,Sophomore,Econ and Poli Sci Double Major,7,8,Yes,3,2006,2
13,12/31/04,Blue,375,NJ,Junior,Economics,4,8,Yes,3,2004,12
14,12/15/04,Pink,269,Pennsylvania,Senior,Accounting,7,7,Yes,5,2004,12
15,11/24/05,Blue,244,Pennsylvania,Sophomore,Economics,3,5,Yes,3,2005,11
16,2/3/06,White,8550,Burma,Junior,Data Science,10,8,Yes,10,2006,2
17,9/4/03,Blue,460,Rhode Island,Senior,Business Analytics,8,7,Yes,8,2003,9
18,9/20/05,Red,300,New Jersey,Sophomore,Political Science,2,4,No,1,2005,9
19,3/22/04,fuchsia,200,New York,Senior,Finance,5,10,Yes,8,2004,3
20,11/30/05,Yellow,14,Pennsylvania,Sophomore,Political Science,3,5,Yes,1,2005,11
21,1/22/05,Blue,280,Pennsylvania,Junior,Biology,4,6,Yes,3,2005,1
22,5/26/06,sea foam green,280,Pennsylvania,Sophomore,Economics,8,6,No,3,2006,5
23,6/22/05,Blue,10,PA,Junior,Economics,7,9,Yes,1,2005,6
24,2/24/05,Blue,6,Pennsylvania,Junior,Applied Mathematics,7,8,No,1,2005,2
25,12/15/04,Black,7530,India,Junior,Economics,9,8,Yes,1,2004,12
26,5/11/04,Blue,195,PA,Senior,Economics,8,10,No,1,2004,5
27,10/14/05,Blue,254,MD,Sophomore,Finance,7,7,Yes,5,2005,10
28,1/9/06,Orange,200,Maryland,Sophomore,Economics and Studio Arts ,9,8,No,1,2006,1
29,2/20/05,Red,4000,Spain,Junior,Economics,5,8,No,1,2005,2
30,3/12/06,Brown,300,"New Jersey, Florida",Sophomore,Political Science,6,7,No,1,2006,3
31,6/29/04,Purple,300,New Jersey,Senior,Economics,4,4,No,1,2004,6
32,7/27/04,Navy blue or emerald green ,400,Philadelphia ,Junior,Economics,6,8,No,5,2004,7
33,2/8/06,Blue,10,pittsburgh,Sophomore,Economics,7,7,No,1,2006,2
34,4/24/07,Black,400,Pennsylvania,Freshman,stat-econ,10,9,No,1,2007,4
35,8/21/04,Blue,10,Pennsylvania,Junior,Finance,7,7,No,4,2004,8
36,9/22/05,Blue,7500,Japan,Sophomore,Sociology,8,5,Yes,1,2005,9
37,2/5/04,Blue,275,Pennsylvania,Senior,Environmental Studies,5,6,Yes,1,2004,2
38,9/26/05,Red,225,Pennsylvania ,Sophomore,Economics,9,9,Yes,1,2005,9
39,12/14/03,Blue,7300,China,Senior,Electrical Engineering,5,8,No,3,2003,12
40,9/17/03,Blue,1,Pennsylvania,Senior,Supply Chain,7,7,No,3,2003,9
41,11/24/03,brown,8,Pennsylvania ,Senior,Economics,6,8,No,3,2003,11
42,6/16/07,Pink,50,Pennyslvania ,Freshman,Economics,7,6,No,1,2007,6
43,8/9/06,Black,359,New Jersey,Sophomore,Applied Mathematics,8,7,No,1,2006,8
44,9/9/05,Blue,1,Texas,Sophomore,Economics,10,9,No,1,2005,9
45,9/24/03,Pink,335,Delaware,Senior,Marketing,6,7,No,7,2003,9
46,1/12/05,Blue,0,PA,Junior,Economics,4,9,Yes,1,2005,1
