When is your birthday?,What is your favorite color?,Approximately how many miles away from Pittsburgh is your hometown?,What country (or state if you're in the US) do you call home?,What is your year in college?,What is your (primary) major?,How much did you like your statistics class?,How excited are you for this class?,Do you feel confident in Excel?,How confident do you feel in python?
4/18/06,Pink,175,Pennsylvania,Sophomore,Public Health,9,7,No,1
12/2/05,pink,300,Pennsylvania,Sophomore,Economics,7,8,Yes,1
5/19/06,black,0,PA,Sophomore,Industrial Engineering,5,7,Yes,4
5/27/08,Purple,250,PA,Freshman,Political Science,5,6,No,1
3/13/06,Blue,117,Pennsylvania ,Sophomore,Economics,9,6,Yes,1
11/1/05,green,10,PA,Sophomore,Biology,8,7,Yes,1
11/22/05,Red,305,PA,Sophomore,Economics,4,8,No,1
9/14/06,Yellow,250,PA,Freshman,Economics,5,8,No,3
8/25/03,Blue,250,PA,Senior,Psychology,9,9,Yes,10
10/6/05,blue,20,PA,Sophomore,Finance,7,7,Yes,5
3/11/06,Yellow,445,Virginia,Sophomore,Environmental Studies,5,7,Yes,1
10/29/06,Red,195,PA,Sophomore,Public Health,7,8,No,3
2/26/06,Beige,332,PA,Sophomore,Econ and Poli Sci Double Major,7,8,Yes,3
12/31/04,Blue,375,NJ,Junior,Economics,4,8,Yes,3
12/15/04,Pink,269,Pennsylvania,Senior,Accounting,7,7,Yes,5
11/24/05,Blue,244,Pennsylvania,Sophomore,Economics,3,5,Yes,3
2/3/06,White,8550,Burma,Junior,Data Science,10,8,Yes,10
9/4/03,Blue,460,Rhode Island,Senior,Business Analytics,8,7,Yes,8
9/20/05,Red,300,New Jersey,Sophomore,Political Science,2,4,No,1
3/22/04,fuchsia,200,New York,Senior,Finance,5,10,Yes,8
11/30/05,Yellow,14,Pennsylvania,Sophomore,Political Science,3,5,Yes,1
1/22/05,Blue,280,Pennsylvania,Junior,Biology,4,6,Yes,3
5/26/06,sea foam green,280,Pennsylvania,Sophomore,Economics,8,6,No,3
6/22/05,Blue,10,PA,Junior,Economics,7,9,Yes,1
2/24/05,Blue,6,Pennsylvania,Junior,Applied Mathematics,7,8,No,1
12/15/04,Black,7530,India,Junior,Economics,9,8,Yes,1
5/11/04,Blue,195,PA,Senior,Economics,8,10,No,1
10/14/05,blue,254,MD,Sophomore,Finance,7,7,Yes,5
1/9/06,Orange,200,Maryland,Sophomore,Economics and Studio Arts ,9,8,No,1
2/20/05,Red,4000,Spain,Junior,Economics,5,8,No,1
3/12/06,Brown,300,"New Jersey, Florida",Sophomore,Political Science,6,7,No,1
6/29/04,Purple,300,New Jersey,Senior,Economics,4,4,No,1
7/27/04,Navy blue or emerald green ,400,Philadelphia ,Junior,Economics,6,8,No,5
2/8/06,blue,10,pittsburgh,Sophomore,Economics,7,7,No,1
4/24/07,Black,400,Pennsylvania,Freshman,stat-econ,10,9,No,1
8/21/04,blue,10,Pennsylvania,Junior,Finance,7,7,No,4
