Household ID,Year,Income (USD),Savings (USD)
H001,2010,34610.47,6156.7
H001,2011,45559.97,2505.9
H001,2012,83698.17,8788.8
H001,2013,115593.13,10939.98
H001,2014,47060.79,9284.82
H001,2015,111979.45,20754.26
H001,2016,83791.84,19141.07
H001,2017,62145.45,4187.84
H001,2018,66787.31,8975.17
H001,2019,97037.22,5430.15
H002,2010,31368.41,2940.09
H002,2011,75113.35,11347.45
H002,2012,74253.32,4106.74
H002,2013,118540.23,10641.06
H002,2014,103901.58,18699.88
H002,2015,110971.71,17643.2
H002,2016,70355.56,6619.62
H002,2017,57550.23,9659.99
H002,2018,53215.82,11275.69
H002,2019,80723.14,4141.08
H003,2010,104914.0,22154.04
H003,2011,68447.51,12979.56
H003,2012,76023.95,8974.64
H003,2013,83670.55,6785.34
H003,2014,70053.44,16913.89
H003,2015,86736.89,10175.88
H003,2016,91052.19,6241.55
H003,2017,79884.06,5539.42
H003,2018,42136.84,9248.99
H003,2019,34423.13,5877.58
H004,2010,90856.97,19209.49
H004,2011,30472.06,5970.89
H004,2012,34441.05,5415.7
H004,2013,37626.38,9204.28
H004,2014,86203.65,10836.39
H004,2015,106630.56,17104.41
H004,2016,82186.64,17742.53
H004,2017,114947.19,19966.78
H004,2018,88578.73,19694.72
H004,2019,46650.54,7719.28
H005,2010,84594.82,16150.37
H005,2011,43576.92,2578.22
H005,2012,116664.26,11150.73
H005,2013,46386.03,5004.01
H005,2014,107053.41,7061.07
H005,2015,50782.02,4903.42
H005,2016,94683.47,6646.81
H005,2017,30734.1,3245.36
H005,2018,57612.56,10205.31
H005,2019,76215.52,9371.95
H006,2010,34654.12,4298.37
H006,2011,91557.92,8414.3
H006,2012,50328.88,5203.78
H006,2013,65055.39,15439.66
H006,2014,32991.41,5925.49
H006,2015,77219.24,13268.29
H006,2016,77573.29,6533.82
H006,2017,95148.01,18632.39
H006,2018,43423.83,3590.3
H006,2019,70995.69,8937.72
H007,2010,113864.7,28227.59
H007,2011,54135.76,9636.16
H007,2012,83636.92,13498.16
H007,2013,36330.62,6791.02
H007,2014,79351.98,17343.99
H007,2015,64277.84,13189.81
H007,2016,50229.3,4812.45
H007,2017,39203.07,2211.84
H007,2018,49018.81,5543.57
H007,2019,106717.72,11050.43
H008,2010,107504.73,9911.57
H008,2011,31658.3,7553.1
H008,2012,80436.6,18120.24
H008,2013,110701.24,12502.11
H008,2014,118440.0,21448.03
H008,2015,69636.74,8991.94
H008,2016,101544.16,23650.6
H008,2017,85598.71,12135.36
H008,2018,100804.83,10380.48
H008,2019,52508.78,5215.46
H009,2010,115851.55,18799.65
H009,2011,32791.31,3362.69
H009,2012,113471.78,18940.39
H009,2013,45076.88,10348.05
H009,2014,37822.43,4912.38
H009,2015,84769.66,7956.83
H009,2016,105544.43,26334.13
H009,2017,109017.78,16560.37
H009,2018,116852.94,7967.25
H009,2019,115506.79,6863.79
H010,2010,105074.68,7558.0
H010,2011,103293.28,18126.86
H010,2012,67568.79,14082.41
H010,2013,101234.71,13609.18
H010,2014,71396.18,4476.94
H010,2015,48657.89,6146.65
H010,2016,76106.49,18967.58
H010,2017,93761.98,14610.26
H010,2018,49040.2,11976.39
H010,2019,117567.96,26118.42
H011,2010,98790.47,5166.37
H011,2011,84099.42,16327.43
H011,2012,106978.62,19934.62
H011,2013,89101.15,14023.99
H011,2014,94496.99,9767.68
H011,2015,85714.35,15273.64
H011,2016,89299.92,6457.32
H011,2017,61041.22,8359.78
H011,2018,99834.42,14051.17
H011,2019,115477.25,27802.67
H012,2010,36005.13,8107.3
H012,2011,75293.34,7730.96
H012,2012,100181.04,15038.9
H012,2013,46141.99,3955.77
H012,2014,76337.68,17750.46
H012,2015,111916.29,25080.86
H012,2016,53110.85,5825.67
H012,2017,84517.43,15026.35
H012,2018,100932.25,17339.56
H012,2019,34545.42,2783.25
H013,2010,30716.52,6220.16
H013,2011,44435.38,7015.27
H013,2012,98785.01,20322.58
H013,2013,67903.3,10597.72
H013,2014,71619.69,3589.18
H013,2015,102021.68,11715.27
H013,2016,51196.47,2759.25
H013,2017,74458.86,17558.87
H013,2018,97586.35,22029.57
H013,2019,69852.67,15111.45
H014,2010,110290.49,12297.7
H014,2011,81104.07,4994.8
H014,2012,64588.51,14571.29
H014,2013,81474.28,19504.12
H014,2014,50113.07,3364.12
H014,2015,45605.73,6713.08
H014,2016,32152.16,2052.67
H014,2017,67429.24,13628.83
H014,2018,53277.95,10824.32
H014,2019,83197.28,6296.23
H015,2010,107288.13,15562.84
H015,2011,69207.06,11070.41
H015,2012,50918.95,5245.23
H015,2013,34892.42,7832.88
H015,2014,99592.35,13407.88
H015,2015,64532.39,5960.19
H015,2016,89045.08,14056.59
H015,2017,49954.34,9790.36
H015,2018,45049.59,4064.83
H015,2019,69757.56,7836.79
H016,2010,54338.24,13531.84
H016,2011,74461.37,13401.23
H016,2012,109870.08,15120.32
H016,2013,89194.47,13692.7
H016,2014,46568.56,3455.43
H016,2015,57639.87,5472.3
H016,2016,67715.85,7964.54
H016,2017,98897.88,16581.39
H016,2018,74121.61,7117.38
H016,2019,111095.58,10447.81
H017,2010,113003.39,7254.66
H017,2011,42199.2,7436.37
H017,2012,77639.24,7436.94
H017,2013,85749.12,19815.25
H017,2014,109425.82,24284.55
H017,2015,116811.0,7495.93
H017,2016,71126.1,6941.97
H017,2017,47797.96,8785.05
H017,2018,68265.25,6338.25
H017,2019,73707.56,5635.85
H018,2010,46235.46,10962.56
H018,2011,113831.45,18692.11
H018,2012,95717.27,13834.42
H018,2013,108834.74,22520.51
H018,2014,106236.43,22468.94
H018,2015,51944.82,4575.4
H018,2016,75610.44,5246.32
H018,2017,32769.37,4463.52
H018,2018,47077.04,6342.02
H018,2019,91624.75,13139.44
H019,2010,91119.03,17842.49
H019,2011,34076.7,6293.04
H019,2012,54949.9,13563.45
H019,2013,98997.11,6898.47
H019,2014,63113.9,8237.89
H019,2015,35430.81,4175.89
H019,2016,54214.57,12053.77
H019,2017,108192.71,10790.2
H019,2018,59243.72,5215.92
H019,2019,88752.17,12400.69
H020,2010,109376.76,14697.65
H020,2011,94275.72,9965.79
H020,2012,31211.19,3119.91
H020,2013,99628.47,23378.13
H020,2014,60616.39,8403.02
H020,2015,75858.85,16861.13
H020,2016,115767.18,18530.28
H020,2017,65801.99,3955.86
H020,2018,62486.59,15612.68
H020,2019,65766.41,14284.83
