ID,Sector
A001,Services
A002,Agriculture
A003,Unemployed
A004,Manufacturing
A005,Manufacturing
A006,Services
A007,Unemployed
A008,Manufacturing
A009,Services
A010,Services
A011,Agriculture
A012,Manufacturing
A013,Services
A014,Services
A015,Unemployed
A016,Manufacturing
A017,Unemployed
A018,Unemployed
A019,Unemployed
A020,Services
A021,Unemployed
A022,Services
A023,Unemployed
A024,Services
A025,Services
A026,Manufacturing
A027,Unemployed
A028,Agriculture
A029,Services
A030,Services
A031,Services
A032,Unemployed
A033,Services
A034,Services
A035,Manufacturing
A036,Agriculture
A037,Unemployed
A038,Services
A039,Agriculture
A040,Unemployed
A041,Services
A042,Services
A043,Agriculture
A044,Manufacturing
A045,Services
A046,Unemployed
A047,Services
A048,Agriculture
A049,Agriculture
A050,Manufacturing
A051,Services
A052,Manufacturing
A053,Agriculture
A054,Services
A055,Agriculture
A056,Unemployed
A057,Services
A058,Manufacturing
A059,Unemployed
A060,Agriculture
A061,Services
A062,Services
A063,Services
A064,Agriculture
A065,Manufacturing
A066,Services
A067,Services
A068,Unemployed
A069,Unemployed
A070,Services
A071,Manufacturing
A072,Services
A073,Manufacturing
A074,Services
A075,Services
A076,Unemployed
A077,Agriculture
A078,Services
A079,Unemployed
A080,Manufacturing
A081,Manufacturing
A082,Manufacturing
A083,Agriculture
A084,Agriculture
A085,Manufacturing
A086,Agriculture
A087,Agriculture
A088,Unemployed
A089,Manufacturing
A090,Services
A091,Manufacturing
A092,Manufacturing
A093,Agriculture
A094,Unemployed
A095,Services
A096,Agriculture
A097,Unemployed
A098,Agriculture
A099,Services
A100,Services
