,date,price,date_column,year,today,cpi
0,8/20/73,0.6735,1973-08-20,1973,0.1412213740458015,44.4
1,8/21/73,0.671,1973-08-21,1973,0.1412213740458015,44.4
2,8/22/73,0.658,1973-08-22,1973,0.1412213740458015,44.4
3,8/23/73,0.6675,1973-08-23,1973,0.1412213740458015,44.4
4,8/24/73,0.666,1973-08-24,1973,0.1412213740458015,44.4
5,8/27/73,0.659,1973-08-27,1973,0.1412213740458015,44.4
6,8/28/73,0.64,1973-08-28,1973,0.1412213740458015,44.4
7,8/29/73,0.6345,1973-08-29,1973,0.1412213740458015,44.4
8,8/30/73,0.6387,1973-08-30,1973,0.1412213740458015,44.4
9,8/31/73,0.6402,1973-08-31,1973,0.1412213740458015,44.4
10,9/4/73,0.6432,1973-09-04,1973,0.1412213740458015,44.4
11,9/5/73,0.637,1973-09-05,1973,0.1412213740458015,44.4
12,9/6/73,0.636,1973-09-06,1973,0.1412213740458015,44.4
13,9/7/73,0.638,1973-09-07,1973,0.1412213740458015,44.4
14,9/10/73,0.6335,1973-09-10,1973,0.1412213740458015,44.4
15,9/11/73,0.6302,1973-09-11,1973,0.1412213740458015,44.4
16,9/12/73,0.6365,1973-09-12,1973,0.1412213740458015,44.4
17,9/13/73,0.645,1973-09-13,1973,0.1412213740458015,44.4
18,9/14/73,0.6645,1973-09-14,1973,0.1412213740458015,44.4
19,9/17/73,0.6575,1973-09-17,1973,0.1412213740458015,44.4
20,9/18/73,0.6562,1973-09-18,1973,0.1412213740458015,44.4
21,9/19/73,0.6515,1973-09-19,1973,0.1412213740458015,44.4
22,9/20/73,0.648,1973-09-20,1973,0.1412213740458015,44.4
23,9/21/73,0.6465,1973-09-21,1973,0.1412213740458015,44.4
24,9/24/73,0.657,1973-09-24,1973,0.1412213740458015,44.4
25,9/25/73,0.673,1973-09-25,1973,0.1412213740458015,44.4
26,9/26/73,0.684,1973-09-26,1973,0.1412213740458015,44.4
27,9/27/73,0.6855,1973-09-27,1973,0.1412213740458015,44.4
28,9/28/73,0.6782,1973-09-28,1973,0.1412213740458015,44.4
29,10/1/73,0.68,1973-10-01,1973,0.1412213740458015,44.4
30,10/2/73,0.6847,1973-10-02,1973,0.1412213740458015,44.4
31,10/3/73,0.6845,1973-10-03,1973,0.1412213740458015,44.4
32,10/4/73,0.6812,1973-10-04,1973,0.1412213740458015,44.4
33,10/5/73,0.6822,1973-10-05,1973,0.1412213740458015,44.4
34,10/9/73,0.677,1973-10-09,1973,0.1412213740458015,44.4
35,10/10/73,0.6795,1973-10-10,1973,0.1412213740458015,44.4
36,10/11/73,0.6702,1973-10-11,1973,0.1412213740458015,44.4
37,10/12/73,0.6507,1973-10-12,1973,0.1412213740458015,44.4
38,10/15/73,0.6415,1973-10-15,1973,0.1412213740458015,44.4
39,10/16/73,0.6433,1973-10-16,1973,0.1412213740458015,44.4
40,10/17/73,0.642,1973-10-17,1973,0.1412213740458015,44.4
41,10/18/73,0.6493,1973-10-18,1973,0.1412213740458015,44.4
42,10/19/73,0.652,1973-10-19,1973,0.1412213740458015,44.4
43,10/23/73,0.652,1973-10-23,1973,0.1412213740458015,44.4
44,10/24/73,0.6453,1973-10-24,1973,0.1412213740458015,44.4
45,10/25/73,0.6483,1973-10-25,1973,0.1412213740458015,44.4
46,10/26/73,0.6478,1973-10-26,1973,0.1412213740458015,44.4
47,10/29/73,0.6438,1973-10-29,1973,0.1412213740458015,44.4
48,10/30/73,0.6448,1973-10-30,1973,0.1412213740458015,44.4
49,10/31/73,0.6505,1973-10-31,1973,0.1412213740458015,44.4
50,11/1/73,0.6544,1973-11-01,1973,0.1412213740458015,44.4
51,11/2/73,0.6475,1973-11-02,1973,0.1412213740458015,44.4
52,11/5/73,0.652,1973-11-05,1973,0.1412213740458015,44.4
53,11/7/73,0.655,1973-11-07,1973,0.1412213740458015,44.4
54,11/8/73,0.657,1973-11-08,1973,0.1412213740458015,44.4
55,11/9/73,0.657,1973-11-09,1973,0.1412213740458015,44.4
56,11/12/73,0.661,1973-11-12,1973,0.1412213740458015,44.4
57,11/13/73,0.657,1973-11-13,1973,0.1412213740458015,44.4
58,11/14/73,0.6413,1973-11-14,1973,0.1412213740458015,44.4
59,11/15/73,0.6445,1973-11-15,1973,0.1412213740458015,44.4
60,11/16/73,0.647,1973-11-16,1973,0.1412213740458015,44.4
61,11/19/73,0.6503,1973-11-19,1973,0.1412213740458015,44.4
62,11/20/73,0.64,1973-11-20,1973,0.1412213740458015,44.4
63,11/21/73,0.6381,1973-11-21,1973,0.1412213740458015,44.4
64,11/23/73,0.641,1973-11-23,1973,0.1412213740458015,44.4
65,11/26/73,0.6275,1973-11-26,1973,0.1412213740458015,44.4
66,11/27/73,0.628,1973-11-27,1973,0.1412213740458015,44.4
67,11/28/73,0.6344,1973-11-28,1973,0.1412213740458015,44.4
68,11/29/73,0.6498,1973-11-29,1973,0.1412213740458015,44.4
69,11/30/73,0.6534,1973-11-30,1973,0.1412213740458015,44.4
70,12/3/73,0.6618,1973-12-03,1973,0.1412213740458015,44.4
