,date,current_price,month,year,previous_price
1,1973-09,0.6527,September,1973,0.65484
2,1973-10,0.659552380952381,October,1973,0.6527
3,1973-11,0.64681,November,1973,0.659552380952381
4,1973-12,0.6709368421052632,December,1973,0.64681
5,1974-01,0.7169909090909091,January,1974,0.6709368421052632
6,1974-02,0.7565500000000001,February,1974,0.7169909090909091
7,1974-03,0.7321761904761905,March,1974,0.7565500000000001
8,1974-04,0.714795238095238,April,1974,0.7321761904761905
9,1974-05,0.7309818181818183,May,1974,0.714795238095238
10,1974-06,0.725355,June,1974,0.7309818181818183
11,1974-07,0.7058590909090909,July,1974,0.725355
12,1974-08,0.6335909090909091,August,1974,0.7058590909090909
13,1974-09,0.544295,September,1974,0.6335909090909091
14,1974-10,0.5753636363636363,October,1974,0.544295
15,1974-11,0.6029611111111112,November,1974,0.5753636363636363
16,1974-12,0.5946421052631579,December,1974,0.6029611111111112
17,1975-01,0.5608863636363636,January,1975,0.5946421052631579
18,1975-02,0.5345722222222222,February,1975,0.5608863636363636
19,1975-03,0.51371,March,1975,0.5345722222222222
20,1975-04,0.480640909090909,April,1975,0.51371
21,1975-05,0.5203428571428571,May,1975,0.480640909090909
22,1975-06,0.5614285714285715,June,1975,0.5203428571428571
23,1975-07,0.6314409090909091,July,1975,0.5614285714285715
24,1975-08,0.8466238095238096,August,1975,0.6314409090909091
25,1975-09,0.8145571428571428,September,1975,0.8466238095238096
26,1975-10,0.8096045454545454,October,1975,0.8145571428571428
27,1975-11,0.7747875,November,1975,0.8096045454545454
28,1975-12,0.8397285714285714,December,1975,0.7747875
29,1976-01,0.93162,January,1976,0.8397285714285714
30,1976-02,0.9938833333333332,February,1976,0.93162
31,1976-03,1.0015565217391305,March,1976,0.9938833333333332
32,1976-04,1.2244904761904762,April,1976,1.0015565217391305
33,1976-05,1.356565,May,1976,1.2244904761904762
34,1976-06,1.4895818181818183,June,1976,1.356565
35,1976-07,1.3632619047619048,July,1976,1.4895818181818183
36,1976-08,1.5392727272727271,August,1976,1.3632619047619048
37,1976-09,1.5708619047619048,September,1976,1.5392727272727271
38,1976-10,1.7361,October,1976,1.5708619047619048
39,1976-11,1.825236842105263,November,1976,1.7361
40,1976-12,2.063242857142857,December,1976,1.825236842105263
41,1977-01,2.1895904761904763,January,1977,2.063242857142857
42,1977-02,2.4256526315789473,February,1977,2.1895904761904763
43,1977-03,3.0029434782608697,March,1977,2.4256526315789473
44,1977-04,3.175705,April,1977,3.0029434782608697
45,1977-05,2.867504761904762,May,1977,3.175705
46,1977-06,2.6266363636363637,June,1977,2.867504761904762
47,1977-07,2.233405263157895,July,1977,2.6266363636363637
48,1977-08,2.0115304347826086,August,1977,2.233405263157895
49,1977-09,1.7761333333333331,September,1977,2.0115304347826086
50,1977-10,1.612575,October,1977,1.7761333333333331
51,1977-11,1.9698105263157897,November,1977,1.612575
52,1977-12,1.833690476190476,December,1977,1.9698105263157897
53,1978-01,1.95384,January,1978,1.833690476190476
54,1978-02,1.8832764705882352,February,1978,1.95384
55,1978-03,1.5860999999999998,March,1978,1.8832764705882352
56,1978-04,1.716665,April,1978,1.5860999999999998
57,1978-05,1.607540909090909,May,1978,1.716665
58,1978-06,1.6617318181818184,June,1978,1.607540909090909
59,1978-07,1.26388,July,1978,1.6617318181818184
60,1978-08,1.3923304347826089,August,1978,1.26388
61,1978-09,1.492415,September,1978,1.3923304347826089
62,1978-10,1.5281809523809524,October,1978,1.492415
63,1978-11,1.456715,November,1978,1.5281809523809524
64,1978-12,1.28106,December,1978,1.456715
65,1979-01,1.300740909090909,January,1979,1.28106
66,1979-02,1.2611684210526315,February,1979,1.300740909090909
67,1979-03,1.3386363636363636,March,1979,1.2611684210526315
68,1979-04,1.425245,April,1979,1.3386363636363636
69,1979-05,1.5495,May,1979,1.425245
70,1979-06,1.954990476190476,June,1979,1.5495
71,1979-07,2.0767,July,1979,1.954990476190476
72,1979-08,2.052482608695652,August,1979,2.0767
73,1979-09,2.117157894736842,September,1979,2.052482608695652
74,1979-10,2.1373391304347824,October,1979,2.117157894736842
75,1979-11,2.1504190476190477,November,1979,2.1373391304347824
76,1979-12,1.9250789473684211,December,1979,2.1504190476190477
77,1980-01,1.7226363636363635,January,1980,1.9250789473684211
78,1980-02,1.6966736842105263,February,1980,1.7226363636363635
79,1980-03,1.8930952380952384,March,1980,1.6966736842105263
80,1980-04,1.8373857142857144,April,1980,1.8930952380952384
81,1980-05,1.9770714285714288,May,1980,1.8373857142857144
82,1980-06,1.849909523809524,June,1980,1.9770714285714288
83,1980-07,1.6220681818181817,July,1980,1.849909523809524
84,1980-08,1.3987190476190476,August,1980,1.6220681818181817
85,1980-09,1.3296428571428571,September,1980,1.3987190476190476
86,1980-10,1.2858913043478262,October,1980,1.3296428571428571
87,1980-11,1.1391222222222224,November,1980,1.2858913043478262
88,1980-12,1.2238095238095237,December,1980,1.1391222222222224
89,1981-01,1.27795,January,1981,1.2238095238095237
90,1981-02,1.2091105263157893,February,1981,1.27795
91,1981-03,1.2391590909090908,March,1981,1.2091105263157893
92,1981-04,1.2597380952380952,April,1981,1.2391590909090908
93,1981-05,1.2131,May,1981,1.2597380952380952
94,1981-06,0.9716681818181818,June,1981,1.2131
95,1981-07,1.0816590909090908,July,1981,0.9716681818181818
96,1981-08,1.1379095238095238,August,1981,1.0816590909090908
97,1981-09,1.1645714285714286,September,1981,1.1379095238095238
98,1981-10,1.349931818181818,October,1981,1.1645714285714286
99,1981-11,1.440225,November,1981,1.349931818181818
100,1981-12,1.363357142857143,December,1981,1.440225
101,1982-01,1.402775,January,1982,1.363357142857143
102,1982-02,1.526042105263158,February,1982,1.402775
103,1982-03,1.3738478260869569,March,1982,1.526042105263158
104,1982-04,1.3516095238095238,April,1982,1.3738478260869569
105,1982-05,1.2676,May,1982,1.3516095238095238
106,1982-06,1.3735272727272727,June,1982,1.2676
107,1982-07,1.243857142857143,July,1982,1.3735272727272727
108,1982-08,1.3050045454545456,August,1982,1.243857142857143
109,1982-09,1.342690476190476,September,1982,1.3050045454545456
110,1982-10,1.4097380952380951,October,1982,1.342690476190476
111,1982-11,1.3774799999999998,November,1982,1.4097380952380951
