Year,coffe_prod
1961,28100
1962,50000
1963,40500
1964,41400
1965,39300
1966,56900
1967,48000
1968,39600
1969,52400
1970,58300
1971,59500
1972,62048
1973,71190
1974,70103
1975,66152
1976,80303
1977,101218
1978,84332
1979,75082
1980,91334
1981,99717
1982,87436
1983,86064
1984,118500
1985,93600
1986,113926
1987,104679
1988,128700
1989,116900
1990,103900
1991,86400
1992,85300
1993,75100
1994,79900
1995,95400
1996,97976
1997,68642
1998,53715
1999,68100
2000,100700
2001,51700
2002,51900
2003,55443
2004,48431
2005,45200
2006,48300
2007,53368
2008,42000
2009,54000
2010,42000
2011,36300
2012,49000
2013,39800
2014,49500
2015,42000
2016,46100
2017,38620
2018,41375
2019,44500
2020,36900
2021,34500
2022,51900
2023,48700
