,transaction_id,staff_id,customer_id,product_id,quantity,unit_price,Hours,Shop
1,11,17,781,27,2,3.5,15,Shop A
2,19,17,788,46,2,2.5,14,Shop A
3,32,12,683,23,2,2.5,16,Shop A
6,50,12,316,49,2,3.0,13,Shop A
8,59,12,370,51,2,3.0,19,Shop A
9,62,12,180,49,2,3.0,12,Shop A
10,81,12,35,35,2,3.1,13,Shop A
12,91,12,500,25,2,2.2,12,Shop A
13,94,17,128,23,2,2.5,17,Shop A
14,101,17,599,48,2,2.5,12,Shop A
15,103,17,152,53,2,3.0,14,Shop A
17,112,12,90,37,2,3.0,13,Shop A
19,120,12,174,53,2,3.0,15,Shop A
20,127,12,116,41,2,4.25,13,Shop A
21,134,17,189,38,2,3.75,11,Shop A
26,143,12,174,59,2,4.5,13,Shop A
31,165,12,127,54,2,2.5,16,Shop A
33,180,17,518,45,2,3.0,17,Shop A
34,199,12,112,41,2,4.25,14,Shop A
36,202,17,437,37,2,3.0,17,Shop A
39,224,17,788,38,2,3.75,14,Shop A
41,227,17,521,28,2,2.0,12,Shop A
44,248,12,416,32,2,3.0,14,Shop A
46,260,12,642,61,2,4.75,18,Shop A
48,268,17,223,42,2,2.5,16,Shop A
51,276,12,401,42,2,2.5,16,Shop A
52,281,12,189,31,2,2.2,11,Shop A
56,297,12,331,48,2,2.5,12,Shop A
57,298,17,414,55,2,4.0,18,Shop A
59,325,12,526,22,2,2.0,19,Shop A
60,326,12,659,52,2,2.5,12,Shop A
61,334,17,492,25,2,2.2,18,Shop A
62,337,17,655,39,2,4.25,18,Shop A
64,357,12,530,41,2,4.25,15,Shop A
66,360,17,114,38,2,3.75,15,Shop A
68,384,17,602,54,2,2.5,16,Shop A
69,385,12,565,31,2,2.2,11,Shop A
72,391,12,216,33,2,3.5,18,Shop A
75,405,17,481,26,2,3.0,19,Shop A
76,411,12,516,22,2,2.0,12,Shop A
79,421,17,717,34,2,2.45,19,Shop A
81,426,17,525,46,2,2.5,15,Shop A
84,434,12,383,26,2,3.0,17,Shop A
85,446,12,659,50,2,2.5,12,Shop A
88,457,12,647,34,2,2.45,16,Shop A
90,461,17,326,56,2,2.55,17,Shop A
93,480,17,185,26,2,3.0,16,Shop A
95,490,12,392,47,2,3.0,16,Shop A
98,495,17,777,24,2,3.0,18,Shop A
101,510,12,288,35,2,3.1,15,Shop A
103,511,12,15,26,2,3.0,18,Shop A
105,516,12,206,43,2,3.0,16,Shop A
108,528,17,197,55,2,4.0,17,Shop A
114,541,12,537,52,2,2.5,19,Shop A
116,550,17,349,22,2,2.0,11,Shop A
118,555,17,244,32,2,3.0,18,Shop A
120,562,12,616,43,2,3.0,13,Shop A
121,565,12,284,51,2,3.0,11,Shop A
122,566,17,384,60,2,3.75,12,Shop A
123,575,17,269,55,2,4.0,17,Shop A
125,580,17,736,54,2,2.5,11,Shop A
126,585,17,385,52,2,2.5,17,Shop A
127,586,12,25,26,2,3.0,15,Shop A
128,588,17,200,28,2,2.0,12,Shop A
130,591,17,644,51,2,3.0,16,Shop A
137,611,17,776,51,2,3.0,11,Shop A
138,616,12,190,30,2,3.0,11,Shop A
139,625,12,729,25,2,2.2,18,Shop A
142,646,12,281,54,2,2.5,18,Shop A
147,677,12,124,36,2,3.75,14,Shop A
148,684,12,693,37,2,3.0,11,Shop A
151,693,17,376,60,2,3.75,18,Shop A
153,703,17,459,38,2,3.75,13,Shop A
154,709,17,120,44,2,2.5,12,Shop A
155,711,12,136,60,2,3.75,18,Shop A
158,728,17,126,51,2,3.0,16,Shop A
159,737,12,162,34,2,2.45,15,Shop A
163,770,17,332,58,2,3.5,17,Shop A
169,789,12,505,41,2,4.25,18,Shop A
172,798,17,329,44,2,2.5,19,Shop A
173,803,17,600,49,2,3.0,11,Shop A
174,807,17,796,26,2,3.0,16,Shop A
175,809,12,52,37,2,3.0,16,Shop A
181,831,12,406,55,2,4.0,19,Shop A
183,859,12,209,27,2,3.5,17,Shop A
186,869,17,536,36,2,3.75,16,Shop A
189,889,12,548,45,2,3.0,16,Shop A
191,891,17,662,34,2,2.45,12,Shop A
195,902,17,685,58,2,3.5,13,Shop A
196,917,12,631,27,2,3.5,19,Shop A
200,924,17,743,57,2,3.1,12,Shop A
201,932,12,296,44,2,2.5,15,Shop A
202,944,17,63,50,2,2.5,19,Shop A
204,946,17,563,47,2,3.0,12,Shop A
207,964,12,608,54,2,2.5,12,Shop A
214,1000,17,732,23,2,2.5,16,Shop A
215,1010,17,430,29,2,2.5,16,Shop A
217,1015,12,7,52,2,2.5,11,Shop A
219,1018,17,467,47,2,3.0,19,Shop A
220,1023,12,434,58,2,3.5,15,Shop A
224,1051,17,403,29,2,2.5,19,Shop A
226,1057,17,409,44,2,2.5,15,Shop A
228,1064,12,557,38,2,3.75,17,Shop A
229,1065,17,231,29,2,2.5,12,Shop A
230,1071,17,571,40,2,3.75,11,Shop A
232,1088,17,226,50,2,2.5,15,Shop A
233,1093,17,745,34,2,2.45,16,Shop A
235,1095,17,177,54,2,2.5,13,Shop A
242,1123,17,299,26,2,3.0,12,Shop A
