Household ID,Rate
H001,9.32
H002,16.23
H003,12.32
H004,18.01
H005,6.26
H006,5.12
H007,5.13
H008,18.46
H009,17.89
H010,13.13
H011,8.81
H012,15.28
H013,7.07
H014,6.01
H015,14.04
H016,7.76
H017,13.73
H018,5.49
H019,10.93
H020,15.55
H021,15.56
H022,7.57
H023,15.55
H024,14.38
H025,12.86
H026,18.27
H027,17.87
H028,9.25
H029,17.4
H030,13.56
H031,8.62
H032,9.24
H033,14.3
H034,15.31
H035,14.43
H036,5.84
H037,6.69
H038,16.53
H039,10.99
H040,8.27
H041,16.24
H042,18.54
H043,11.98
H044,19.82
H045,7
H046,8.29
H047,13.56
H048,12.79
H049,13.89
H050,5.09
H051,15.01
H052,17.43
H053,19.31
H054,16.34
H055,7.19
H056,6.13
H057,6.15
H058,12.15
H059,17.67
H060,19.26
H061,12.6
H062,19.48
H063,5.57
H064,19.81
H065,17.11
H066,18.25
H067,11.79
H068,12.62
H069,6.57
H070,10.28
H071,10.17
H072,11.17
H073,17.23
H074,9.27
H075,6.14
H076,16.75
H077,6.47
H078,14.55
H079,16.28
H080,12.99
H081,18.04
H082,10.79
H083,19
H084,16.74
H085,12.4
H086,16.51
H087,11.25
H088,7.6
H089,8.58
H090,10.53
H091,6.74
H092,7.19
H093,8.66
H094,10.78
H095,8.37
H096,7.33
H097,18.65
H098,18.12
H099,19.55
H100,12.16
