,transaction_id,staff_id,customer_id,product_id,quantity,unit_price,Hours,Shop
0,7,12,558,52,1,2.5,12,Shop A
1,11,17,781,27,2,3.5,15,Shop A
2,19,17,788,46,2,2.5,14,Shop A
3,32,12,683,23,2,2.5,16,Shop A
4,33,17,99,34,1,2.45,19,Shop A
5,39,17,664,32,1,3.0,18,Shop A
6,50,12,316,49,2,3.0,13,Shop A
7,53,12,38,60,1,3.75,11,Shop A
8,59,12,370,51,2,3.0,19,Shop A
9,62,12,180,49,2,3.0,12,Shop A
10,81,12,35,35,2,3.1,13,Shop A
11,90,17,595,47,1,3.0,11,Shop A
12,91,12,500,25,2,2.2,12,Shop A
13,94,17,128,23,2,2.5,17,Shop A
14,101,17,599,48,2,2.5,12,Shop A
15,103,17,152,53,2,3.0,14,Shop A
16,108,17,65,40,1,3.75,16,Shop A
17,112,12,90,37,2,3.0,13,Shop A
18,117,12,82,60,1,3.75,18,Shop A
19,120,12,174,53,2,3.0,15,Shop A
20,127,12,116,41,2,4.25,13,Shop A
21,134,17,189,38,2,3.75,11,Shop A
22,135,17,131,40,1,3.75,17,Shop A
23,137,17,264,40,1,3.75,11,Shop A
24,138,17,722,38,1,3.75,13,Shop A
25,141,17,302,50,1,2.5,14,Shop A
26,143,12,174,59,2,4.5,13,Shop A
27,150,17,604,28,1,2.0,12,Shop A
28,156,17,32,34,1,2.45,12,Shop A
29,156,17,32,77,1,3.0,12,Shop A
30,162,17,470,55,1,4.0,19,Shop A
31,165,12,127,54,2,2.5,16,Shop A
32,175,17,553,47,1,3.0,19,Shop A
33,180,17,518,45,2,3.0,17,Shop A
34,199,12,112,41,2,4.25,14,Shop A
35,199,12,112,79,1,3.75,14,Shop A
36,202,17,437,37,2,3.0,17,Shop A
37,212,17,552,50,1,2.5,17,Shop A
38,219,12,194,43,1,3.0,15,Shop A
39,224,17,788,38,2,3.75,14,Shop A
40,226,12,533,40,1,3.75,16,Shop A
41,227,17,521,28,2,2.0,12,Shop A
42,238,17,512,41,1,4.25,15,Shop A
43,247,17,178,23,1,2.5,19,Shop A
44,248,12,416,32,2,3.0,14,Shop A
45,249,12,22,52,1,2.5,11,Shop A
46,260,12,642,61,2,4.75,18,Shop A
47,262,12,189,58,1,3.5,11,Shop A
48,268,17,223,42,2,2.5,16,Shop A
49,269,12,40,53,1,3.0,19,Shop A
50,270,17,344,49,1,3.0,11,Shop A
51,276,12,401,42,2,2.5,16,Shop A
52,281,12,189,31,2,2.2,11,Shop A
53,290,12,517,43,1,3.0,14,Shop A
54,296,17,328,39,1,4.25,14,Shop A
55,296,17,328,79,1,3.75,14,Shop A
56,297,12,331,48,2,2.5,12,Shop A
57,298,17,414,55,2,4.0,18,Shop A
58,317,12,567,48,1,2.5,19,Shop A
59,325,12,526,22,2,2.0,19,Shop A
60,326,12,659,52,2,2.5,12,Shop A
61,334,17,492,25,2,2.2,18,Shop A
62,337,17,655,39,2,4.25,18,Shop A
63,344,12,500,41,1,4.25,17,Shop A
64,357,12,530,41,2,4.25,15,Shop A
65,357,12,530,76,1,3.5,15,Shop A
66,360,17,114,38,2,3.75,15,Shop A
67,366,17,301,51,1,3.0,18,Shop A
68,384,17,602,54,2,2.5,16,Shop A
69,385,12,565,31,2,2.2,11,Shop A
70,389,12,335,29,1,2.5,17,Shop A
71,390,12,52,25,1,2.2,12,Shop A
72,391,12,216,33,2,3.5,18,Shop A
73,391,12,216,79,1,3.75,18,Shop A
74,396,17,550,47,1,3.0,14,Shop A
75,405,17,481,26,2,3.0,19,Shop A
76,411,12,516,22,2,2.0,12,Shop A
77,413,17,508,31,1,2.2,16,Shop A
78,413,17,508,76,1,3.5,16,Shop A
79,421,17,717,34,2,2.45,19,Shop A
80,422,17,641,26,1,3.0,14,Shop A
81,426,17,525,46,2,2.5,15,Shop A
82,427,12,384,22,1,2.0,19,Shop A
83,429,17,784,47,1,3.0,12,Shop A
84,434,12,383,26,2,3.0,17,Shop A
85,446,12,659,50,2,2.5,12,Shop A
86,447,17,235,30,1,3.0,14,Shop A
87,451,12,319,49,1,3.0,12,Shop A
88,457,12,647,34,2,2.45,16,Shop A
89,459,17,320,35,1,3.1,18,Shop A
90,461,17,326,56,2,2.55,17,Shop A
91,470,12,122,41,1,4.25,18,Shop A
92,474,12,453,59,1,4.5,18,Shop A
93,480,17,185,26,2,3.0,16,Shop A
94,483,12,393,55,1,4.0,19,Shop A
95,490,12,392,47,2,3.0,16,Shop A
96,490,12,392,74,1,3.5,16,Shop A
97,494,12,241,35,1,3.1,18,Shop A
98,495,17,777,24,2,3.0,18,Shop A
99,497,12,407,52,1,2.5,16,Shop A
100,501,17,659,39,1,4.25,16,Shop A
101,510,12,288,35,2,3.1,15,Shop A
102,510,12,288,79,1,3.75,15,Shop A
103,511,12,15,26,2,3.0,18,Shop A
104,513,17,486,59,1,4.5,11,Shop A
105,516,12,206,43,2,3.0,16,Shop A
106,516,12,206,71,1,3.75,16,Shop A
107,523,17,315,25,1,2.2,14,Shop A
108,528,17,197,55,2,4.0,17,Shop A
109,529,12,329,36,1,3.75,19,Shop A
110,530,17,184,55,1,4.0,19,Shop A
111,534,17,474,22,1,2.0,18,Shop A
112,537,17,706,38,1,3.75,12,Shop A
113,539,17,384,29,1,2.5,17,Shop A
114,541,12,537,52,2,2.5,19,Shop A
115,546,17,128,27,1,3.5,18,Shop A
116,550,17,349,22,2,2.0,11,Shop A
117,554,17,245,25,1,2.2,17,Shop A
118,555,17,244,32,2,3.0,18,Shop A
119,558,12,65,56,1,2.55,13,Shop A
120,562,12,616,43,2,3.0,13,Shop A
121,565,12,284,51,2,3.0,11,Shop A
122,566,17,384,60,2,3.75,12,Shop A
123,575,17,269,55,2,4.0,17,Shop A
124,575,17,269,71,1,3.75,17,Shop A
125,580,17,736,54,2,2.5,11,Shop A
126,585,17,385,52,2,2.5,17,Shop A
127,586,12,25,26,2,3.0,15,Shop A
128,588,17,200,28,2,2.0,12,Shop A
129,590,17,450,36,1,3.75,16,Shop A
130,591,17,644,51,2,3.0,16,Shop A
131,593,17,482,59,1,4.5,18,Shop A
132,599,12,83,41,1,4.25,12,Shop A
133,601,17,199,23,1,2.5,11,Shop A
134,601,17,199,69,1,3.25,11,Shop A
135,602,12,425,22,1,2.0,16,Shop A
136,610,12,222,43,1,3.0,15,Shop A
137,611,17,776,51,2,3.0,11,Shop A
138,616,12,190,30,2,3.0,11,Shop A
139,625,12,729,25,2,2.2,18,Shop A
140,625,12,729,77,1,3.0,18,Shop A
141,641,12,749,59,1,4.5,16,Shop A
142,646,12,281,54,2,2.5,18,Shop A
143,660,17,362,55,1,4.0,19,Shop A
144,675,17,271,57,1,3.1,15,Shop A
145,675,17,271,70,1,3.25,15,Shop A
146,676,12,289,59,1,4.5,11,Shop A
147,677,12,124,36,2,3.75,14,Shop A
148,684,12,693,37,2,3.0,11,Shop A
149,691,12,602,25,1,2.2,17,Shop A
150,691,12,602,77,1,3.0,17,Shop A
151,693,17,376,60,2,3.75,18,Shop A
152,694,12,251,60,1,3.75,14,Shop A
153,703,17,459,38,2,3.75,13,Shop A
154,709,17,120,44,2,2.5,12,Shop A
155,711,12,136,60,2,3.75,18,Shop A
