,staff_id,customer_id,product_id,quantity,unit_price,Hours,Shop
1,17,781,27,2,3.5,15,Shop A
2,17,788,46,2,2.5,14,Shop A
3,12,683,23,2,2.5,16,Shop A
6,12,316,49,2,3.0,13,Shop A
8,12,370,51,2,3.0,19,Shop A
9,12,180,49,2,3.0,12,Shop A
10,12,35,35,2,3.1,13,Shop A
12,12,500,25,2,2.2,12,Shop A
13,17,128,23,2,2.5,17,Shop A
14,17,599,48,2,2.5,12,Shop A
15,17,152,53,2,3.0,14,Shop A
17,12,90,37,2,3.0,13,Shop A
19,12,174,53,2,3.0,15,Shop A
20,12,116,41,2,4.25,13,Shop A
21,17,189,38,2,3.75,11,Shop A
26,12,174,59,2,4.5,13,Shop A
31,12,127,54,2,2.5,16,Shop A
33,17,518,45,2,3.0,17,Shop A
34,12,112,41,2,4.25,14,Shop A
36,17,437,37,2,3.0,17,Shop A
39,17,788,38,2,3.75,14,Shop A
41,17,521,28,2,2.0,12,Shop A
44,12,416,32,2,3.0,14,Shop A
46,12,642,61,2,4.75,18,Shop A
48,17,223,42,2,2.5,16,Shop A
51,12,401,42,2,2.5,16,Shop A
52,12,189,31,2,2.2,11,Shop A
56,12,331,48,2,2.5,12,Shop A
57,17,414,55,2,4.0,18,Shop A
59,12,526,22,2,2.0,19,Shop A
60,12,659,52,2,2.5,12,Shop A
61,17,492,25,2,2.2,18,Shop A
62,17,655,39,2,4.25,18,Shop A
64,12,530,41,2,4.25,15,Shop A
66,17,114,38,2,3.75,15,Shop A
68,17,602,54,2,2.5,16,Shop A
69,12,565,31,2,2.2,11,Shop A
72,12,216,33,2,3.5,18,Shop A
75,17,481,26,2,3.0,19,Shop A
76,12,516,22,2,2.0,12,Shop A
79,17,717,34,2,2.45,19,Shop A
81,17,525,46,2,2.5,15,Shop A
84,12,383,26,2,3.0,17,Shop A
85,12,659,50,2,2.5,12,Shop A
88,12,647,34,2,2.45,16,Shop A
90,17,326,56,2,2.55,17,Shop A
93,17,185,26,2,3.0,16,Shop A
95,12,392,47,2,3.0,16,Shop A
98,17,777,24,2,3.0,18,Shop A
101,12,288,35,2,3.1,15,Shop A
103,12,15,26,2,3.0,18,Shop A
105,12,206,43,2,3.0,16,Shop A
108,17,197,55,2,4.0,17,Shop A
114,12,537,52,2,2.5,19,Shop A
116,17,349,22,2,2.0,11,Shop A
118,17,244,32,2,3.0,18,Shop A
120,12,616,43,2,3.0,13,Shop A
121,12,284,51,2,3.0,11,Shop A
122,17,384,60,2,3.75,12,Shop A
123,17,269,55,2,4.0,17,Shop A
125,17,736,54,2,2.5,11,Shop A
126,17,385,52,2,2.5,17,Shop A
127,12,25,26,2,3.0,15,Shop A
128,17,200,28,2,2.0,12,Shop A
130,17,644,51,2,3.0,16,Shop A
137,17,776,51,2,3.0,11,Shop A
138,12,190,30,2,3.0,11,Shop A
139,12,729,25,2,2.2,18,Shop A
142,12,281,54,2,2.5,18,Shop A
147,12,124,36,2,3.75,14,Shop A
148,12,693,37,2,3.0,11,Shop A
151,17,376,60,2,3.75,18,Shop A
153,17,459,38,2,3.75,13,Shop A
154,17,120,44,2,2.5,12,Shop A
