COUNTRY,TIME
 France,16.36
 Spain,15.93
 Netherlands,15.9
 Denmark,15.87
 Belgium,15.77
 Norway,15.56
 Germany,15.55
 Ireland,15.28
 Sweden,15.18
 Finland,15.17
 Luxembourg,15.15
 Czech Republic,15.06
 Hungary,15.06
  Switzerland,15.02
 Slovakia,15.01
 United Kingdom,14.92
 Chile,14.9
 Estonia,14.9
 Russia,14.9
 Italy,14.89
 Portugal,14.89
 New Zealand,14.87
 Japan,14.85
 Slovenia,14.75
 South Africa,14.73
 South Korea,14.7
 Greece,14.67
 Austria,14.55
 Brazil,14.45
 United States,14.44
 Poland,14.42
 Canada,14.41
 Australia,14.35
 Iceland,14.15
 Israel,13.93
 Latvia,13.83
 Mexico,12.74
 Turkey,12.59
