,Entity,Code,Year,coffe_prod
189,Brazil,BRA,1961,2228704.0
190,Brazil,BRA,1962,2190303.0
191,Brazil,BRA,1963,1650527.0
192,Brazil,BRA,1964,1042013.0
193,Brazil,BRA,1965,2294047.0
194,Brazil,BRA,1966,1202868.0
195,Brazil,BRA,1967,1507500.0
196,Brazil,BRA,1968,1057700.0
197,Brazil,BRA,1969,1283500.0
198,Brazil,BRA,1970,754800.0
199,Brazil,BRA,1971,1551462.0
200,Brazil,BRA,1972,1495705.0
201,Brazil,BRA,1973,872897.0
202,Brazil,BRA,1974,1615309.0
203,Brazil,BRA,1975,1272298.0
204,Brazil,BRA,1976,375985.0
205,Brazil,BRA,1977,975385.0
206,Brazil,BRA,1978,1267661.0
207,Brazil,BRA,1979,1332772.0
208,Brazil,BRA,1980,1061195.0
209,Brazil,BRA,1981,2032210.0
210,Brazil,BRA,1982,957931.0
211,Brazil,BRA,1983,1671588.0
212,Brazil,BRA,1984,1420281.0
213,Brazil,BRA,1985,1910646.0
214,Brazil,BRA,1986,1041406.0
215,Brazil,BRA,1987,2202708.0
216,Brazil,BRA,1988,1348014.0
217,Brazil,BRA,1989,1532335.0
218,Brazil,BRA,1990,1464856.0
219,Brazil,BRA,1991,1520382.0
220,Brazil,BRA,1992,1294373.0
221,Brazil,BRA,1993,1278759.0
222,Brazil,BRA,1994,1307289.0
223,Brazil,BRA,1995,930135.0
224,Brazil,BRA,1996,1369196.0
225,Brazil,BRA,1997,1228513.0
226,Brazil,BRA,1998,1689366.0
227,Brazil,BRA,1999,1631852.0
228,Brazil,BRA,2000,1903562.0
229,Brazil,BRA,2001,1819569.0
230,Brazil,BRA,2002,2610524.0
231,Brazil,BRA,2003,1987074.0
232,Brazil,BRA,2004,2465710.0
233,Brazil,BRA,2005,2140169.0
234,Brazil,BRA,2006,2573368.0
235,Brazil,BRA,2007,2249011.0
236,Brazil,BRA,2008,2796927.0
237,Brazil,BRA,2009,2440056.0
238,Brazil,BRA,2010,2907265.0
239,Brazil,BRA,2011,2700540.0
240,Brazil,BRA,2012,3037534.0
241,Brazil,BRA,2013,2964538.0
242,Brazil,BRA,2014,2804070.0
243,Brazil,BRA,2015,2647504.0
244,Brazil,BRA,2016,3024466.0
245,Brazil,BRA,2017,2684508.0
246,Brazil,BRA,2018,3552729.0
247,Brazil,BRA,2019,3011745.0
248,Brazil,BRA,2020,3705719.0
249,Brazil,BRA,2021,2985581.0
250,Brazil,BRA,2022,3179176.0
251,Brazil,BRA,2023,3405267.0
567,Colombia,COL,1961,450000.0
568,Colombia,COL,1962,482100.0
569,Colombia,COL,1963,450000.0
570,Colombia,COL,1964,468000.0
571,Colombia,COL,1965,492000.0
572,Colombia,COL,1966,492000.0
573,Colombia,COL,1967,456000.0
574,Colombia,COL,1968,480000.0
575,Colombia,COL,1969,474000.0
576,Colombia,COL,1970,507000.0
577,Colombia,COL,1971,468000.0
578,Colombia,COL,1972,432000.0
579,Colombia,COL,1973,528000.0
580,Colombia,COL,1974,470000.0
581,Colombia,COL,1975,513200.0
582,Colombia,COL,1976,483000.0
583,Colombia,COL,1977,639420.0
584,Colombia,COL,1978,683220.0
585,Colombia,COL,1979,713340.0
586,Colombia,COL,1980,724380.0
587,Colombia,COL,1981,782200.0
588,Colombia,COL,1982,773600.0
589,Colombia,COL,1983,768600.0
590,Colombia,COL,1984,807800.0
591,Colombia,COL,1985,643100.0
592,Colombia,COL,1986,713500.0
593,Colombia,COL,1987,651600.0
594,Colombia,COL,1988,708700.0
595,Colombia,COL,1989,664000.0
596,Colombia,COL,1990,845000.0
597,Colombia,COL,1991,970740.0
598,Colombia,COL,1992,1100000.0
599,Colombia,COL,1993,818220.0
600,Colombia,COL,1994,721860.0
601,Colombia,COL,1995,821820.0
602,Colombia,COL,1996,671401.0
603,Colombia,COL,1997,642239.0
604,Colombia,COL,1998,766980.0
605,Colombia,COL,1999,546720.0
606,Colombia,COL,2000,637140.0
607,Colombia,COL,2001,656160.0
608,Colombia,COL,2002,696840.0
609,Colombia,COL,2003,694080.0
610,Colombia,COL,2004,674400.0
611,Colombia,COL,2005,667140.0
612,Colombia,COL,2006,724740.0
613,Colombia,COL,2007,757080.0
614,Colombia,COL,2008,688680.0
615,Colombia,COL,2009,468720.0
616,Colombia,COL,2010,535380.0
617,Colombia,COL,2011,468540.0
618,Colombia,COL,2012,462000.0
619,Colombia,COL,2013,653160.0
620,Colombia,COL,2014,728400.0
621,Colombia,COL,2015,827750.0
622,Colombia,COL,2016,818243.0
623,Colombia,COL,2017,851640.0
624,Colombia,COL,2018,813420.0
625,Colombia,COL,2019,885120.0
626,Colombia,COL,2020,833400.0
627,Colombia,COL,2021,560340.0
628,Colombia,COL,2022,665015.94
629,Colombia,COL,2023,680857.7
1953,Honduras,HND,1961,21450.0
1954,Honduras,HND,1962,27939.0
1955,Honduras,HND,1963,29014.0
1956,Honduras,HND,1964,29276.0
1957,Honduras,HND,1965,32195.0
1958,Honduras,HND,1966,33569.0
1959,Honduras,HND,1967,35041.0
1960,Honduras,HND,1968,36512.0
1961,Honduras,HND,1969,37984.0
1962,Honduras,HND,1970,39456.0
1963,Honduras,HND,1971,40927.0
1964,Honduras,HND,1972,42399.0
1965,Honduras,HND,1973,41778.0
1966,Honduras,HND,1974,45342.0
1967,Honduras,HND,1975,46814.0
1968,Honduras,HND,1976,48285.0
1969,Honduras,HND,1977,49757.0
1970,Honduras,HND,1978,59796.0
1971,Honduras,HND,1979,72547.0
1972,Honduras,HND,1980,64228.0
1973,Honduras,HND,1981,75347.0
1974,Honduras,HND,1982,72420.0
1975,Honduras,HND,1983,79474.0
1976,Honduras,HND,1984,72545.0
1977,Honduras,HND,1985,75091.0
1978,Honduras,HND,1986,76318.0
1979,Honduras,HND,1987,79877.0
1980,Honduras,HND,1988,94046.0
1981,Honduras,HND,1989,100234.0
1982,Honduras,HND,1990,119784.0
1983,Honduras,HND,1991,101890.0
1984,Honduras,HND,1992,111660.0
1985,Honduras,HND,1993,110481.0
1986,Honduras,HND,1994,126182.0
1987,Honduras,HND,1995,132400.0
1988,Honduras,HND,1996,148830.0
1989,Honduras,HND,1997,162658.0
1990,Honduras,HND,1998,172772.0
1991,Honduras,HND,1999,157409.0
1992,Honduras,HND,2000,193309.0
1993,Honduras,HND,2001,205545.0
1994,Honduras,HND,2002,172727.0
1995,Honduras,HND,2003,175284.0
1996,Honduras,HND,2004,185090.0
1997,Honduras,HND,2005,190640.0
1998,Honduras,HND,2006,213636.0
1999,Honduras,HND,2007,236302.0
2000,Honduras,HND,2008,240948.0
2001,Honduras,HND,2009,231288.0
2002,Honduras,HND,2010,244335.0
2003,Honduras,HND,2011,284347.0
2004,Honduras,HND,2012,343403.0
2005,Honduras,HND,2013,280697.0
2006,Honduras,HND,2014,282230.0
2007,Honduras,HND,2015,332747.0
2008,Honduras,HND,2016,366542.0
2009,Honduras,HND,2017,477580.0
2010,Honduras,HND,2018,478830.75
2011,Honduras,HND,2019,472497.97
2012,Honduras,HND,2020,364552.38
2013,Honduras,HND,2021,417591.25
2014,Honduras,HND,2022,330111.3
2015,Honduras,HND,2023,384361.03
2016,India,IND,1961,43200.0
2017,India,IND,1962,46000.0
2018,India,IND,1963,56200.0
2019,India,IND,1964,69300.0
2020,India,IND,1965,60900.0
2021,India,IND,1966,63900.0
2022,India,IND,1967,78500.0
2023,India,IND,1968,57331.0
2024,India,IND,1969,73430.0
2025,India,IND,1970,63619.0
2026,India,IND,1971,110231.0
2027,India,IND,1972,68948.0
2028,India,IND,1973,91072.0
2029,India,IND,1974,86388.0
2030,India,IND,1975,92506.0
2031,India,IND,1976,84000.0
2032,India,IND,1977,102300.0
2033,India,IND,1978,125000.0
2034,India,IND,1979,110488.0
2035,India,IND,1980,149835.0
2036,India,IND,1981,118600.0
2037,India,IND,1982,152100.0
2038,India,IND,1983,130000.0
2039,India,IND,1984,105029.0
2040,India,IND,1985,195100.0
2041,India,IND,1986,122400.0
2042,India,IND,1987,192100.0
2043,India,IND,1988,122700.0
2044,India,IND,1989,214700.0
2045,India,IND,1990,118100.0
2046,India,IND,1991,170000.0
2047,India,IND,1992,180000.0
2048,India,IND,1993,162000.0
2049,India,IND,1994,208000.0
2050,India,IND,1995,180000.0
2051,India,IND,1996,223000.0
2052,India,IND,1997,205000.0
2053,India,IND,1998,228000.0
2054,India,IND,1999,265000.0
2055,India,IND,2000,292000.0
2056,India,IND,2001,301000.0
2057,India,IND,2002,301000.0
2058,India,IND,2003,275275.0
2059,India,IND,2004,270500.0
2060,India,IND,2005,275500.0
2061,India,IND,2006,274000.0
2062,India,IND,2007,288000.0
2063,India,IND,2008,262000.0
2064,India,IND,2009,262300.0
2065,India,IND,2010,289600.0
2066,India,IND,2011,302000.0
2067,India,IND,2012,314000.0
2068,India,IND,2013,318200.0
2069,India,IND,2014,304500.0
2070,India,IND,2015,327000.0
2071,India,IND,2016,348000.0
2072,India,IND,2017,312000.0
2073,India,IND,2018,316000.0
2074,India,IND,2019,319500.0
2075,India,IND,2020,298000.0
2076,India,IND,2021,334000.0
2077,India,IND,2022,340406.47
2078,India,IND,2023,332848.3
2079,Indonesia,IDN,1961,103100.0
2080,Indonesia,IDN,1962,106700.0
2081,Indonesia,IDN,1963,139600.0
2082,Indonesia,IDN,1964,118200.0
2083,Indonesia,IDN,1965,134500.0
2084,Indonesia,IDN,1966,142200.0
2085,Indonesia,IDN,1967,153478.0
2086,Indonesia,IDN,1968,157347.0
2087,Indonesia,IDN,1969,173613.0
2088,Indonesia,IDN,1970,185091.0
2089,Indonesia,IDN,1971,180916.0
2090,Indonesia,IDN,1972,178735.0
2091,Indonesia,IDN,1973,150163.0
2092,Indonesia,IDN,1974,149811.0
2093,Indonesia,IDN,1975,170372.0
2094,Indonesia,IDN,1976,193377.0
2095,Indonesia,IDN,1977,193966.0
2096,Indonesia,IDN,1978,222690.0
2097,Indonesia,IDN,1979,273675.0
2098,Indonesia,IDN,1980,294973.0
2099,Indonesia,IDN,1981,314899.0
2100,Indonesia,IDN,1982,281251.0
2101,Indonesia,IDN,1983,305648.0
2102,Indonesia,IDN,1984,315489.0
2103,Indonesia,IDN,1985,311398.0
2104,Indonesia,IDN,1986,356822.0
2105,Indonesia,IDN,1987,388669.0
2106,Indonesia,IDN,1988,391095.0
2107,Indonesia,IDN,1989,401048.0
2108,Indonesia,IDN,1990,412767.0
2109,Indonesia,IDN,1991,428305.0
2110,Indonesia,IDN,1992,436930.0
2111,Indonesia,IDN,1993,438868.0
2112,Indonesia,IDN,1994,450191.0
2113,Indonesia,IDN,1995,457801.0
2114,Indonesia,IDN,1996,421751.0
2115,Indonesia,IDN,1997,426800.0
2116,Indonesia,IDN,1998,512165.0
2117,Indonesia,IDN,1999,524687.0
2118,Indonesia,IDN,2000,554574.0
2119,Indonesia,IDN,2001,569234.0
2120,Indonesia,IDN,2002,682019.0
2121,Indonesia,IDN,2003,663571.0
2122,Indonesia,IDN,2004,647385.0
2123,Indonesia,IDN,2005,640365.0
2124,Indonesia,IDN,2006,682158.0
2125,Indonesia,IDN,2007,676475.0
2126,Indonesia,IDN,2008,698016.0
2127,Indonesia,IDN,2009,682591.0
2128,Indonesia,IDN,2010,684076.0
2129,Indonesia,IDN,2011,638600.0
2130,Indonesia,IDN,2012,691163.0
2131,Indonesia,IDN,2013,675800.0
2132,Indonesia,IDN,2014,643900.0
2133,Indonesia,IDN,2015,639412.0
2134,Indonesia,IDN,2016,639305.0
2135,Indonesia,IDN,2017,717962.0
2136,Indonesia,IDN,2018,756051.0
2137,Indonesia,IDN,2019,752512.0
2138,Indonesia,IDN,2020,762380.0
2139,Indonesia,IDN,2021,786191.0
2140,Indonesia,IDN,2022,774960.5
2141,Indonesia,IDN,2023,760192.2
2646,Mexico,MEX,1961,126616.0
2647,Mexico,MEX,1962,139794.0
2648,Mexico,MEX,1963,137069.0
2649,Mexico,MEX,1964,156477.0
2650,Mexico,MEX,1965,162149.0
2651,Mexico,MEX,1966,183005.0
2652,Mexico,MEX,1967,224505.0
2653,Mexico,MEX,1968,212656.0
2654,Mexico,MEX,1969,172734.0
2655,Mexico,MEX,1970,185293.0
2656,Mexico,MEX,1971,187495.0
2657,Mexico,MEX,1972,203462.0
2658,Mexico,MEX,1973,221718.0
2659,Mexico,MEX,1974,220767.0
2660,Mexico,MEX,1975,228264.0
2661,Mexico,MEX,1976,212200.0
2662,Mexico,MEX,1977,182010.0
2663,Mexico,MEX,1978,241602.0
