,city,avg_temp,state_id,county_fips,lat,lng,population,timezone,median_income
2,Akron,9.605075665277331,OH,39153,41.0798,-81.5219,538659,America/New_York,34512
8,Alexandria,11.918474511061238,VA,51510,38.8185,-77.0861,156788,America/New_York,89134
11,Alexandria,11.918474511061238,KY,21037,38.9621,-84.3859,10430,America/New_York,68200
16,Allentown,9.523295607566528,PA,42077,40.5961,-75.4756,632175,America/New_York,36930
17,Allentown,9.523295607566528,GA,13319,32.5855,-83.2273,233,America/New_York,28958
20,Anchorage,-2.3016456107756618,KY,21111,38.2689,-85.5364,2421,America/New_York,160000
27,Arlington,14.54253232916973,GA,13037,31.4383,-84.7253,1083,America/New_York,21429
34,Atlanta,14.436725553061878,GA,13121,33.7628,-84.422,5211164,America/New_York,47527
42,Aurora,9.42382626963829,OH,39133,41.3118,-81.345,17386,America/New_York,81887
45,Aurora,9.42382626963829,IN,18029,39.0674,-84.9044,3704,America/New_York,37429
51,Aurora,9.42382626963829,NC,37013,35.303,-76.7889,620,America/New_York,40625
59,Baltimore,11.918474511061238,MD,24510,39.3051,-76.6144,2189589,America/New_York,42241
66,Bellevue,7.50399770852429,OH,39077,41.2745,-82.8403,8201,America/New_York,47822
67,Bellevue,7.50399770852429,KY,21037,39.1012,-84.4775,5598,America/New_York,52233
76,Boston,7.341440525809555,MA,25025,42.3188,-71.0852,4355184,America/New_York,55777
77,Boston,7.341440525809555,GA,13275,30.792,-83.7899,1305,America/New_York,24261
79,Bridgeport,9.99492978518756,CT,9120,41.1918,-73.1954,921660,America/New_York,41801
80,Bridgeport,9.99492978518756,WV,54033,39.3036,-80.2478,9292,America/New_York,79324
92,Buffalo,7.7269057624960205,NY,36029,42.9018,-78.8487,949547,America/New_York,31918
98,Buffalo,7.7269057624960205,WV,54079,38.6108,-81.9817,1110,America/New_York,37115
106,Cambridge,7.341440525809555,MA,25017,42.3759,-71.1185,117794,America/New_York,79416
107,Cambridge,7.341440525809555,MD,24019,38.5515,-76.0787,13094,America/New_York,35354
108,Cambridge,7.341440525809555,OH,39059,40.0221,-81.5869,10046,America/New_York,29020
113,Cambridge,7.341440525809555,KY,21111,38.2218,-85.6171,134,America/New_York,51250
115,Cape Coral,23.035940394973068,FL,12071,26.6443,-81.9957,656464,America/New_York,50536
117,Carrollton,18.06272,GA,13045,33.5818,-85.0838,27058,America/New_York,34055
118,Carrollton,18.06272,KY,21041,38.6799,-85.1658,3894,America/New_York,39784
123,Cary,14.41886117345303,NC,37183,35.7819,-78.8195,176686,America/New_York,91579
131,Charleston,18.696557871112535,SC,45019,32.8168,-79.9687,726389,America/New_York,55546
132,Charleston,18.696557871112535,WV,54039,38.3484,-81.6322,133045,America/New_York,48442
137,Charleston,18.696557871112535,TN,47011,35.2862,-84.7611,816,America/New_York,39375
139,Charlotte,15.994026611093298,NC,37119,35.2083,-80.8303,1436613,America/New_York,53637
144,Chattanooga,15.076709842898364,TN,47065,35.066,-85.2481,410795,America/New_York,40177
146,Chesapeake,15.67885604360372,VA,51550,36.6778,-76.3023,251153,America/New_York,68620
147,Chesapeake,15.67885604360372,WV,54039,38.2232,-81.5363,1615,America/New_York,40286
150,Cincinnati,11.22867393395319,OH,39061,39.1413,-84.506,1704916,America/New_York,33604
156,Clarksville,14.281885540237257,VA,51117,36.6171,-78.5638,1723,America/New_York,38194
159,Clearwater,21.925672809569996,FL,12103,27.979,-82.7623,117075,America/New_York,44198
162,Cleveland,9.605075665277331,OH,39035,41.4764,-81.6805,1679247,America/New_York,26150
163,Cleveland,9.605075665277331,TN,47011,35.1817,-84.8707,70578,America/New_York,36669
166,Cleveland,9.605075665277331,GA,13311,34.597,-83.7622,3529,America/New_York,33494
169,Cleveland,9.605075665277331,NC,37159,35.7331,-80.6817,1053,America/New_York,51181
173,Cleveland,9.605075665277331,VA,51167,36.9434,-82.1527,346,America/New_York,18854
176,Columbia,15.994026611093298,SC,45079,34.0378,-80.9036,605083,America/New_York,41260
182,Columbia,15.994026611093298,AL,1069,31.2968,-85.1103,769,America/New_York,31806
183,Columbia,15.994026611093298,NC,37177,35.92,-76.2421,674,America/New_York,27083
186,Columbia,15.994026611093298,VA,51065,37.7538,-78.1632,38,America/New_York,(X)
187,Columbus,14.017228598909906,OH,39049,39.9862,-82.9855,1578153,America/New_York,45659
188,Columbus,14.017228598909906,GA,13215,32.51,-84.8771,257578,America/New_York,42306
197,Columbus,14.017228598909906,NC,37149,35.2656,-82.1976,1166,America/New_York,38750
201,Concord,14.44798735457764,NC,37025,35.3933,-80.6369,297379,America/New_York,53587
202,Concord,14.44798735457764,NH,33013,43.2305,-71.5595,44219,America/New_York,56093
203,Concord,14.44798735457764,GA,13231,33.0917,-84.4387,488,America/New_York,63750
205,Concord,14.44798735457764,KY,21135,38.6876,-83.4915,18,America/New_York,(X)
206,Coral Springs,23.068924442896936,FL,12011,26.2702,-80.2591,133962,America/New_York,66430
213,Dallas,18.06272,GA,13223,33.9152,-84.8416,14440,America/New_York,49417
214,Dallas,18.06272,NC,37071,35.3169,-81.183,6012,America/New_York,34770
216,Dayton,11.299415517794165,OH,39113,39.7805,-84.2003,667936,America/New_York,27683
219,Dayton,11.299415517794165,TN,47143,35.4912,-85.012,7191,America/New_York,27594
220,Dayton,11.299415517794165,KY,21037,39.1127,-84.4639,5703,America/New_York,35794
223,Dayton,11.299415517794165,VA,51165,38.4173,-78.9412,2023,America/New_York,48984
230,Denton,18.06272,MD,24011,38.877,-75.8264,4879,America/New_York,41122
231,Denton,18.06272,NC,37057,35.6378,-80.1106,1271,America/New_York,35438
232,Denton,18.06272,GA,13161,31.7222,-82.6968,321,America/New_York,28750
246,Durham,14.41886117345303,NC,37063,35.9792,-78.9022,411362,America/New_York,50420
249,Edison,9.523295607566528,GA,13037,31.5608,-84.7374,1330,America/New_York,17371
253,Elizabeth,9.523295607566528,NJ,34039,40.6658,-74.1913,135887,America/New_York,43568
255,Elizabeth,9.523295607566528,WV,54105,39.0616,-81.3979,610,America/New_York,31691
266,Fairfield,14.44798735457764,OH,39017,39.3301,-84.5409,44597,America/New_York,56370
275,Fairfield,14.44798735457764,KY,21179,37.932,-85.3839,187,America/New_York,43542
278,Fayetteville,16.415527092016674,NC,37051,35.085,-78.9772,326821,America/New_York,43630
279,Fayetteville,16.415527092016674,GA,13113,33.4501,-84.471,19364,America/New_York,63931
281,Fayetteville,16.415527092016674,WV,54019,38.0622,-81.1083,2864,America/New_York,36429
287,Fort Lauderdale,23.068924442896936,FL,12011,26.1412,-80.1464,183032,America/New_York,50778
292,Fremont,14.44798735457764,OH,39143,41.3535,-83.1147,15851,America/New_York,33147
295,Fremont,14.44798735457764,NC,37191,35.5436,-77.9751,948,America/New_York,29375
301,Gainesville,20.139912151330556,FL,12001,29.6804,-82.3459,219946,America/New_York,31818
302,Gainesville,20.139912151330556,GA,13139,34.2902,-83.8294,182116,America/New_York,40706
310,Garland,18.06272,NC,37163,34.7859,-78.3947,914,America/New_York,20625
316,Gilbert,21.04876905095839,SC,45063,33.9245,-81.3928,563,America/New_York,53654
317,Gilbert,21.04876905095839,WV,54059,37.6142,-81.8689,320,America/New_York,43333
330,Greensboro,14.41886117345303,NC,37081,36.0956,-79.8271,345858,America/New_York,41628
