,city,AvgTemperature,state_id,county_fips,lat,lng,population,timezone
0,Abilene,16.8925,TX,48441,32.4543,-99.7384,127130,America/Chicago
1,Abilene,16.8925,KS,20041,38.923,-97.2252,6449,America/Chicago
2,Akron,9.605075665277333,OH,39153,41.0798,-81.5219,538659,America/New_York
3,Akron,9.605075665277333,PA,42071,40.158,-76.2031,4133,America/New_York
4,Akron,9.605075665277333,NY,36029,43.018,-78.4978,2904,America/New_York
5,Akron,9.605075665277333,CO,8121,40.1635,-103.2202,1681,America/Denver
6,Akron,9.605075665277333,IA,19149,42.8268,-96.5572,1660,America/Chicago
7,Akron,9.605075665277333,IN,18049,41.0388,-86.0249,1061,America/Indiana/Indianapolis
8,Akron,9.605075665277333,AL,1065,32.8785,-87.7429,354,America/Chicago
9,Akron,9.605075665277333,MI,26157,43.5667,-83.5143,312,America/Detroit
10,Albuquerque,11.135263937282229,NM,35001,35.1054,-106.6465,767499,America/Denver
11,Alexandria,11.918474511061238,VA,51510,38.8185,-77.0861,156788,America/New_York
12,Alexandria,11.918474511061238,LA,22079,31.2923,-92.4702,73457,America/Chicago
13,Alexandria,11.918474511061238,MN,27041,45.8776,-95.3767,14579,America/Chicago
14,Alexandria,11.918474511061238,KY,21037,38.9621,-84.3859,10430,America/New_York
15,Alexandria,11.918474511061238,IN,18095,40.263,-85.6737,5145,America/Indiana/Indianapolis
16,Alexandria,11.918474511061238,AL,1015,33.7675,-85.8792,3420,America/Chicago
17,Alexandria,11.918474511061238,TN,47041,36.0791,-86.0382,1145,America/Chicago
18,Alexandria,11.918474511061238,SD,46061,43.6541,-97.7798,725,America/Chicago
19,Alexandria,11.918474511061238,OH,39089,40.09,-82.6118,467,America/New_York
20,Alexandria,11.918474511061238,PA,42061,40.5583,-78.0997,401,America/New_York
21,Alexandria,11.918474511061238,NE,31169,40.2475,-97.3878,77,America/Chicago
22,Alexandria,11.918474511061238,MO,29045,40.3598,-91.4595,50,America/Chicago
23,Allentown,9.523295607566528,PA,42077,40.5961,-75.4756,632175,America/New_York
24,Allentown,9.523295607566528,NJ,34025,40.1778,-74.5873,1926,America/New_York
25,Allentown,9.523295607566528,FL,12113,30.7745,-87.0822,1200,America/Chicago
26,Allentown,9.523295607566528,GA,13319,32.5855,-83.2273,233,America/New_York
27,Amarillo,15.023385972461275,TX,48375,35.1984,-101.8316,205100,America/Chicago
28,Anaheim,16.124837126960042,CA,6059,33.839,-117.8574,344553,America/Los_Angeles
29,Anchorage,-2.3016456107756618,AK,2020,61.1508,-149.1091,289069,America/Anchorage
30,Anchorage,-2.3016456107756618,KY,21111,38.2689,-85.5364,2421,America/New_York
31,Ann Arbor,8.52034129258198,MI,26161,42.2759,-83.731,314647,America/Detroit
32,Antioch,14.447987354577641,CA,6013,37.9787,-121.796,333347,America/Los_Angeles
33,Antioch,14.447987354577641,IL,17097,42.4742,-88.0721,14751,America/Chicago
34,Antioch,14.447987354577641,GA,13145,32.679,-85.0577,769,America/New_York
35,Antioch,14.447987354577641,IN,18023,40.2273,-86.5056,182,America/Indiana/Indianapolis
36,Antioch,14.447987354577641,OH,39111,39.661,-81.0669,46,America/New_York
37,Arlington,14.54253232916973,TX,48439,32.6998,-97.125,394769,America/Chicago
38,Arlington,14.54253232916973,VA,51013,38.8786,-77.1011,235463,America/New_York
39,Arlington,14.54253232916973,WA,53061,48.1701,-122.1442,20599,America/Los_Angeles
40,Arlington,14.54253232916973,TN,47157,35.2594,-89.668,14989,America/Chicago
41,Arlington,14.54253232916973,NY,36027,41.6965,-73.8989,2522,America/New_York
42,Arlington,14.54253232916973,MN,27143,44.6083,-94.0768,2298,America/Chicago
43,Arlington,14.54253232916973,OH,39063,40.8937,-83.6529,1446,America/New_York
44,Arlington,14.54253232916973,NE,31177,41.4548,-96.3565,1437,America/Chicago
45,Arlington,14.54253232916973,GA,13037,31.4383,-84.7253,1083,America/New_York
46,Arlington,14.54253232916973,WI,55021,43.3351,-89.3726,947,America/Chicago
47,Arlington,14.54253232916973,SD,46077,44.3635,-97.1338,833,America/Chicago
48,Arlington,14.54253232916973,OR,41021,45.7207,-120.1887,720,America/Los_Angeles
49,Arlington,14.54253232916973,IN,18139,39.6458,-85.5797,491,America/Indiana/Indianapolis
50,Arlington,14.54253232916973,IA,19065,42.7488,-91.671,452,America/Chicago
51,Arlington,14.54253232916973,KS,20155,37.8962,-98.178,393,America/Chicago
52,Arlington,14.54253232916973,KY,21039,36.7904,-89.0132,235,America/Chicago
53,Arlington,14.54253232916973,IL,17011,41.4716,-89.2478,181,America/Chicago
54,Arlington,14.54253232916973,AZ,4013,33.3346,-112.7747,60,America/Phoenix
55,Arlington,14.54253232916973,WY,56007,41.6053,-106.1997,11,America/Denver
56,Arvada,2.4194053356282272,CO,8059,39.832,-105.151,122835,America/Denver
57,Arvada,2.4194053356282272,WY,56033,44.6621,-106.1418,9,America/Denver
58,Atlanta,14.436725553061878,GA,13121,33.7628,-84.422,5211164,America/New_York
59,Atlanta,14.436725553061878,TX,48067,33.1136,-94.1672,5434,America/Chicago
60,Atlanta,14.436725553061878,IL,17107,40.2638,-89.2309,1738,America/Chicago
61,Atlanta,14.436725553061878,IN,18057,40.2139,-86.027,789,America/Indiana/Indianapolis
62,Atlanta,14.436725553061878,MI,26119,45.0012,-84.1513,645,America/Detroit
63,Atlanta,14.436725553061878,MO,29121,39.8986,-92.48,439,America/Chicago
64,Atlanta,14.436725553061878,LA,22127,31.8064,-92.7383,179,America/Chicago
65,Atlanta,14.436725553061878,KS,20035,37.4358,-96.767,153,America/Chicago
66,Atlanta,14.436725553061878,NE,31137,40.3684,-99.4732,117,America/Chicago
67,Aurora,9.42382626963829,CO,8005,39.7083,-104.7237,390201,America/Denver
68,Aurora,9.42382626963829,IL,17089,41.7638,-88.2902,179867,America/Chicago
69,Aurora,9.42382626963829,OH,39133,41.3118,-81.345,17386,America/New_York
70,Aurora,9.42382626963829,MO,29109,36.9673,-93.7184,7331,America/Chicago
71,Aurora,9.42382626963829,NE,31081,40.8645,-98.0078,4665,America/Chicago
72,Aurora,9.42382626963829,IN,18029,39.0674,-84.9044,3704,America/New_York
73,Aurora,9.42382626963829,MN,27137,47.5312,-92.24,1897,America/Chicago
74,Aurora,9.42382626963829,TX,48497,33.056,-97.5096,1453,America/Chicago
75,Aurora,9.42382626963829,SD,46011,44.2823,-96.6868,1407,America/Chicago
76,Aurora,9.42382626963829,OR,41047,45.2284,-122.7573,1104,America/Los_Angeles
77,Aurora,9.42382626963829,UT,49041,38.9202,-111.9335,881,America/Denver
78,Aurora,9.42382626963829,NC,37013,35.303,-76.7889,620,America/New_York
79,Aurora,9.42382626963829,WV,54077,39.3254,-79.5546,304,America/New_York
80,Aurora,9.42382626963829,IA,19019,42.6194,-91.7295,178,America/Chicago
81,Aurora,9.42382626963829,KS,20029,39.452,-97.53,32,America/Chicago
82,Austin,19.98009499136442,TX,48453,30.3005,-97.7522,1915031,America/Chicago
83,Austin,19.98009499136442,MN,27099,43.6721,-92.9784,26167,America/Chicago
84,Austin,19.98009499136442,AR,5085,35.0058,-91.9895,3805,America/Chicago
85,Austin,19.98009499136442,IN,18143,38.7417,-85.8117,3588,America/Indiana/Indianapolis
86,Austin,19.98009499136442,PA,42105,41.6373,-78.0903,597,America/New_York
87,Austin,19.98009499136442,NV,32015,39.4976,-117.074,47,America/Los_Angeles
88,Austin,19.98009499136442,MS,28143,34.6423,-90.448,0,America/Chicago
89,Bakersfield,15.817692463328276,CA,6029,35.3529,-119.0359,578542,America/Los_Angeles
90,Bakersfield,15.817692463328276,VT,50011,44.7821,-72.8032,377,America/New_York
91,Bakersfield,15.817692463328276,MO,29153,36.5238,-92.1442,246,America/Chicago
92,Baltimore,11.918474511061238,MD,24510,39.3051,-76.6144,2189589,America/New_York
93,Baltimore,11.918474511061238,OH,39045,39.846,-82.6046,2970,America/New_York
94,Baton Rouge,20.30314216673379,LA,22033,30.442,-91.1311,630063,America/Chicago
95,Beaumont,20.018034838709678,TX,48245,30.0849,-94.1451,146554,America/Chicago
96,Beaumont,20.018034838709678,CA,6065,33.9076,-116.9766,54817,America/Los_Angeles
97,Beaumont,20.018034838709678,MS,28111,31.1707,-88.9252,917,America/Chicago
98,Beaumont,20.018034838709678,KS,20015,37.6565,-96.5316,40,America/Chicago
99,Bellevue,7.50399770852429,WA,53033,47.5951,-122.1535,151199,America/Los_Angeles
100,Bellevue,7.50399770852429,NE,31153,41.1485,-95.939,64355,America/Chicago
101,Bellevue,7.50399770852429,WI,55009,44.4592,-87.955,16255,America/Chicago
102,Bellevue,7.50399770852429,OH,39077,41.2745,-82.8403,8201,America/New_York
103,Bellevue,7.50399770852429,PA,42003,40.4945,-80.055,8186,America/New_York
104,Bellevue,7.50399770852429,KY,21037,39.1012,-84.4775,5598,America/New_York
105,Bellevue,7.50399770852429,ID,16013,43.4684,-114.2551,2571,America/Boise
106,Bellevue,7.50399770852429,IA,19097,42.2624,-90.4318,2256,America/Chicago
107,Bellevue,7.50399770852429,IL,17143,40.6877,-89.6731,2158,America/Chicago
108,Bellevue,7.50399770852429,MI,26045,42.4443,-85.0187,1333,America/Detroit
