,date,price
0,8/20/73,0.6735
1,8/21/73,0.671
2,8/22/73,0.658
3,8/23/73,0.6675
4,8/24/73,0.666
5,8/27/73,0.659
6,8/28/73,0.64
7,8/29/73,0.6345
8,8/30/73,0.6387
9,8/31/73,0.6402
10,9/4/73,0.6432
11,9/5/73,0.637
12,9/6/73,0.636
13,9/7/73,0.638
14,9/10/73,0.6335
15,9/11/73,0.6302
16,9/12/73,0.6365
17,9/13/73,0.645
18,9/14/73,0.6645
19,9/17/73,0.6575
20,9/18/73,0.6562
21,9/19/73,0.6515
22,9/20/73,0.648
23,9/21/73,0.6465
24,9/24/73,0.657
25,9/25/73,0.673
26,9/26/73,0.684
27,9/27/73,0.6855
28,9/28/73,0.6782
29,10/1/73,0.68
30,10/2/73,0.6847
31,10/3/73,0.6845
32,10/4/73,0.6812
33,10/5/73,0.6822
34,10/9/73,0.677
35,10/10/73,0.6795
36,10/11/73,0.6702
37,10/12/73,0.6507
38,10/15/73,0.6415
39,10/16/73,0.6433
40,10/17/73,0.642
41,10/18/73,0.6493
42,10/19/73,0.652
43,10/23/73,0.652
44,10/24/73,0.6453
45,10/25/73,0.6483
46,10/26/73,0.6478
47,10/29/73,0.6438
48,10/30/73,0.6448
49,10/31/73,0.6505
50,11/1/73,0.6544
51,11/2/73,0.6475
52,11/5/73,0.652
53,11/7/73,0.655
54,11/8/73,0.657
55,11/9/73,0.657
56,11/12/73,0.661
57,11/13/73,0.657
58,11/14/73,0.6413
59,11/15/73,0.6445
60,11/16/73,0.647
61,11/19/73,0.6503
62,11/20/73,0.64
63,11/21/73,0.6381
64,11/23/73,0.641
65,11/26/73,0.6275
66,11/27/73,0.628
67,11/28/73,0.6344
68,11/29/73,0.6498
69,11/30/73,0.6534
70,12/3/73,0.6618
71,12/4/73,0.6645
72,12/5/73,0.6655
73,12/6/73,0.664
74,12/7/73,0.6718
75,12/10/73,0.685
76,12/11/73,0.6735
77,12/12/73,0.6739
78,12/13/73,0.6698
79,12/14/73,0.667
80,12/17/73,0.6688
81,12/18/73,0.6693
82,12/19/73,0.672
83,12/20/73,0.6728
84,12/21/73,0.6733
85,12/26/73,0.6763
86,12/27/73,0.674
87,12/28/73,0.6705
88,12/31/73,0.674
89,1/2/74,0.689
90,1/3/74,0.688
91,1/4/74,0.684
92,1/7/74,0.6978
93,1/8/74,0.692
94,1/9/74,0.6903
95,1/10/74,0.6958
96,1/11/74,0.7085
97,1/14/74,0.7285
98,1/15/74,0.7195
99,1/16/74,0.7238
100,1/17/74,0.719
101,1/18/74,0.718
102,1/21/74,0.738
103,1/22/74,0.731
104,1/23/74,0.7225
105,1/24/74,0.7405
106,1/25/74,0.7485
107,1/28/74,0.7425
108,1/29/74,0.7373
109,1/30/74,0.7328
110,1/31/74,0.7265
111,2/1/74,0.7333
112,2/4/74,0.7533
113,2/5/74,0.755
114,2/6/74,0.7405
115,2/7/74,0.75
116,2/8/74,0.768
117,2/11/74,0.788
118,2/13/74,0.768
119,2/14/74,0.773
120,2/15/74,0.78
121,2/19/74,0.76
122,2/20/74,0.7425
123,2/21/74,0.7625
124,2/22/74,0.7548
125,2/25/74,0.7476
126,2/26/74,0.7625
127,2/27/74,0.7442
128,2/28/74,0.7347
129,3/1/74,0.737
130,3/4/74,0.7181
131,3/5/74,0.7025
132,3/6/74,0.719
133,3/7/74,0.72
134,3/8/74,0.7248
135,3/11/74,0.7208
136,3/12/74,0.7208
137,3/13/74,0.7233
138,3/14/74,0.7393
139,3/15/74,0.7363
140,3/18/74,0.7433
141,3/19/74,0.7318
142,3/20/74,0.7453
143,3/21/74,0.7653
144,3/22/74,0.7568
145,3/25/74,0.7368
146,3/26/74,0.72
147,3/27/74,0.734
148,3/28/74,0.7315
149,3/29/74,0.749
150,4/1/74,0.7305
151,4/2/74,0.7365
152,4/3/74,0.734
153,4/4/74,0.7425
154,4/5/74,0.726
155,4/8/74,0.708
156,4/9/74,0.712
157,4/10/74,0.716
158,4/11/74,0.714
159,4/15/74,0.71
160,4/16/74,0.69
161,4/17/74,0.6993
162,4/18/74,0.707
163,4/19/74,0.7148
164,4/22/74,0.719
165,4/23/74,0.704
166,4/24/74,0.6985
167,4/25/74,0.699
168,4/26/74,0.7088
169,4/29/74,0.7162
170,4/30/74,0.7246
171,5/1/74,0.7455
172,5/2/74,0.744
173,5/3/74,0.7415
174,5/6/74,0.7215
175,5/7/74,0.7285
176,5/8/74,0.7356
177,5/9/74,0.7458
178,5/10/74,0.7463
179,5/13/74,0.7338
180,5/14/74,0.7325
181,5/15/74,0.7125
182,5/16/74,0.7293
183,5/17/74,0.7355
184,5/20/74,0.7278
185,5/21/74,0.7328
186,5/22/74,0.731
187,5/23/74,0.7138
188,5/24/74,0.7243
189,5/28/74,0.7165
190,5/29/74,0.7255
191,5/30/74,0.7263
192,5/31/74,0.7313
193,6/3/74,0.7355
194,6/4/74,0.7325
195,6/5/74,0.7393
196,6/6/74,0.7428
197,6/7/74,0.7435
198,6/10/74,0.7505
199,6/11/74,0.7478
200,6/12/74,0.7475
201,6/13/74,0.748
202,6/14/74,0.7495
203,6/17/74,0.737
204,6/18/74,0.717
205,6/19/74,0.7318
206,6/20/74,0.726
207,6/21/74,0.7098
208,6/24/74,0.6898
209,6/25/74,0.6752
210,6/26/74,0.6914
211,6/27/74,0.6868
212,6/28/74,0.7054
213,7/1/74,0.7075
214,7/2/74,0.711
215,7/3/74,0.723
216,7/5/74,0.718
217,7/8/74,0.698
218,7/9/74,0.69
219,7/10/74,0.699
220,7/11/74,0.719
221,7/12/74,0.728
222,7/15/74,0.726
223,7/16/74,0.7292
224,7/17/74,0.7328
225,7/18/74,0.7128
226,7/19/74,0.6928
227,7/22/74,0.695
228,7/23/74,0.68
229,7/24/74,0.6985
230,7/25/74,0.69
231,7/26/74,0.697
232,7/29/74,0.6908
233,7/30/74,0.698
234,7/31/74,0.6925
235,8/1/74,0.6725
236,8/2/74,0.6635
237,8/5/74,0.649
238,8/6/74,0.646
239,8/7/74,0.626
240,8/8/74,0.625
241,8/9/74,0.6243
242,8/12/74,0.6047
243,8/13/74,0.624
244,8/14/74,0.604
245,8/15/74,0.599
246,8/16/74,0.5935
247,8/19/74,0.582
248,8/20/74,0.602
249,8/21/74,0.622
250,8/22/74,0.642
251,8/23/74,0.6615
252,8/26/74,0.7015
253,8/27/74,0.6942
254,8/28/74,0.6594
255,8/29/74,0.6381
256,8/30/74,0.6048
257,9/3/74,0.5735
258,9/4/74,0.5645
259,9/5/74,0.556
260,9/6/74,0.5615
261,9/9/74,0.5625
262,9/10/74,0.565
263,9/11/74,0.548
264,9/12/74,0.538
265,9/13/74,0.518
266,9/16/74,0.5017
267,9/17/74,0.5217
268,9/18/74,0.5045
269,9/19/74,0.5245
270,9/20/74,0.5215
271,9/23/74,0.5415
272,9/24/74,0.549
273,9/25/74,0.569
274,9/26/74,0.5615
275,9/27/74,0.562
276,9/30/74,0.542
277,10/1/74,0.5445
278,10/2/74,0.5525
279,10/3/74,0.565
280,10/4/74,0.564
281,10/7/74,0.565
282,10/8/74,0.585
283,10/9/74,0.5805
284,10/10/74,0.5845
285,10/11/74,0.5844
286,10/15/74,0.5962
287,10/16/74,0.5932
288,10/17/74,0.5858
289,10/18/74,0.5835
290,10/21/74,0.574
291,10/22/74,0.58
292,10/23/74,0.58
293,10/24/74,0.5725
294,10/25/74,0.5665
295,10/28/74,0.579
296,10/29/74,0.57
297,10/30/74,0.5759
298,10/31/74,0.576
299,11/1/74,0.572
300,11/4/74,0.572
301,11/6/74,0.58
302,11/7/74,0.5873
303,11/8/74,0.5965
304,11/12/74,0.6165
305,11/13/74,0.5997
306,11/14/74,0.609
307,11/15/74,0.608
308,11/18/74,0.6185
309,11/19/74,0.632
310,11/20/74,0.6205
311,11/21/74,0.6135
312,11/22/74,0.6075
313,11/25/74,0.5991
314,11/26/74,0.5979
315,11/27/74,0.6089
316,11/29/74,0.6144
317,12/2/74,0.6135
318,12/3/74,0.6077
319,12/4/74,0.599
320,12/5/74,0.579
321,12/6/74,0.5758
322,12/9/74,0.587
323,12/10/74,0.579
324,12/11/74,0.5825
325,12/12/74,0.5958
326,12/13/74,0.5913
327,12/16/74,0.6023
328,12/17/74,0.5935
329,12/18/74,0.5968
330,12/19/74,0.6
331,12/20/74,0.6015
332,12/23/74,0.6
333,12/27/74,0.6013
334,12/30/74,0.596
335,12/31/74,0.5962
336,1/2/75,0.5959
337,1/3/75,0.5941
338,1/6/75,0.5865
339,1/7/75,0.584
340,1/8/75,0.5825
341,1/9/75,0.576
342,1/10/75,0.5728
343,1/13/75,0.5568
344,1/14/75,0.565
345,1/15/75,0.5535
346,1/16/75,0.5465
347,1/17/75,0.549
348,1/20/75,0.546
349,1/21/75,0.5383
350,1/22/75,0.537
351,1/23/75,0.5405
352,1/24/75,0.5605
353,1/27/75,0.5523
354,1/28/75,0.5498
355,1/29/75,0.553
356,1/30/75,0.552
357,1/31/75,0.5475
358,2/3/75,0.5518
359,2/4/75,0.549
360,2/5/75,0.5396
361,2/6/75,0.54
362,2/7/75,0.5387
363,2/10/75,0.537
364,2/11/75,0.544
365,2/13/75,0.564
366,2/14/75,0.557
367,2/18/75,0.537
368,2/19/75,0.522
369,2/20/75,0.5225
370,2/21/75,0.5275
371,2/24/75,0.5205
372,2/25/75,0.523
373,2/26/75,0.5187
374,2/27/75,0.516
375,2/28/75,0.514
376,3/3/75,0.5075
377,3/4/75,0.5185
378,3/5/75,0.513
379,3/6/75,0.5145
380,3/7/75,0.522
381,3/10/75,0.523
382,3/11/75,0.523
383,3/12/75,0.516
384,3/13/75,0.515
385,3/14/75,0.5085
386,3/17/75,0.502
387,3/18/75,0.5092
388,3/19/75,0.508
389,3/20/75,0.506
390,3/21/75,0.5098
391,3/24/75,0.51
392,3/25/75,0.514
393,3/26/75,0.5162
394,3/27/75,0.519
395,3/31/75,0.519
396,4/1/75,0.5105
397,4/2/75,0.4943
398,4/3/75,0.5005
399,4/4/75,0.4885
400,4/7/75,0.4915
401,4/8/75,0.484
402,4/9/75,0.4775
403,4/10/75,0.47
404,4/11/75,0.463
405,4/14/75,0.469
406,4/15/75,0.475
407,4/16/75,0.47
408,4/17/75,0.475
409,4/18/75,0.4795
410,4/21/75,0.49
411,4/22/75,0.4795
412,4/23/75,0.4735
413,4/24/75,0.468
414,4/25/75,0.4739
415,4/28/75,0.4756
416,4/29/75,0.4798
417,4/30/75,0.4855
418,5/1/75,0.496
419,5/2/75,0.5
420,5/5/75,0.5005
421,5/6/75,0.519
422,5/7/75,0.5032
423,5/8/75,0.5143
424,5/9/75,0.516
425,5/12/75,0.514
426,5/13/75,0.5025
427,5/14/75,0.5075
428,5/15/75,0.5078
429,5/16/75,0.5195
430,5/19/75,0.525
431,5/20/75,0.5238
432,5/21/75,0.532
433,5/22/75,0.545
434,5/23/75,0.5465
