,storeNumber,countryCode,latitude,longitude,city,olsonTimeZoneId
0,34638-85784,HK,22.3407,114.20169,Hong Kong,GMT+08
1,32141-267986,HK,22.341694,114.194208,Hong Kong,GMT+08
2,15035-155445,HK,22.33352,114.19678,Kowloon,GMT+08
3,49646-268445,HK,22.331223,114.188143,香港,GMT+08
4,31944-224544,HK,22.323871,114.203796,Hong Kong,GMT+08
5,21805-215565,HK,22.3366,114.182904,Kowloon Tong,GMT+08
6,34610-28207,HK,22.32287,114.21344,Kowloon,GMT+08
7,32240-132324,HK,22.32068,114.21015,Hong Kong,GMT+08
8,31735-116128,HK,22.31982,114.20857,Kowloon Bay,GMT+08
9,31601-277585,HK,22.328222,114.181048,Hong Kong,GMT+08
10,27789-248689,HK,22.335369,114.176125,Hong Kong,GMT+08
11,31295-106071,HK,22.33735,114.17411,Kowloon Tong,GMT+08
12,28087-249911,HK,22.315936,114.214427,Hong Kong,GMT+08
14,28938-251933,HK,22.323102,114.172155,Hong Kong,GMT+08
15,31484-108178,HK,22.31385,114.2216,Hong Kong,GMT+08
16,24822-239032,HK,22.309342,114.191437,Hong Kong,GMT+08
17,15929-163266,HK,22.31853,114.17469,Mong Kok,GMT+08
18,16739-175266,HK,22.31955,114.17157,Kowloon,GMT+08
19,15498-162224,HK,22.32257,114.16904,Kowloon,GMT+08
21,34651-97510,HK,22.31255,114.22524,Kowloon,GMT+08
22,23427-230344,HK,22.318242,114.169937,Hong Kong,GMT+08
23,28086-249917,HK,22.310818,114.226208,Hong Kong,GMT+08
24,34650-96576,HK,22.31813,114.16866,Kowloon,GMT+08
25,47110-256908,HK,22.315398,114.17103,Hong Kong,GMT+08
26,32539-136288,HK,22.30386,114.18883,Kowloon,GMT+08
27,49951-271867,HK,22.301677,114.188071,香港,GMT+08
28,22692-223905,HK,22.319787,114.162605,Kowloon,GMT+08
30,34628-224530,HK,22.381427,114.188484,Hong Kong,GMT+08
31,34649-96235,HK,22.30772,114.17166,Kowloon,GMT+08
32,21708-214544,HK,22.305914,114.172472,Kowloon,GMT+08
33,30619-100432,HK,22.316737,114.16147,Kowloon,GMT+08
34,19323-201108,HK,22.30087,114.17837,Hong Kong,GMT+08
35,19399-201944,HK,22.38631,114.20359,Shantin,GMT+08
36,31644-113449,HK,22.303115,114.172536,Kowloon,GMT+08
37,27011-246465,HK,22.300959,114.175817,Hong Kong,GMT+08
39,26879-245951,HK,22.385467,114.187778,Hong Kong,GMT+08
40,22442-221224,HK,22.298266,114.178378,Hong Kong,GMT+08
42,34647-95348,HK,22.30095,114.17288,Hong Kong,GMT+08
43,31372-107012,HK,22.33718,114.14944,Kowloon,GMT+08
45,23287-137113,HK,22.299522,114.172586,Kowloon,GMT+08
46,32157-218684,HK,22.297329,114.176483,Hong Kong,GMT+08
47,17868-186924,HK,22.33464,114.14878,Hong Kong,GMT+08
48,53240-284367,HK,22.290962,114.2026,Hong Kong,GMT+08
49,17103-179445,HK,22.291131,114.208106,Quarry Bay,GMT+08
50,34601-20281,HK,22.28394,114.15819,Hong Kong,GMT+08
51,34622-64463,HK,22.28445,114.15846,Hong Kong,GMT+08
53,22733-224529,HK,22.284612,114.157381,Hong Kong,GMT+08
54,34607-131304,HK,22.283015,114.159281,Hong Kong,GMT+08
55,13020-151249,HK,22.285492,114.158685,香港,GMT+08
56,32636-134915,HK,22.28372,114.15612,Hong Kong,GMT+08
57,16712-167649,HK,22.282465,114.156284,Hong Kong,GMT+08
58,34644-94628,HK,22.28152,114.15869,Hong Kong,GMT+08
59,15593-163265,HK,22.285142,114.155854,Hong Kong,GMT+08
60,34630-69462,HK,22.28113,114.15946,Hong Kong,GMT+08
61,31187-105744,HK,22.28162,114.15598,Hong Kong,GMT+08
