storeNumber,opening_times
34638-85784,8:30:00
32141-267986,7:30:00
15035-155445,8:00:00
49646-268445,8:00:00
31944-224544,8:00:00
21805-215565,8:00:00
34610-28207,7:00:00
32240-132324,7:30:00
31735-116128,8:30:00
31601-277585,7:00:00
27789-248689,7:30:00
31295-106071,7:30:00
28087-249911,7:30:00
28938-251933,8:00:00
31484-108178,7:00:00
24822-239032,7:30:00
15929-163266,8:00:00
16739-175266,8:00:00
15498-162224,8:30:00
34651-97510,7:30:00
23427-230344,8:00:00
28086-249917,7:30:00
34650-96576,8:00:00
47110-256908,8:00:00
32539-136288,7:30:00
49951-271867,7:30:00
22692-223905,8:30:00
34628-224530,7:30:00
34649-96235,7:00:00
21708-214544,7:30:00
30619-100432,7:30:00
19323-201108,7:30:00
19399-201944,8:00:00
31644-113449,7:00:00
27011-246465,7:30:00
26879-245951,8:00:00
22442-221224,7:30:00
34647-95348,7:30:00
31372-107012,7:00:00
23287-137113,7:30:00
32157-218684,7:30:00
17868-186924,7:30:00
53240-284367,7:00:00
17103-179445,7:00:00
34601-20281,6:30:00
34622-64463,6:30:00
22733-224529,6:30:00
34607-131304,6:30:00
13020-151249,7:00:00
32636-134915,7:30:00
16712-167649,7:30:00
34644-94628,7:00:00
15593-163265,7:00:00
34630-69462,6:30:00
31187-105744,7:00:00
31373-106380,7:00:00
1909-139865,7:00:00
16021-297190,7:00:00
30625-100796,7:00:00
34616-51681,6:30:00
31011-103797,7:00:00
34634-82422,6:30:00
1611-181864,7:00:00
20900-208764,7:00:00
15414-161225,7:00:00
34609-22927,7:00:00
49648-270180,7:00:00
16505-172146,7:30:00
18145-188484,7:00:00
48916-264345,7:00:00
22016-217104,7:30:00
12922-155444,7:30:00
7076-154450,9:00:00
20668-234764,7:30:00
34645-95953,7:00:00
31356-295106,8:00:00
32024-296966,8:00:00
58123-292255,6:30:00
28937-251934,7:30:00
57102-291124,9:30:00
34605-28027,7:00:00
1777-134912,8:00:00
18770-195085,7:00:00
30735-101334,6:30:00
32347-134899,7:30:00
23343-229464,7:30:00
31996-167164,7:00:00
16738-175264,7:30:00
15014-157084,7:30:00
31354-107893,6:30:00
31235-106228,7:00:00
20654-207724,7:00:00
52643-282604,7:30:00
27612-248108,7:30:00
34646-96055,7:00:00
24613-238415,7:30:00
22975-218604,7:30:00
34659-100323,7:30:00
21323-211425,7:30:00
16506-172147,7:30:00
17437-181845,8:00:00
54331-286434,9:30:00
32195-235805,7:30:00
48031-261185,7:00:00
50070-272545,7:00:00
14951-156525,7:00:00
