,Event,Revenue,Offer ID
0,transaction,34.56,2off10
1,transaction,18.97,2off10
2,transaction,33.9,Bogo 5
3,transaction,18.01,Bogo 10
4,transaction,19.11,Bogo 10
5,transaction,28.39,Bogo 10
6,transaction,28.08,3off7
7,transaction,13.57,Bogo 5
8,transaction,31.42,2off10
9,transaction,27.89,Bogo 10
10,transaction,38.38,Bogo 5
11,transaction,5.78,Bogo 5
12,transaction,14.27,2off10
13,transaction,13.93,Bogo 10
14,transaction,18.97,3off7
15,transaction,30.03,2off10
16,transaction,21.84,3off7
17,transaction,10.37,3off7
18,transaction,19.82,Bogo 10
19,transaction,11.83,Bogo 5
20,transaction,24.8,Bogo 10
21,transaction,6.32,Bogo 5
22,transaction,18.98,Bogo 5
23,transaction,24.98,3off7
24,transaction,15.72,2off10
25,transaction,18.57,2off10
26,transaction,24.38,Bogo 5
27,transaction,25.07,Bogo 5
28,transaction,22.22,2off10
29,transaction,7.66,Bogo 5
30,transaction,12.72,Bogo 5
31,transaction,13.37,Bogo 5
32,transaction,11.62,3off7
33,transaction,5.62,Bogo 5
34,transaction,13.42,Bogo 5
35,transaction,21.34,3off7
36,transaction,39.64,2off10
37,transaction,26.47,Bogo 10
38,transaction,14.93,Bogo 5
39,transaction,11.29,Bogo 5
40,transaction,16.34,2off10
41,transaction,22.87,Bogo 10
42,transaction,7.51,Bogo 5
43,transaction,12.09,Bogo 5
44,transaction,33.56,Bogo 10
45,transaction,26.11,3off7
46,transaction,26.5,Bogo 10
47,transaction,9.08,Bogo 5
48,transaction,21.4,Bogo 10
49,transaction,19.53,Bogo 5
50,transaction,14.57,2off10
51,transaction,16.76,Bogo 5
52,transaction,11.1,Bogo 10
53,transaction,16.32,Bogo 5
54,transaction,10.96,2off10
55,transaction,37.34,Bogo 10
56,transaction,15.22,Bogo 5
57,transaction,13.67,Bogo 10
58,transaction,23.03,3off7
59,transaction,20.18,Bogo 5
60,transaction,12.06,Bogo 5
61,transaction,34.01,2off10
62,transaction,23.08,Bogo 5
63,transaction,10.25,3off7
64,transaction,21.97,Bogo 5
65,transaction,16.62,Bogo 10
66,transaction,32.61,Bogo 5
67,transaction,34.88,Bogo 5
68,transaction,18.74,Bogo 10
69,transaction,25.96,Bogo 5
70,transaction,8.11,Bogo 5
71,transaction,16.92,3off7
72,transaction,6.72,Bogo 5
73,transaction,19.38,2off10
74,transaction,16.68,Bogo 10
75,transaction,14.51,Bogo 10
76,transaction,45.09,3off7
77,transaction,16.51,Bogo 5
78,transaction,11.46,Bogo 10
79,transaction,16.29,Bogo 5
80,transaction,28.97,Bogo 5
81,transaction,20.5,2off10
82,transaction,10.8,Bogo 10
83,transaction,11.09,Bogo 10
84,transaction,5.85,Bogo 5
85,transaction,21.02,Bogo 5
86,transaction,13.03,3off7
87,transaction,20.47,2off10
88,transaction,16.6,2off10
89,transaction,8.97,Bogo 5
90,transaction,25.37,Bogo 10
91,transaction,22.92,2off10
92,transaction,34.73,2off10
93,transaction,27.52,3off7
94,transaction,23.51,3off7
95,transaction,16.3,2off10
96,transaction,10.81,Bogo 10
97,transaction,14.09,Bogo 5
98,transaction,13.13,Bogo 5
99,transaction,28.82,3off7
100,transaction,5.48,Bogo 5
101,transaction,14.73,Bogo 5
102,transaction,18.39,Bogo 10
103,transaction,16.89,2off10
104,transaction,21.31,Bogo 5
105,transaction,22.73,3off7
106,transaction,19.68,3off7
107,transaction,13.18,Bogo 10
108,transaction,11.26,3off7
109,transaction,20.27,Bogo 5
110,transaction,7.99,Bogo 5
111,transaction,21.7,Bogo 5
112,transaction,7.72,Bogo 5
113,transaction,8.75,3off7
114,transaction,16.91,2off10
115,transaction,29.37,2off10
116,transaction,9.49,3off7
117,transaction,30.51,2off10
118,transaction,11.81,Bogo 5
119,transaction,12.41,2off10
120,transaction,27.23,2off10
121,transaction,33.74,2off10
122,transaction,16.78,2off10
123,transaction,17.0,2off10
124,transaction,17.48,2off10
125,transaction,13.06,2off10
126,transaction,11.71,Bogo 10
127,transaction,17.43,3off7
128,transaction,16.1,3off7
129,transaction,20.5,Bogo 5
130,transaction,26.8,Bogo 5
131,transaction,23.5,Bogo 10
132,transaction,21.71,Bogo 10
133,transaction,23.92,Bogo 5
134,transaction,17.95,Bogo 10
135,transaction,12.76,Bogo 10
136,transaction,7.01,Bogo 5
137,transaction,10.6,Bogo 10
138,transaction,19.86,Bogo 10
139,transaction,11.37,Bogo 10
140,transaction,27.71,Bogo 5
141,transaction,10.07,Bogo 10
142,transaction,30.33,5off20
143,transaction,20.74,5off20
144,transaction,29.99,Bogo 10
145,transaction,23.51,5off20
146,transaction,9.09,Bogo 5
147,transaction,12.28,2off10
148,transaction,19.9,Bogo 5
149,transaction,15.7,2off10
150,transaction,37.12,2off10
151,transaction,17.39,Bogo 5
152,transaction,21.22,2off10
153,transaction,5.4,Bogo 5
154,transaction,25.18,5off20
155,transaction,15.15,Bogo 10
156,transaction,13.26,Bogo 10
157,transaction,13.53,Bogo 10
158,transaction,6.32,Bogo 5
159,transaction,21.4,2off10
160,transaction,23.9,Bogo 10
161,transaction,24.64,3off7
162,transaction,21.11,2off10
163,transaction,21.65,3off7
164,transaction,19.54,Bogo 10
165,transaction,15.28,Bogo 10
166,transaction,9.39,Bogo 5
167,transaction,27.69,Bogo 5
168,transaction,13.45,2off10
169,transaction,28.91,5off20
170,transaction,10.76,2off10
171,transaction,16.56,Bogo 10
172,transaction,11.36,Bogo 10
173,transaction,16.73,Bogo 5
174,transaction,19.05,Bogo 5
175,transaction,5.87,Bogo 5
176,transaction,19.12,2off10
177,transaction,8.25,3off7
178,transaction,20.81,2off10
179,transaction,20.95,Bogo 10
180,transaction,37.18,2off10
181,transaction,19.01,Bogo 5
182,transaction,24.94,2off10
183,transaction,20.18,Bogo 5
184,transaction,29.42,3off7
185,transaction,16.91,2off10
186,transaction,11.11,Bogo 10
187,transaction,13.56,Bogo 5
188,transaction,33.67,Bogo 10
189,transaction,15.64,3off7
190,transaction,15.35,Bogo 5
191,transaction,12.28,3off7
192,transaction,7.83,Bogo 5
193,transaction,11.93,3off7
194,transaction,26.21,Bogo 10
195,transaction,17.07,2off10
196,transaction,22.84,Bogo 5
197,transaction,25.14,Bogo 5
198,transaction,15.47,Bogo 5
199,transaction,17.04,Bogo 10
200,transaction,14.89,Bogo 5
201,transaction,43.26,Bogo 10
202,transaction,11.05,Bogo 10
203,transaction,18.82,2off10
204,transaction,195.24,Bogo 10
205,transaction,17.5,Bogo 5
206,transaction,19.88,Bogo 10
207,transaction,27.87,Bogo 5
208,transaction,17.78,Bogo 5
209,transaction,17.78,2off10
210,transaction,7.4,3off7
211,transaction,14.06,Bogo 10
212,transaction,24.67,3off7
213,transaction,22.84,Bogo 10
214,transaction,12.89,2off10
215,transaction,11.09,Bogo 10
216,transaction,18.26,Bogo 10
217,transaction,11.72,Bogo 5
218,transaction,24.25,Bogo 10
219,transaction,21.53,Bogo 10
220,transaction,17.86,2off10
221,transaction,23.33,Bogo 10
222,transaction,26.76,Bogo 5
223,transaction,5.34,Bogo 5
224,transaction,21.51,2off10
225,transaction,8.72,Bogo 5
226,transaction,15.11,3off7
227,transaction,38.59,2off10
228,transaction,11.21,2off10
229,transaction,23.09,Bogo 5
230,transaction,6.33,3off7
231,transaction,35.62,Bogo 10
232,transaction,24.89,Bogo 5
233,transaction,14.24,Bogo 10
234,transaction,23.06,3off7
235,transaction,20.59,2off10
236,transaction,26.4,Bogo 10
237,transaction,6.07,Bogo 5
238,transaction,39.71,Bogo 10
239,transaction,25.39,2off10
240,transaction,25.91,2off10
241,transaction,13.35,Bogo 10
242,transaction,13.99,Bogo 5
243,transaction,11.72,Bogo 10
244,transaction,14.36,3off7
245,transaction,23.76,Bogo 10
246,transaction,15.21,2off10
247,transaction,14.54,3off7
248,transaction,34.47,5off20
249,transaction,23.16,3off7
250,transaction,18.14,3off7
251,transaction,14.26,2off10
252,transaction,8.89,2off10
253,transaction,7.67,Bogo 5
254,transaction,17.44,2off10
255,transaction,12.87,Bogo 10
256,transaction,11.39,Bogo 5
257,transaction,40.67,2off10
258,transaction,22.11,2off10
259,transaction,14.38,3off7
260,transaction,19.85,2off10
261,transaction,19.46,Bogo 5
262,transaction,16.75,3off7
263,transaction,14.6,2off10
264,transaction,22.76,Bogo 10
265,transaction,20.23,2off10
266,transaction,15.32,Bogo 5
267,transaction,14.45,Bogo 5
268,transaction,12.09,Bogo 10
269,transaction,23.38,5off20
270,transaction,31.23,2off10
271,transaction,27.41,3off7
272,transaction,25.62,3off7
273,transaction,42.36,Bogo 5
274,transaction,23.71,3off7
275,transaction,16.05,Bogo 5
276,transaction,37.07,2off10
277,transaction,13.9,Bogo 10
278,transaction,25.08,3off7
279,transaction,23.77,2off10
280,transaction,20.06,3off7
281,transaction,10.74,3off7
282,transaction,17.08,3off7
283,transaction,17.12,2off10
284,transaction,9.53,Bogo 5
285,transaction,25.65,2off10
286,transaction,17.95,3off7
287,transaction,14.54,Bogo 5
288,transaction,8.25,Bogo 5
289,transaction,11.44,Bogo 5
290,transaction,20.98,2off10
291,transaction,44.54,Bogo 5
292,transaction,14.22,2off10
293,transaction,21.34,3off7
294,transaction,5.88,Bogo 5
295,transaction,30.91,2off10
296,transaction,12.5,Bogo 10
297,transaction,8.24,3off7
298,transaction,33.24,3off7
299,transaction,14.21,Bogo 10
300,transaction,24.94,Bogo 5
301,transaction,22.48,3off7
302,transaction,18.5,Bogo 10
303,transaction,14.43,2off10
304,transaction,13.73,3off7
305,transaction,12.02,Bogo 10
306,transaction,19.46,2off10
307,transaction,19.09,2off10
308,transaction,16.18,Bogo 5
309,transaction,26.62,2off10
310,transaction,12.18,2off10
311,transaction,9.53,Bogo 5
312,transaction,22.55,Bogo 10
313,transaction,28.41,Bogo 5
314,transaction,13.88,2off10
315,transaction,26.69,Bogo 10
316,transaction,22.17,5off20
317,transaction,15.65,2off10
318,transaction,34.51,2off10
319,transaction,10.75,2off10
320,transaction,16.84,2off10
321,transaction,13.78,2off10
322,transaction,11.92,Bogo 10
323,transaction,11.36,Bogo 10
324,transaction,21.9,Bogo 10
325,transaction,26.18,3off7
326,transaction,8.4,Bogo 5
327,transaction,12.81,2off10
328,transaction,10.38,Bogo 10
329,transaction,15.85,Bogo 5
330,transaction,12.07,Bogo 5
