,Entity,Code,Year,Average annual working hours per worker
461,Canada,CAN,1870,2845.0
462,Canada,CAN,1880,2934.0
463,Canada,CAN,1890,3017.0
464,Canada,CAN,1900,3102.0
465,Canada,CAN,1913,2868.0
466,Canada,CAN,1929,2354.0
467,Canada,CAN,1938,2212.0
468,Canada,CAN,1950,2209.2341
469,Canada,CAN,1951,2194.1836
470,Canada,CAN,1952,2181.9395
471,Canada,CAN,1953,2180.5283
472,Canada,CAN,1954,2172.6038
473,Canada,CAN,1955,2154.6565
474,Canada,CAN,1956,2142.2791
475,Canada,CAN,1957,2122.9817
476,Canada,CAN,1958,2107.6152
477,Canada,CAN,1959,2104.4343
478,Canada,CAN,1960,2090.8059
479,Canada,CAN,1961,2066.4954
480,Canada,CAN,1962,2065.0449
481,Canada,CAN,1963,2050.3577
482,Canada,CAN,1964,2039.1084
483,Canada,CAN,1965,2021.2146
484,Canada,CAN,1966,1995.1143
485,Canada,CAN,1967,1985.5981
486,Canada,CAN,1968,1961.4777
487,Canada,CAN,1969,1942.4684
488,Canada,CAN,1970,1925.0
489,Canada,CAN,1971,1912.0
490,Canada,CAN,1972,1904.0
491,Canada,CAN,1973,1898.0
492,Canada,CAN,1974,1891.0
493,Canada,CAN,1975,1872.0
494,Canada,CAN,1976,1862.0
495,Canada,CAN,1977,1834.0
496,Canada,CAN,1978,1836.0
497,Canada,CAN,1979,1841.0
498,Canada,CAN,1980,1827.0
499,Canada,CAN,1981,1812.0
500,Canada,CAN,1982,1789.0
501,Canada,CAN,1983,1779.0
502,Canada,CAN,1984,1789.0
503,Canada,CAN,1985,1795.0
504,Canada,CAN,1986,1797.0
505,Canada,CAN,1987,1807.0
506,Canada,CAN,1988,1808.0
507,Canada,CAN,1989,1802.0
508,Canada,CAN,1990,1797.0
509,Canada,CAN,1991,1775.0
510,Canada,CAN,1992,1772.0
511,Canada,CAN,1993,1769.0
512,Canada,CAN,1994,1778.0
513,Canada,CAN,1995,1775.0
514,Canada,CAN,1996,1790.0
515,Canada,CAN,1997,1785.3007
516,Canada,CAN,1998,1782.1237
517,Canada,CAN,1999,1782.0236
518,Canada,CAN,2000,1778.6147
519,Canada,CAN,2001,1771.0833
520,Canada,CAN,2002,1753.5767
521,Canada,CAN,2003,1746.0255
522,Canada,CAN,2004,1759.0833
523,Canada,CAN,2005,1746.6008
524,Canada,CAN,2006,1744.8906
525,Canada,CAN,2007,1741.265
526,Canada,CAN,2008,1734.8149
527,Canada,CAN,2009,1701.0571
528,Canada,CAN,2010,1703.0271
529,Canada,CAN,2011,1699.6071
530,Canada,CAN,2012,1712.5425
531,Canada,CAN,2013,1707.413
532,Canada,CAN,2014,1703.6506
533,Canada,CAN,2015,1707.073
534,Canada,CAN,2016,1702.9673
535,Canada,CAN,2017,1696.4624
1911,Mexico,MEX,1950,2431.7302
1912,Mexico,MEX,1951,2431.2783
1913,Mexico,MEX,1952,2430.8264
1914,Mexico,MEX,1953,2430.3748
1915,Mexico,MEX,1954,2429.9231
1916,Mexico,MEX,1955,2429.4714
1917,Mexico,MEX,1956,2429.0198
1918,Mexico,MEX,1957,2428.5684
1919,Mexico,MEX,1958,2428.1169
1920,Mexico,MEX,1959,2427.6658
1921,Mexico,MEX,1960,2427.2146
1922,Mexico,MEX,1961,2417.5605
1923,Mexico,MEX,1962,2407.9448
1924,Mexico,MEX,1963,2398.3674
1925,Mexico,MEX,1964,2388.8281
1926,Mexico,MEX,1965,2379.3269
1927,Mexico,MEX,1966,2369.8633
1928,Mexico,MEX,1967,2360.4373
1929,Mexico,MEX,1968,2351.0488
1930,Mexico,MEX,1969,2341.6978
1931,Mexico,MEX,1970,2332.3838
1932,Mexico,MEX,1971,2330.5007
1933,Mexico,MEX,1972,2328.6191
1934,Mexico,MEX,1973,2326.7393
1935,Mexico,MEX,1974,2325.123
1936,Mexico,MEX,1975,2323.5081
1937,Mexico,MEX,1976,2321.894
1938,Mexico,MEX,1977,2320.2815
1939,Mexico,MEX,1978,2318.6697
1940,Mexico,MEX,1979,2317.0593
1941,Mexico,MEX,1980,2315.4497
1942,Mexico,MEX,1981,2316.4517
1943,Mexico,MEX,1982,2317.4539
1944,Mexico,MEX,1983,2318.4563
1945,Mexico,MEX,1984,2319.4595
1946,Mexico,MEX,1985,2320.4629
1947,Mexico,MEX,1986,2321.4668
1948,Mexico,MEX,1987,2322.4712
1949,Mexico,MEX,1988,2323.4761
1950,Mexico,MEX,1989,2324.4812
1951,Mexico,MEX,1990,2325.6104
1952,Mexico,MEX,1991,2319.2534
