Country,Marriage_Rate_per_1000,Continent
Palestine,10,Asia
Fiji,9.8,Oceania
Egypt,9.6,Africa
Bahamas,9.5,North America
Uzbekistan,9.5,Asia
Cyprus,8.9,Europe
Tajikistan,8.9,Asia
Albania,8.5,Europe
Mauritius,7.9,Africa
Guyana,7.8,South America
Sri Lanka,7.6,Asia
Moldova,7.5,Europe
Kazakhstan,7.5,Asia
Iran,7.5,Asia
Libya,7,Africa
Jordan,6.9,Asia
Algeria,6.9,Africa
Hungary,6.9,Europe
China,6.7,Asia
Bermuda,6.7,North America
Mongolia,6.6,Asia
Hong Kong,6.6,Asia
North Macedonia,6.5,Europe
Kyrgyzstan,6.5,Asia
Belarus,6.4,Europe
Tunisia,6.4,Africa
Brazil,6.2,South America
Israel,6.2,Asia
Georgia,6.2,Asia
Montenegro,6,Europe
Latvia,5.8,Europe
Brunei,5.9,Asia
Ukraine,5.8,Europe
Turkey,5.9,Asia
Azerbaijan,5.8,Asia
Lithuania,5.7,Europe
Bosnia and Herzegovina,5.6,Europe
Guyana,5.4,South America
Montenegro,5.3,Europe
Russia,5.2,Europe
Morocco,5.2,Africa
Armenia,5.1,Asia
United States,5.1,North America
Iceland,5,Europe
Denmark,4.9,Europe
Dominican Republic,4.9,North America
Monaco,4.8,Europe
Estonia,4.7,Europe
Ireland,4.6,Europe
Croatia,4.5,Europe
United Kingdom,4.4,Europe
Kenya,4.3,Africa
Puerto Rico,4.3,North America
Austria,4.2,Europe
Japan,4.2,Asia
Guatemala,4.2,North America
Slovakia,4.2,Europe
Czech Republic,4.1,Europe
Singapore,4,Asia
Romania,4.1,Europe
Aruba,4,North America
Switzerland,4,Europe
Andorra,3.9,Europe
Croatia,3.9,Europe
Poland,3.9,Europe
Costa Rica,3.9,North America
Sweden,3.8,Europe
South Korea,3.7,Asia
New Zealand,3.6,Oceania
Norway,3.6,Europe
Australia,3.5,Oceania
Bulgaria,3.5,Europe
Canada,3.5,North America
Kuwait,3.5,Asia
Luxembourg,3.5,Europe
Netherlands,3.5,Europe
Belgium,3.4,Europe
Germany,3.4,Europe
Suriname,3.4,South America
Mexico,3.3,North America
Curaçao,3.3,North America
New Caledonia,3.3,Oceania
Finland,3.3,Europe
Reunion,3.2,Africa
Brunei,3.2,Asia
Slovenia,3.2,Europe
Isle of Man,3.2,Europe
Italy,3.2,Europe
France,3.1,Europe
Peru,3.1,South America
Spain,3.1,Europe
Argentina,3.1,South America
Portugal,2.9,Europe
Guadeloupe,2.8,North America
Martinique,2.6,North America
Uruguay,2.5,South America
Venezuela,2.4,South America
Peru,2.5,South America
French Guiana,2.4,South America
Qatar,1.4,Asia
