,city,avg_temp,state_id,county_fips,lat,lng,population,timezone,median_income
2,Akron,9.605075665277331,OH,39153,41.0798,-81.5219,538659,America/New_York,34512
8,Alexandria,11.918474511061238,VA,51510,38.8185,-77.0861,156788,America/New_York,89134
11,Alexandria,11.918474511061238,KY,21037,38.9621,-84.3859,10430,America/New_York,68200
16,Allentown,9.523295607566528,PA,42077,40.5961,-75.4756,632175,America/New_York,36930
34,Atlanta,14.436725553061878,GA,13121,33.7628,-84.422,5211164,America/New_York,47527
42,Aurora,9.42382626963829,OH,39133,41.3118,-81.345,17386,America/New_York,81887
59,Baltimore,11.918474511061238,MD,24510,39.3051,-76.6144,2189589,America/New_York,42241
76,Boston,7.341440525809555,MA,25025,42.3188,-71.0852,4355184,America/New_York,55777
79,Bridgeport,9.99492978518756,CT,9120,41.1918,-73.1954,921660,America/New_York,41801
92,Buffalo,7.7269057624960205,NY,36029,42.9018,-78.8487,949547,America/New_York,31918
106,Cambridge,7.341440525809555,MA,25017,42.3759,-71.1185,117794,America/New_York,79416
107,Cambridge,7.341440525809555,MD,24019,38.5515,-76.0787,13094,America/New_York,35354
108,Cambridge,7.341440525809555,OH,39059,40.0221,-81.5869,10046,America/New_York,29020
115,Cape Coral,23.035940394973068,FL,12071,26.6443,-81.9957,656464,America/New_York,50536
117,Carrollton,18.06272,GA,13045,33.5818,-85.0838,27058,America/New_York,34055
123,Cary,14.41886117345303,NC,37183,35.7819,-78.8195,176686,America/New_York,91579
131,Charleston,18.696557871112535,SC,45019,32.8168,-79.9687,726389,America/New_York,55546
132,Charleston,18.696557871112535,WV,54039,38.3484,-81.6322,133045,America/New_York,48442
139,Charlotte,15.994026611093298,NC,37119,35.2083,-80.8303,1436613,America/New_York,53637
144,Chattanooga,15.076709842898364,TN,47065,35.066,-85.2481,410795,America/New_York,40177
146,Chesapeake,15.67885604360372,VA,51550,36.6778,-76.3023,251153,America/New_York,68620
150,Cincinnati,11.22867393395319,OH,39061,39.1413,-84.506,1704916,America/New_York,33604
159,Clearwater,21.925672809569996,FL,12103,27.979,-82.7623,117075,America/New_York,44198
162,Cleveland,9.605075665277331,OH,39035,41.4764,-81.6805,1679247,America/New_York,26150
163,Cleveland,9.605075665277331,TN,47011,35.1817,-84.8707,70578,America/New_York,36669
176,Columbia,15.994026611093298,SC,45079,34.0378,-80.9036,605083,America/New_York,41260
187,Columbus,14.017228598909906,OH,39049,39.9862,-82.9855,1578153,America/New_York,45659
188,Columbus,14.017228598909906,GA,13215,32.51,-84.8771,257578,America/New_York,42306
201,Concord,14.44798735457764,NC,37025,35.3933,-80.6369,297379,America/New_York,53587
202,Concord,14.44798735457764,NH,33013,43.2305,-71.5595,44219,America/New_York,56093
206,Coral Springs,23.068924442896936,FL,12011,26.2702,-80.2591,133962,America/New_York,66430
213,Dallas,18.06272,GA,13223,33.9152,-84.8416,14440,America/New_York,49417
216,Dayton,11.299415517794165,OH,39113,39.7805,-84.2003,667936,America/New_York,27683
246,Durham,14.41886117345303,NC,37063,35.9792,-78.9022,411362,America/New_York,50420
253,Elizabeth,9.523295607566528,NJ,34039,40.6658,-74.1913,135887,America/New_York,43568
266,Fairfield,14.44798735457764,OH,39017,39.3301,-84.5409,44597,America/New_York,56370
278,Fayetteville,16.415527092016674,NC,37051,35.085,-78.9772,326821,America/New_York,43630
279,Fayetteville,16.415527092016674,GA,13113,33.4501,-84.471,19364,America/New_York,63931
287,Fort Lauderdale,23.068924442896936,FL,12011,26.1412,-80.1464,183032,America/New_York,50778
292,Fremont,14.44798735457764,OH,39143,41.3535,-83.1147,15851,America/New_York,33147
301,Gainesville,20.139912151330556,FL,12001,29.6804,-82.3459,219946,America/New_York,31818
302,Gainesville,20.139912151330556,GA,13139,34.2902,-83.8294,182116,America/New_York,40706
330,Greensboro,14.41886117345303,NC,37081,36.0956,-79.8271,345858,America/New_York,41628
336,Hampton,15.67885604360372,VA,51650,37.0551,-76.363,137334,America/New_York,49190
343,Hartford,9.99492978518756,CT,9110,41.7661,-72.6834,969171,America/New_York,30630
357,Henderson,17.45498153547133,NC,37181,36.3256,-78.4151,14922,America/New_York,23904
366,Hialeah,23.068924442896936,FL,12086,25.8696,-80.3045,221901,America/New_York,29249
367,Hollywood,23.068924442896936,FL,12011,26.0293,-80.1679,152935,America/New_York,46791
385,Independence,11.795634238569956,KY,21117,38.951,-84.5492,29024,America/New_York,65653
413,Jacksonville,21.045303622956073,FL,12031,30.3322,-81.6749,1303156,America/New_York,46764
414,Jacksonville,21.045303622956073,NC,37133,34.7289,-77.3941,109958,America/New_York,40918
421,Jersey City,9.523295607566528,NJ,34017,40.7184,-74.0686,289691,America/New_York,59537
427,Knoxville,12.93762359730683,TN,47093,35.9692,-83.9496,618226,America/New_York,34226
441,Lakewood,8.777836262323188,OH,39035,41.4822,-81.8008,50229,America/New_York,45408
442,Lancaster,15.878038442083966,PA,42071,40.042,-76.3012,408023,America/New_York,35313
444,Lancaster,15.878038442083966,OH,39045,39.7248,-82.6049,40902,America/New_York,36226
471,Long Beach,16.124837126960042,NY,36059,40.5887,-73.666,34741,America/New_York,84831
485,Lowell,7.341440525809555,MA,25017,42.6389,-71.3217,114799,America/New_York,48002
508,Manchester,7.341440525809555,NH,33011,42.9848,-71.4447,162716,America/New_York,54282
527,Miami,23.068924442896936,FL,12086,25.784,-80.2101,6113982,America/New_York,31051
535,Miramar,23.068924442896936,FL,12011,25.9773,-80.3351,135986,America/New_York,65282
539,Montgomery,17.09421769798012,OH,39061,39.2496,-84.3458,10816,America/New_York,104735
553,New Haven,9.99492978518756,CT,9170,41.3113,-72.9246,565056,America/New_York,37192
559,Newark,9.523295607566528,NJ,34013,40.7245,-74.1725,307188,America/New_York,33139
560,Newark,9.523295607566528,OH,39089,40.0706,-82.425,83890,America/New_York,37025
562,Newark,9.523295607566528,DE,10003,39.6776,-75.7576,30309,America/New_York,54187
565,Newport News,13.669630650849632,VA,51700,37.1051,-76.5185,184774,America/New_York,50077
567,Norfolk,15.67885604360372,VA,51710,36.8945,-76.259,235037,America/New_York,44480
574,Norwalk,15.878038442083966,CT,9190,41.1144,-73.4215,91375,America/New_York,76987
575,Norwalk,15.878038442083966,OH,39077,41.2443,-82.6088,17054,America/New_York,41660
602,Orlando,22.30260243667842,FL,12095,28.4773,-81.337,1913597,America/New_York,42318
613,Paterson,9.523295607566528,NJ,34031,40.9147,-74.1624,157660,America/New_York,32915
614,Pembroke Pines,23.068924442896936,FL,12011,26.0128,-80.3382,170557,America/New_York,61279
618,Philadelphia,11.855868547611411,PA,42101,40.0077,-75.1339,5696588,America/New_York,38253
623,Pittsburgh,9.605075665277331,PA,42003,40.4397,-79.9763,1712828,America/New_York,40715
630,Portland,9.762706232813931,ME,23005,43.6773,-70.2715,213660,America/New_York,46280
637,Providence,7.341440525809555,RI,44007,41.823,-71.4187,1270529,America/New_York,37501
643,Raleigh,14.41886117345303,NC,37183,35.8324,-78.6429,1150010,America/New_York,55398
649,Richmond,13.971595172684458,VA,51760,37.5295,-77.4756,1081248,America/New_York,40758
652,Richmond,13.971595172684458,KY,21151,37.7307,-84.2925,35498,America/New_York,30621
660,Riverside,17.055758725341427,OH,39113,39.7835,-84.1219,24432,America/New_York,42930
