State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,"40,763,043","40,485,829","41,040,257",12.5,12.4,12.6,"11,445,264","11,310,265","11,580,263",16,15.8,16.2,"8,139,044","8,036,505","8,241,583",15.3,15.1,15.5,"77,719","77,533","77,905","3,027,969","2,977,590","3,078,348",16.8,16.5,17.1
1,0,AL,Alabama,"780,043","762,230","797,856",15.7,15.3,16.1,"236,320","226,963","245,677",21.3,20.5,22.1,"165,981","157,700","174,262",20.2,19.2,21.2,"62,248","61,546","62,950","66,457","61,943","70,971",23.2,21.6,24.8
1,1,AL,Autauga County,"7,004","5,599","8,409",11.7,9.3,14.1,"2,363","1,759","2,967",17,12.7,21.3,"1,722","1,254","2,190",16.7,12.2,21.2,"68,857","62,667","75,047",.,.,.,.,.,.
1,3,AL,Baldwin County,"24,942","20,972","28,912",10,8.4,11.6,"7,334","5,752","8,916",14.1,11.1,17.1,"5,105","3,889","6,321",13,9.9,16.1,"74,248","69,046","79,450",.,.,.,.,.,.
1,5,AL,Barbour County,"5,585","4,266","6,904",25.5,19.5,31.5,"1,738","1,187","2,289",34.8,23.8,45.8,"1,226",813,"1,639",33.2,22,44.4,"45,298","40,531","50,065",.,.,.,.,.,.
1,7,AL,Bibb County,"3,870","3,112","4,628",19.4,15.6,23.2,910,640,"1,180",21.4,15.1,27.7,649,444,854,20.9,14.3,27.5,"56,025","49,463","62,587",.,.,.,.,.,.
1,9,AL,Blount County,"7,590","6,121","9,059",12.8,10.3,15.3,"2,250","1,652","2,848",16.6,12.2,21,"1,587","1,124","2,050",15.8,11.2,20.4,"64,962","59,013","70,911",.,.,.,.,.,.
1,11,AL,Bullock County,"2,779","2,162","3,396",33.6,26.1,41.1,791,557,"1,025",39.8,28,51.6,566,385,747,37.9,25.8,50,"36,204","31,398","41,010",.,.,.,.,.,.
1,13,AL,Butler County,"4,263","3,469","5,057",23.6,19.2,28,"1,517","1,171","1,863",37.4,28.9,45.9,"1,054",766,"1,342",35.3,25.7,44.9,"44,729","40,192","49,266",.,.,.,.,.,.
1,15,AL,Calhoun County,"22,174","19,284","25,064",20.1,17.5,22.7,"6,923","5,829","8,017",28.5,24,33,"4,451","3,498","5,404",25,19.7,30.3,"51,841","48,155","55,527",.,.,.,.,.,.
1,17,AL,Chambers County,"5,661","4,296","7,026",17.1,13,21.2,"1,814","1,196","2,432",26,17.1,34.9,"1,329",856,"1,802",25.8,16.6,35,"50,390","44,560","56,220",.,.,.,.,.,.
1,19,AL,Cherokee County,"3,949","3,042","4,856",15.6,12,19.2,966,640,"1,292",20.5,13.6,27.4,717,462,972,20.3,13.1,27.5,"56,400","50,628","62,172",.,.,.,.,.,.
1,21,AL,Chilton County,"7,026","5,487","8,565",15.3,12,18.6,"2,355","1,647","3,063",21.5,15,28,"1,576","1,050","2,102",19.3,12.8,25.8,"59,165","55,581","62,749",.,.,.,.,.,.
1,23,AL,Choctaw County,"3,017","2,420","3,614",24.8,19.9,29.7,854,633,"1,075",35.8,26.5,45.1,575,402,748,32.9,23,42.8,"47,432","41,597","53,267",.,.,.,.,.,.
1,25,AL,Clarke County,"4,174","3,131","5,217",19,14.3,23.7,"1,386",938,"1,834",28.7,19.4,38,"1,020",669,"1,371",29.1,19.1,39.1,"50,868","44,973","56,763",.,.,.,.,.,.
1,27,AL,Clay County,"2,337","1,837","2,837",16.9,13.3,20.5,726,509,943,25,17.5,32.5,489,323,655,22.9,15.1,30.7,"52,077","45,838","58,316",.,.,.,.,.,.
1,29,AL,Cleburne County,"2,432","1,916","2,948",15.8,12.5,19.1,769,560,978,21.7,15.8,27.6,529,369,689,20.1,14,26.2,"59,526","52,148","66,904",.,.,.,.,.,.
1,31,AL,Coffee County,"9,055","7,810","10,300",16.5,14.2,18.8,"2,769","2,203","3,335",21,16.7,25.3,"2,140","1,717","2,563",21.7,17.4,26,"64,737","59,002","70,472",.,.,.,.,.,.
1,33,AL,Colbert County,"8,912","7,303","10,521",15.4,12.6,18.2,"2,507","1,832","3,182",20.5,15,26,"1,771","1,280","2,262",19.7,14.2,25.2,"57,770","52,928","62,612",.,.,.,.,.,.
1,35,AL,Conecuh County,"2,920","2,317","3,523",26.5,21,32,961,728,"1,194",43.1,32.7,53.5,686,503,869,42.6,31.2,54,"46,702","43,315","50,089",.,.,.,.,.,.
1,37,AL,Coosa County,"1,809","1,372","2,246",18.2,13.8,22.6,459,315,603,28,19.2,36.8,336,224,448,28.2,18.8,37.6,"59,736","55,224","64,248",.,.,.,.,.,.
1,39,AL,Covington County,"6,204","4,848","7,560",16.7,13.1,20.3,"1,863","1,261","2,465",22.4,15.1,29.7,"1,346",878,"1,814",21.9,14.3,29.5,"50,119","44,957","55,281",.,.,.,.,.,.
