Date,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Full Time Result,Half Time Home Goals,Half Time Away Goals,Haft Time Result,Home Red Cards,Away Red Cards,,,
5/8/22,Crystal Palace,Arsenal,0,2,A,0,1,A,0,0,,,P(Win | Red) = 
6/8/22,Fulham,Liverpool,2,2,D,1,0,H,0,0,,,P(Red | Win) = 
6/8/22,Bournemouth,Aston Villa,2,0,H,1,0,H,0,0,,,P(Red) = 
6/8/22,Leeds,Wolves,2,1,H,1,1,D,0,0,,,P(Win) = 
6/8/22,Newcastle,Nottingham,2,0,H,0,0,D,0,0,,,P(Win and Red) = 
6/8/22,Tottenham,Southampton,4,1,H,2,1,H,0,0,,,
6/8/22,Everton,Chelsea,0,1,A,0,1,A,0,0,,,
7/8/22,Leicester,Brentford,2,2,D,1,0,H,0,0,,,
7/8/22,Man United,Brighton,1,2,A,0,2,A,0,0,,,
7/8/22,West Ham,Man City,0,2,A,0,1,A,0,0,,,
13/08/2022,Aston Villa,Everton,2,1,H,1,0,H,0,0,,,
13/08/2022,Arsenal,Leicester,4,2,H,2,0,H,0,0,,,
13/08/2022,Brighton,Newcastle,0,0,D,0,0,D,0,0,,,
13/08/2022,Man City,Bournemouth,4,0,H,3,0,H,0,0,,,
13/08/2022,Southampton,Leeds,2,2,D,0,0,D,0,0,,,
13/08/2022,Wolves,Fulham,0,0,D,0,0,D,0,0,,,
13/08/2022,Brentford,Man United,4,0,H,4,0,H,0,0,,,
14/08/2022,Nottingham,West Ham,1,0,H,1,0,H,0,0,,,
14/08/2022,Chelsea,Tottenham,2,2,D,1,0,H,0,0,,,
15/08/2022,Liverpool,Crystal Palace,1,1,D,0,1,A,1,0,,,
20/08/2022,Tottenham,Wolves,1,0,H,0,0,D,0,0,,,
20/08/2022,Crystal Palace,Aston Villa,3,1,H,1,1,D,0,0,,,
20/08/2022,Everton,Nottingham,1,1,D,0,0,D,0,0,,,
20/08/2022,Fulham,Brentford,3,2,H,2,1,H,0,0,,,
20/08/2022,Leicester,Southampton,1,2,A,0,0,D,0,0,,,
20/08/2022,Bournemouth,Arsenal,0,3,A,0,2,A,0,0,,,
21/08/2022,Leeds,Chelsea,3,0,H,2,0,H,0,1,,,
21/08/2022,West Ham,Brighton,0,2,A,0,1,A,0,0,,,
21/08/2022,Newcastle,Man City,3,3,D,2,1,H,0,0,,,
22/08/2022,Man United,Liverpool,2,1,H,1,0,H,0,0,,,
27/08/2022,Southampton,Man United,0,1,A,0,0,D,0,0,,,
27/08/2022,Brentford,Everton,1,1,D,0,1,A,0,0,,,
27/08/2022,Brighton,Leeds,1,0,H,0,0,D,0,0,,,
27/08/2022,Chelsea,Leicester,2,1,H,0,0,D,1,0,,,
27/08/2022,Liverpool,Bournemouth,9,0,H,5,0,H,0,0,,,
27/08/2022,Man City,Crystal Palace,4,2,H,0,2,A,0,0,,,
27/08/2022,Arsenal,Fulham,2,1,H,0,0,D,0,0,,,
28/08/2022,Aston Villa,West Ham,0,1,A,0,0,D,0,0,,,
28/08/2022,Wolves,Newcastle,1,1,D,1,0,H,0,0,,,
28/08/2022,Nottingham,Tottenham,0,2,A,0,1,A,0,0,,,
30/08/2022,Crystal Palace,Brentford,1,1,D,0,0,D,0,0,,,
30/08/2022,Fulham,Brighton,2,1,H,0,0,D,0,0,,,
30/08/2022,Southampton,Chelsea,2,1,H,2,1,H,0,0,,,
30/08/2022,Leeds,Everton,1,1,D,0,1,A,0,0,,,
31/08/2022,Arsenal,Aston Villa,2,1,H,1,0,H,0,0,,,
