date,year,quarter,price,units_sold,mortgage_rate
2000-Q1,2000,1,199738,1352,6.53
2000-Q2,2000,2,204877,1543,6.55
2000-Q3,2000,3,211967,1863,6.65
2000-Q4,2000,4,211905,1769,6.67
2001-Q1,2001,1,211253,1596,6.73
2001-Q2,2001,2,216793,1811,6.75
2001-Q3,2001,3,224288,2161,6.68
2001-Q4,2001,4,223241,2037,6.62
2002-Q1,2002,1,222213,1839,6.59
2002-Q2,2002,2,228640,2120,6.56
2002-Q3,2002,3,236682,2540,6.48
2002-Q4,2002,4,236012,2413,6.43
2003-Q1,2003,1,235384,2178,6.30
2003-Q2,2003,2,242446,2469,5.85
2003-Q3,2003,3,250996,2960,5.95
2003-Q4,2003,4,250724,2807,5.92
2004-Q1,2004,1,255018,2543,5.84
2004-Q2,2004,2,264269,2881,6.13
2004-Q3,2004,3,273967,3450,5.89
2004-Q4,2004,4,277029,3258,5.74
2005-Q1,2005,1,282208,2953,5.76
2005-Q2,2005,2,292810,3345,5.72
2005-Q3,2005,3,303992,4008,5.76
2005-Q4,2005,4,308834,3797,6.22
2006-Q1,2006,1,314761,3439,6.24
2006-Q2,2006,2,325845,3891,6.60
2006-Q3,2006,3,337879,4630,6.56
2006-Q4,2006,4,342238,4283,6.25
2007-Q1,2007,1,346903,3758,6.22
2007-Q2,2007,2,356950,4064,6.37
2007-Q3,2007,3,367838,4634,6.55
2007-Q4,2007,4,362599,4053,6.22
2008-Q1,2008,1,354760,3322,5.87
2008-Q2,2008,2,350267,3499,6.09
2008-Q3,2008,3,345254,3762,6.32
2008-Q4,2008,4,335450,3279,5.86
2009-Q1,2009,1,324263,2688,5.06
2009-Q2,2009,2,319952,2911,5.03
2009-Q3,2009,3,315753,3262,5.16
2009-Q4,2009,4,310118,2936,4.92
2010-Q1,2010,1,304916,2563,5.00
2010-Q2,2010,2,303211,2896,4.91
2010-Q3,2010,3,299639,3187,4.45
2010-Q4,2010,4,293934,2836,4.41
2011-Q1,2011,1,288055,2437,4.84
2011-Q2,2011,2,284186,2770,4.66
2011-Q3,2011,3,279860,3084,4.31
2011-Q4,2011,4,275122,2762,3.97
2012-Q1,2012,1,274547,2489,3.91
2012-Q2,2012,2,277017,2834,3.79
2012-Q3,2012,3,282557,3202,3.56
2012-Q4,2012,4,283740,2947,3.38
2013-Q1,2013,1,286861,2736,3.50
2013-Q2,2013,2,292023,3126,3.69
2013-Q3,2013,3,299379,3538,4.44
2013-Q4,2013,4,301776,3245,4.30
2014-Q1,2014,1,304191,2932,4.36
2014-Q2,2014,2,309893,3336,4.23
2014-Q3,2014,3,317740,3775,4.14
2014-Q4,2014,4,319918,3465,3.97
2015-Q1,2015,1,321878,3133,3.72
2015-Q2,2015,2,328348,3567,3.83
2015-Q3,2015,3,336653,4039,3.95
2015-Q4,2015,4,339019,3703,3.90
2016-Q1,2016,1,341430,3351,3.74
2016-Q2,2016,2,348293,3811,3.59
2016-Q3,2016,3,357050,4307,3.45
2016-Q4,2016,4,359836,3947,3.81
2017-Q1,2017,1,362274,3572,4.17
2017-Q2,2017,2,369518,4065,3.99
2017-Q3,2017,3,378783,4592,3.89
2017-Q4,2017,4,381634,4210,3.92
2018-Q1,2018,1,384067,3810,4.27
2018-Q2,2018,2,391749,4330,4.54
2018-Q3,2018,3,401345,4879,4.57
2018-Q4,2018,4,403762,4445,4.78
2019-Q1,2019,1,405779,4018,4.37
2019-Q2,2019,2,413894,4571,4.00
2019-Q3,2019,3,424172,5154,3.67
2019-Q4,2019,4,427240,4706,3.74
2020-Q1,2020,1,430740,4196,3.51
2020-Q2,2020,2,435086,4285,3.23
2020-Q3,2020,3,448829,5280,3.00
2020-Q4,2020,4,465071,5042,2.88
