YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,DEGFIELD,DEGFIELDD,INCTOT,INCLOG10,EDU
2019,201901,583089,2.019E+12,128,2.01901E+12,80023,1,1,128,1,51,6,63,0,0,38500,4.58546073,12
2019,201901,409203,2.019E+12,71,2.019E+12,280013,1,2,75,0,24,6,63,0,0,15000,4.176091259,12
2019,201901,933278,2.019E+12,55,2.01901E+12,330037,1,1,56,1,67,7,71,0,0,9600,3.982271233,13
2019,201901,1284339,2.019E+12,174,2.01901E+12,630248,1,2,244,0,42,6,61,0,0,45000,4.653212514,12
2019,201901,801415,2.019E+12,107,2.01901E+12,30534,1,1,107,0,42,10,101,62,6203,100000,5,16
2019,201901,589446,2.019E+12,66,2.01901E+12,80424,1,2,85,0,31,10,101,41,4101,66000,4.819543936,16
2019,201901,335551,2.019E+12,37,2.019E+12,570112,1,2,105,1,28,11,114,52,5200,70000,4.84509804,17
2019,201901,230502,2.019E+12,54,2.019E+12,100208,1,1,54,1,84,5,50,0,0,23500,4.371067862,11
2019,201901,288903,2.019E+12,287,2.019E+12,1130012,1,1,286,0,27,7,71,0,0,25000,4.397940009,13
2019,201901,1046704,2.019E+12,47,2.01901E+12,130140,1,1,46,0,67,10,101,24,2499,70120,4.845841907,16
2019,201901,688503,2.019E+12,131,2.01901E+12,30026,1,1,131,1,32,11,114,55,5502,30000,4.477121255,17
2019,201901,592690,2.019E+12,16,2.01901E+12,130024,1,2,17,0,71,10,101,19,1902,95000,4.977723605,16
2019,201901,714765,2.019E+12,34,2.01901E+12,220027,1,1,34,1,19,7,71,0,0,2000,3.301029996,13
2019,201901,1272714,2.019E+12,14,2.01901E+12,640048,1,5,85,0,20,7,71,0,0,30000,4.477121255,13
2019,201901,474365,2.019E+12,29,2.019E+12,160217,1,1,29,0,68,6,63,0,0,35600,4.551449998,12
2019,201901,673237,2.019E+12,31,2.01901E+12,150026,1,2,32,1,62,8,81,0,0,65000,4.812913357,14
2019,201901,741415,2.019E+12,88,2.01901E+12,200129,1,2,92,1,65,7,71,0,0,1100,3.041392685,13
2019,201901,1084370,2.019E+12,71,2.01901E+12,180742,1,2,134,1,44,8,81,0,0,40000,4.602059991,14
2019,201901,1050984,2.019E+12,239,2.01901E+12,10041,1,1,239,1,71,10,101,23,2304,26000,4.414973348,16
2019,201901,682090,2.019E+12,177,2.01901E+12,210126,1,2,189,1,48,10,101,40,4005,1700,3.230448921,16
2019,201901,1168247,2.019E+12,54,2.01901E+12,160447,1,3,44,1,18,6,65,0,0,4100,3.612783857,12
2019,201901,902288,2.019E+12,53,2.01901E+12,100036,1,2,59,0,61,6,63,0,0,9700,3.986771734,12
2019,201901,665911,2.019E+12,164,2.01901E+12,10026,1,2,143,1,69,7,71,0,0,11700,4.068185862,13
2019,201901,1120880,2.019E+12,21,2.01901E+12,220042,1,3,31,1,94,6,63,0,0,23000,4.361727836,12
2019,201901,630550,2.019E+12,61,2.01901E+12,50225,1,1,61,0,59,4,40,0,0,36000,4.556302501,10
2019,201901,790017,2.019E+12,113,2.01901E+12,70033,1,1,113,0,22,7,71,0,0,4000,3.602059991,13
2019,201901,117433,2.019E+12,174,2.019E+12,373306,1,1,173,0,68,6,63,0,0,9600,3.982271233,12
2019,201901,710135,2.019E+12,18,2.01901E+12,190027,1,1,19,0,88,6,63,0,0,60100,4.778874472,12
2019,201901,318919,2.019E+12,34,2.019E+12,110812,1,1,33,0,54,7,71,0,0,25000,4.397940009,13
