,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE,AREA100
296306,1202H00136000000,15143,9/10/13,530960.0,2.0,2013.0,11.0,5.0,3.0,1.0,4435.0,13.182441967819807,44.35
125627,0382E00004000000,15132,12/31/79,3500.0,2.0,1925.0,8.0,4.0,2.0,0.0,2228.0,8.160518247477505,22.28
45045,0088S00003000000,15217,11/21/14,655000.0,2.0,2014.0,6.0,3.0,2.0,1.0,2976.0,13.39239051461739,29.76
171940,0299B00100000000,15221,5/31/18,200000.0,2.0,1928.0,6.0,3.0,1.0,1.0,2218.0,12.206072645530174,22.18
265608,0316R00212000000,15236,10/15/87,52000.0,1.0,1954.0,5.0,3.0,1.0,0.0,900.0,10.858998997563564,9.0
229708,0546M00215000000,15035,8/1/05,115710.0,1.5,1939.0,6.0,3.0,2.0,0.0,1461.0,11.658842339870382,14.61
205564,0168L00356000000,15215,8/2/85,52000.0,2.0,1979.0,5.0,3.0,1.0,1.0,1368.0,10.858998997563564,13.68
382891,0292B00032000000,15238,5/14/01,10.0,1.0,1970.0,7.0,3.0,1.0,0.0,1092.0,2.302585092994046,10.92
246104,0314G00040000000,15236,10/28/16,150000.0,1.0,1961.0,6.0,3.0,2.0,1.0,1898.0,11.918390573078392,18.98
407243,0047H00334000000,15212,9/24/02,30000.0,2.0,1905.0,3.0,1.0,1.0,1.0,1152.0,10.308952660644293,11.52
330212,2204N00279000000,15065,11/4/10,169500.0,1.5,1957.0,6.0,3.0,1.0,0.0,2601.0,12.040608205802641,26.01
347742,0806B00146000000,15108,6/8/76,38250.0,1.0,1950.0,6.0,3.0,1.0,0.0,1428.0,10.551898839254681,14.28
91901,0023F00122000000,15212,12/13/78,11000.0,2.0,1886.0,7.0,4.0,1.0,0.0,1620.0,9.305650551780507,16.2
194324,0302A00128000000,15104,4/8/81,12000.0,2.0,1910.0,6.0,3.0,1.0,0.0,1050.0,9.392661928770137,10.5
173937,0374B00073000000,15221,4/7/11,82500.0,2.0,1925.0,8.0,4.0,1.0,1.0,1688.0,11.320553572322773,16.88
363788,0825E00046000000,15237,6/3/14,258000.0,1.0,1961.0,7.0,3.0,1.0,1.0,1725.0,12.460714863903755,17.25
391494,0368H00335000000,15235,3/29/04,85900.0,1.0,1955.0,4.0,2.0,1.0,0.0,750.0,11.360939107972346,7.5
355258,0191B00196000000,15228,9/4/87,143200.0,2.0,1938.0,7.0,3.0,1.0,1.0,2148.0,11.871997533508683,21.48
260848,0888F00108161400,15102,11/21/16,122000.0,2.0,1982.0,4.0,2.0,1.0,1.0,1144.0,11.711776323715394,11.44
264712,0246F00182000000,15227,9/23/10,60000.0,1.5,1942.0,6.0,3.0,2.0,1.0,1256.0,11.002099841204238,12.56
381842,0290G00018000000,15238,6/13/03,340000.0,2.0,1955.0,8.0,4.0,2.0,1.0,2614.0,12.736700896592344,26.14
379111,0548S00153000000,15137,11/1/99,69900.0,1.0,1956.0,4.0,2.0,1.0,0.0,1200.0,11.154820928221902,12.0
397770,0535J00019000000,15147,1/31/13,111500.0,1.0,1964.0,6.0,3.0,1.0,2.0,1564.0,11.62177986988231,15.64
224720,0233D00251001300,15221,3/11/09,464000.0,1.0,1980.0,3.0,1.0,1.0,0.0,504.0,13.047639831208393,5.04
205398,0168K00166000000,15215,11/16/05,60000.0,2.0,1920.0,8.0,4.0,1.0,0.0,3113.0,11.002099841204238,31.13
362092,0714M00212000000,15237,7/11/15,249900.0,1.0,1978.0,6.0,3.0,1.0,1.0,1712.0,12.428816116823043,17.12
364591,0826J00051000000,15237,12/9/74,36000.0,1.0,1948.0,7.0,3.0,1.0,0.0,1372.0,10.491274217438248,13.72
336083,0156H00147000000,15108,12/15/04,130000.0,1.0,1956.0,5.0,3.0,1.0,1.0,1230.0,11.77528972943772,12.3
139226,0215S00231000000,15202,3/9/18,95000.0,2.5,1900.0,8.0,4.0,2.0,0.0,2194.0,11.461632170582678,21.94
41637,0086C00043000000,15217,12/29/87,160000.0,2.5,1924.0,9.0,6.0,2.0,1.0,3206.0,11.982929094215963,32.06
149495,0066K00034000000,15106,2/24/10,74900.0,2.0,1935.0,6.0,2.0,1.0,0.0,1200.0,11.22390916950531,12.0
280007,0979R00137000000,15146,10/8/86,85500.0,1.0,1940.0,7.0,3.0,2.0,1.0,1735.0,11.356271654924852,17.35
271408,1006C00050005400,15025,6/2/14,35000.0,1.0,1985.0,3.0,1.0,1.0,0.0,716.0,10.46310334047155,7.16
161001,0068G00264000000,15205,1/29/15,222500.0,2.0,1950.0,8.0,3.0,1.0,2.0,1874.0,12.312682380588432,18.74
339699,1999F00025000000,15086,2/29/88,12900.0,1.0,1940.0,6.0,3.0,1.0,0.0,728.0,9.464982590349763,7.28
277820,0857K00233010300,15146,3/30/15,157000.0,1.5,1995.0,5.0,2.0,2.0,0.0,1598.0,11.964001084330445,15.98
240773,0471H00243000000,15236,10/22/02,75000.0,1.0,1955.0,6.0,3.0,2.0,0.0,1065.0,11.225243392518447,10.65
157421,0341D00089000000,15108,7/30/93,12500.0,2.0,1930.0,6.0,2.0,1.0,0.0,1084.0,9.433483923290392,10.84
53714,0056P00154000000,15207,6/30/06,7500.0,2.5,1899.0,8.0,5.0,1.0,0.0,2792.0,8.922658299524402,27.92
304621,0959H00214000000,15030,1/7/03,40000.0,2.0,1910.0,8.0,4.0,2.0,0.0,2000.0,10.596634733096073,20.0
104798,0040L00039000000,15205,2/27/15,152500.0,2.0,1929.0,8.0,4.0,2.0,0.0,2698.0,11.934919875029603,26.98
17346,0051D00122000000,15232,6/13/13,253000.0,2.5,1907.0,12.0,7.0,3.0,1.0,4450.0,12.441144767709657,44.5
269800,0768P00080000000,15025,6/17/10,95500.0,1.0,1953.0,4.0,2.0,1.0,0.0,832.0,11.466881526468821,8.32
255887,0567P00074000000,15102,8/15/86,73000.0,1.0,1965.0,6.0,2.0,1.0,1.0,1329.0,11.198214720130528,13.29
401211,0632S00234000000,15235,10/30/95,33000.0,2.0,1925.0,4.0,2.0,1.0,0.0,1024.0,10.404262840448617,10.24
260082,0887A0024000A800,15102,4/17/14,98500.0,2.0,1987.0,5.0,2.0,1.0,1.0,1056.0,11.49781182716018,10.56
389071,0364H00063000000,15147,7/18/18,44000.0,2.0,1927.0,7.0,3.0,2.0,0.0,1338.0,10.691944912900398,13.38
47763,0129H00008000000,15218,6/4/14,147000.0,2.0,1939.0,6.0,3.0,2.0,1.0,1256.0,11.898187865760873,12.56
278793,0859M00107000000,15146,8/5/83,74500.0,1.0,1974.0,6.0,3.0,1.0,0.0,1518.0,11.218554404367652,15.18
161925,0062N00267000000,15226,9/25/12,91500.0,2.0,1924.0,7.0,4.0,1.0,1.0,2710.0,11.424094251263613,27.1
174081,0374B00144000000,15221,5/27/80,44000.0,2.0,1930.0,6.0,3.0,1.0,0.0,1220.0,10.691944912900398,12.2
14389,0084K00026000000,15232,10/24/96,939000.0,2.5,1900.0,11.0,5.0,3.0,0.0,2947.0,13.7525707581904,29.47
398383,0537R00197000000,15235,3/18/03,93000.0,2.0,1967.0,5.0,3.0,1.0,0.0,1410.0,11.440354772135393,14.1
403245,1502C00001000000,15044,4/26/04,111000.0,2.0,2005.0,10.0,4.0,3.0,2.0,4058.0,11.617285480294472,40.58
199923,0747A00034000000,15140,3/11/91,25000.0,2.0,1906.0,12.0,6.0,2.0,0.0,3341.0,10.126631103850338,33.41
62668,0004S00252000000,15211,11/12/86,16000.0,2.5,1920.0,5.0,3.0,1.0,0.0,1856.0,9.680344001221918,18.56
11690,0048M00035000000,15201,10/27/14,417083.0,3.0,2014.0,8.0,3.0,2.0,1.0,2138.0,12.94104052174234,21.38
