,Unnamed: 0,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,DEGFIELD,DEGFIELDD,INCTOT,INCLOG10,EDU
619,1335639,2019,201901,583089,2019000700547,128.0,2019005830891,80023,1,1,128.0,1.0,51,6,63,0,0,38500,4.585460729508501,12.0
531,950207,2019,201901,409203,2019001377206,71.0,2019004092031,280013,1,2,75.0,0.0,24,6,63,0,0,15000,4.176091259055681,12.0
556,2117874,2019,201901,933278,2019000145752,55.0,2019009332781,330037,1,1,56.0,1.0,67,7,71,0,0,9600,3.9822712330395684,13.0
256,2905840,2019,201901,1284339,2019001153889,174.0,2019012843391,630248,1,2,244.0,0.0,42,6,61,0,0,45000,4.653212513775344,12.0
50,1818924,2019,201901,801415,2019000335128,107.0,2019008014151,30534,1,1,107.0,0.0,42,10,101,62,6203,100000,5.0,16.0
383,1346281,2019,201901,589446,2019000036106,66.0,2019005894461,80424,1,2,85.0,0.0,31,10,101,41,4101,66000,4.819543935541868,16.0
782,782086,2019,201901,335551,2019000920954,37.0,2019003355511,570112,1,2,105.0,1.0,28,11,114,52,5200,70000,4.845098040014257,17.0
704,554549,2019,201901,230502,2019000391725,54.0,2019002305021,100208,1,1,54.0,1.0,84,5,50,0,0,23500,4.371067862271737,11.0
659,675210,2019,201901,288903,2019000154699,287.0,2019002889031,1130012,1,1,286.0,0.0,27,7,71,0,0,25000,4.3979400086720375,13.0
691,2370413,2019,201901,1046704,2019001388620,47.0,2019010467041,130140,1,1,46.0,0.0,67,10,101,24,2499,70120,4.845841907421757,16.0
482,1570068,2019,201901,688503,2019001372029,131.0,2019006885031,30026,1,1,131.0,1.0,32,11,114,55,5502,30000,4.477121254719663,17.0
253,1354405,2019,201901,592690,2019000229962,16.0,2019005926901,130024,1,2,17.0,0.0,71,10,101,19,1902,95000,4.977723605288848,16.0
100,1629349,2019,201901,714765,2019001406149,34.0,2019007147651,220027,1,1,34.0,1.0,19,7,71,0,0,2000,3.3010299956639813,13.0
349,2876268,2019,201901,1272714,2019000995591,14.0,2019012727141,640048,1,5,85.0,0.0,20,7,71,0,0,30000,4.477121254719663,13.0
864,1098630,2019,201901,474365,2019001285204,29.0,2019004743651,160217,1,1,29.0,0.0,68,6,63,0,0,35600,4.551449997972875,12.0
881,1534303,2019,201901,673237,2019000845987,31.0,2019006732371,150026,1,2,32.0,1.0,62,8,81,0,0,65000,4.812913356642856,14.0
797,1684764,2019,201901,741415,2019000533160,88.0,2019007414151,200129,1,2,92.0,1.0,65,7,71,0,0,1100,3.041392685158225,13.0
909,2446394,2019,201901,1084370,2019000298165,71.0,2019010843701,180742,1,2,134.0,1.0,44,8,81,0,0,40000,4.6020599913279625,14.0
214,2378058,2019,201901,1050984,2019000176552,239.0,2019010509841,10041,1,1,239.0,1.0,71,10,101,23,2304,26000,4.414973347970818,16.0
39,1555031,2019,201901,682090,2019001150102,177.0,2019006820901,210126,1,2,189.0,1.0,48,10,101,40,4005,1700,3.230448921378274,16.0
60,2631636,2019,201901,1168247,2019000344124,54.0,2019011682471,160447,1,3,44.0,1.0,18,6,65,0,0,4100,3.6127838567197355,12.0
656,2050381,2019,201901,902288,2019001023285,53.0,2019009022881,100036,1,2,59.0,0.0,61,6,63,0,0,9700,3.9867717342662448,12.0
898,1517166,2019,201901,665911,2019000589015,164.0,2019006659111,10026,1,2,143.0,1.0,69,7,71,0,0,11700,4.068185861746161,13.0
336,2530912,2019,201901,1120880,2019001277123,21.0,2019011208801,220042,1,3,31.0,1.0,94,6,63,0,0,23000,4.361727836017593,12.0
922,1439423,2019,201901,630550,2019000686117,61.0,2019006305501,50225,1,1,61.0,0.0,59,4,40,0,0,36000,4.556302500767287,10.0
921,1795627,2019,201901,790017,2019001411732,113.0,2019007900171,70033,1,1,113.0,0.0,22,7,71,0,0,4000,3.6020599913279625,13.0
176,256248,2019,201901,117433,2019000323610,174.0,2019001174331,373306,1,1,173.0,0.0,68,6,63,0,0,9600,3.9822712330395684,12.0
599,1618119,2019,201901,710135,2019001118484,18.0,2019007101351,190027,1,1,19.0,0.0,88,6,63,0,0,60100,4.778874472002739,12.0
589,743949,2019,201901,318919,2019000645454,34.0,2019003189191,110812,1,1,33.0,0.0,54,7,71,0,0,25000,4.3979400086720375,13.0
408,788336,2019,201901,338272,2019000963941,77.0,2019003382721,991112,1,1,77.0,0.0,27,10,101,61,6107,55000,4.740362689494244,16.0
852,1341693,2019,201901,585848,2019001378348,41.0,2019005858481,30023,1,1,40.0,0.0,73,7,71,0,0,43400,4.63748972951251,13.0
174,1695308,2019,201901,745982,2019000783986,85.0,2019007459821,100229,1,3,123.0,0.0,23,10,101,41,4101,5000,3.6989700043360187,16.0
855,1521552,2019,201901,667793,2019000653795,96.0,2019006677931,300226,1,2,100.0,1.0,69,11,114,23,2304,63900,4.8055008581584,17.0
885,2790320,2019,201901,1238764,2019000532433,23.0,2019012387641,130048,1,1,23.0,1.0,83,6,61,0,0,15000,4.176091259055681,12.0
35,431717,2019,201901,182879,2019001005874,69.0,2019001828791,591206,1,2,60.0,1.0,37,6,63,0,0,11000,4.041392685158225,12.0
669,2970950,2019,201901,1309808,2019000728797,40.0,2019013098081,4900349,1,2,30.0,0.0,31,11,114,60,6005,75000,4.8750612633917,17.0
989,3237901,2019,201901,1427365,2019001020926,83.0,2019014273651,30056,1,2,86.0,0.0,58,8,81,0,0,120000,5.079181246047625,14.0
