State,GDP_Per_Cap,Birth_Rate,Republican
NY,92341,8.5,0
MA,88790,5.8,0
WA,88215,9.7,0
CA,85340,9.1,0
CT,80006,6.8,0
DE,75721,13.5,0
ND,75218,11.2,1
CO,74747,10.9,0
AK,74150,16,1
NE,72756,13.1,1
NJ,71464,7.5,0
IL,70443,10.7,0
VA,69918,10.7,0
TX,69425,19.4,1
MD,69005,10.8,0
WY,68950,12.6,1
NH,68488,4.6,0
MN,68237,7.8,0
UT,67278,8.7,1
GA,62703,16.5,1
PA,62585,9.8,1
KS,62520,15.1,1
HI,62428,11.3,0
SD,62182,16.6,1
OR,62061,9.4,0
IA,62038,11.8,1
NV,61491,13.1,1
OH,61200,14.6,1
IN,60580,15.7,1
NC,59926,14.8,1
TN,59806,20.4,1
WI,59399,9.9,1
RI,58690,7.5,0
FL,57317,12.7,1
AZ,57207,14.3,1
MO,57106,15.9,1
MI,55819,10.9,1
LA,55771,23.1,1
VT,55577,5.7,0
ME,55144,7.2,0
NM,52952,17.9,0
OK,51957,20.6,1
MT,51458,11.8,1
KY,50102,20.7,1
SC,49887,17.1,1
ID,49761,10.5,1
AL,48988,20.1,1
AR,47989,23.8,1
WV,47262,18.5,1
MS,41603,24.9,1
