Year,Postseason Rank,Team,Total Attendance,Avg. Attendance,Approx. Payroll,Payroll %,W-L Record,W Record,L Record,Run Difference,Regular Season Rank,Total Games,Runs/Games,Hits,Stolen Bases,Walks,Stike Outs,Batting Average,On Base %,Slugging %,Avg Attendance % Capacity,,,,,,
2024,13,AZ Diamondbacks,"2,341,876.00","28,912.00","$161,660,152 ",3.17,0.54938,89,73,0.6,8,162,5.47,1452,119,569,1265,0.263,0.337,0.44,,,,,,,
2024,10,ATL Braves,"3,011,755.00","37,182.00","$241,662,300 ",4.75,0.54938,89,73,0.6,9,162,4.35,1333,69,485,1461,0.243,0.309,0.415,,,,,,,
2024,11,BAL Orioles,"2,281,129.00","28,162.00","$117,347,715 ",2.3,0.56173,91,71,0.5,7,162,4.85,1391,98,489,1359,0.25,0.315,0.435,,,,,,,
2024,18,BOS Red Sox,"2,659,949.00","32,839.00","$160,834,775 ",3.16,0.5,81,81,0,18,162,4.64,1404,144,493,1570,0.252,0.319,0.423,,,,,,,
2024,15,CHI Cubs,"2,909,794.00","35,923.00","$223,048,500 ",4.38,0.51235,83,79,0.4,16,162,4.54,1318,143,546,1362,0.242,0.317,0.393,,,,,,,
2024,30,CHI White Sox,"1,380,733.00","17,046.00","$137,170,125 ",2.69,0.25309,41,121,-1.9,30,162,3.13,1187,90,395,1403,0.221,0.278,0.34,,,,,,,
2024,22,CIN Reds,"2,024,178.00","24,990.00","$98,323,334 ",1.93,0.47531,77,85,0,22,162,4.31,1230,207,496,1459,0.231,0.305,0.388,,,,,,Total MLB Payroll,
2024,4,CLE Guardians,"2,056,264.00","25,703.00","$94,230,728 ",1.85,0.57143,92,69,0.5,6,161,4.4,1263,148,466,1196,0.238,0.307,0.395,,,,,,2024,"$5,092,003,034 "
2024,29,COL Rockies,"2,540,195.00","31,360.00","$147,069,963 ",2.89,0.37654,61,101,-1.5,29,162,4.21,1319,85,453,1617,0.242,0.304,0.4,,,,,,2023,"$4,648,236,381 "
2024,8,DET Tigers,"1,858,295.00","22,942.00","$105,584,833 ",2.07,0.53086,86,76,0.2,12,162,4.21,1273,76,476,1461,0.234,0.3,0.385,,,,,,2022,"$4,998,125,653 "
2024,12,HOU Astros,"2,835,234.00","35,003.00","$275,678,766 ",5.41,0.54658,88,73,0.6,11,161,4.6,1448,93,448,1176,0.262,0.322,0.418,,,,,,2021,"$4,598,726,310 "
2024,6,KAS Royals,"1,658,347.00","20,473.00","$113,442,261 ",2.23,0.53086,86,76,0.6,13,162,4.54,1343,134,429,1161,0.248,0.306,0.403,,,,,,2020,"$4,983,983,777 "
2024,27,LA Angels,"2,577,597.00","31,822.00","$165,637,050 ",3.25,0.38889,63,99,-1,27,162,3.92,1227,133,482,1416,0.229,0.301,0.369,,,,,,2019,"$4,571,105,696 "
2024,1,LA Dodgers,"3,941,251.00","48,657.00","$262,386,278 ",5.15,0.61635,98,61,1,1,159,5.2,1423,136,602,1336,0.258,0.335,0.446,,,,,,2018,"$4,927,409,353 "
2024,28,MIA Marlins,"1,087,455.00","13,425.00","$109,992,600 ",2.16,0.38272,62,100,-1.3,28,162,3.93,1347,125,403,1410,0.244,0.3,0.378,,,,,,2017,"$4,566,004,829 "
2024,9,MIL Brewers,"2,537,202.00","31,323.00","$115,142,460 ",2.26,0.57407,93,69,0.8,4,162,4.8,1359,217,597,1459,0.248,0.326,0.403,,,,,,2016,"$4,882,847,853 "
2024,17,MIN Twins,"1,951,616.00","24,094.00","$135,262,591 ",2.66,0.50617,82,80,0,17,162,4.58,1352,65,473,1306,0.246,0.315,0.411,,,,,,2015,"$4,595,854,648 "
2024,3,NY Mets,"2,329,299.00","28,757.00","$262,702,250 ",5.16,0.54938,89,73,0.4,10,162,4.74,1357,106,514,1382,0.246,0.319,0.415,,,,,,2014,"$4,905,075,575 "
2024,2,NY Yankees,"3,309,838.00","40,862.00","$291,463,084 ",5.72,0.58025,94,68,0.9,3,162,5.03,1352,88,672,1326,0.248,0.333,0.429,,,,,,2013,"$4,551,317,130 "
2024,7,PHI Phillies,"3,363,712.00","41,527.00","$248,632,283 ",4.88,0.58642,95,67,0.7,2,162,4.84,1423,148,515,1370,0.257,0.325,0.425,,,,,,2011,"$4,474,940,989 "
2024,23,PIT Pirates,"1,720,361.00","21,239.00","$97,476,500 ",1.91,0.46914,76,86,-0.5,23,162,4.1,1283,106,485,1506,0.234,0.301,0.371,,,,,,2010,"$4,862,135,683 "
2024,5,SD Padres,"3,330,545.00","41,118.00","$159,391,555 ",3.13,0.57407,93,69,0.6,5,162,4.69,1456,120,458,1077,0.263,0.324,0.42,,,,,,,
2024,19,SF Giants,"2,647,736.00","32,688.00","$232,370,883 ",4.56,0.49383,80,82,0,20,162,4.17,1195,140,571,1625,0.224,0.311,0.376,,,,,,,
2024,14,SEA Mariners,"2,555,813.00","31,553.00","$142,547,548 ",2.8,0.52469,85,77,0.4,14,162,4.28,1303,68,492,1452,0.239,0.305,0.396,,,,,,,
2024,16,STL Cardinals,"2,878,115.00","35,532.00","$189,534,400 ",3.72,0.51235,83,79,-0.3,15,162,4.15,1363,91,478,1318,0.248,0.312,0.392,,,,,,,
2024,20,TB Rays,"1,337,739.00","16,515.00","$128,533,112 ",2.52,0.49383,80,82,-0.4,19,162,3.73,1241,178,493,1485,0.23,0.302,0.366,,,,,,,
2024,21,TEX Rangers,"2,651,553.00","32,735.00","$261,471,834 ",5.13,0.48148,78,84,-0.3,21,162,4.22,1302,97,490,1284,0.238,0.305,0.38,,,,,,,
2024,24,TOR Blue Jays,"2,681,236.00","33,102.00","$225,628,287 ",4.43,0.45679,74,88,-0.4,24,162,4.14,1306,72,510,1233,0.241,0.313,0.389,,,,,,,
2024,25,WAS Nationals,"1,967,302.00","24,288.00","$132,086,867 ",2.59,0.43827,71,91,-0.6,25,162,4.07,1306,223,456,1220,0.243,0.309,0.375,,,,,,,
2023,2,AZ Diamondbacks,"1,961,182.00","24,212.00","$115,247,571 ",2.48,0.51852,84,78,-0.1,12,162,4.6,1359,166,540,1247,0.25,0.322,0.408,,,,,,,
2023,7,ATL Braves,"3,191,505.00","39,401.00","$194,197,500 ",4.18,0.64198,104,58,1.4,1,162,5.85,1543,132,538,1289,0.276,0.344,0.501,,,,,,,
2023,5,BAL Orioles,"1,936,798.00","23,911.00","$82,758,114 ",1.78,0.62346,101,61,0.8,2,162,4.98,1399,114,512,1370,0.255,0.321,0.421,,,,,,,
2023,20,BOS Red Sox,"2,672,130.00","32,989.00","$181,282,500 ",3.9,0.48148,78,84,0,20,162,4.77,1437,112,486,1372,0.258,0.324,0.424,,,,,,,
2023,14,CHI Cubs,"2,775,149.00","34,261.00","$162,918,250 ",3.5,0.51235,83,79,0.6,14,162,5.06,1399,140,570,1391,0.254,0.33,0.421,,,,,,,
2023,27,CHI White Sox,"1,669,628.00","20,613.00","$140,725,951 ",3.03,0.37654,61,101,-1.2,27,162,3.96,1308,86,377,1424,0.238,0.291,0.384,,,,,,,
2023,16,CIN Reds,"2,038,302.00","25,164.00","$77,877,833 ",1.68,0.50617,82,80,-0.2,17,162,4.83,1371,190,556,1500,0.249,0.327,0.42,,,,,,,
2023,21,CLE Guardians,"1,834,068.00","22,643.00","$70,114,729 ",1.51,0.46914,76,86,-0.2,22,162,4.09,1379,151,471,1142,0.25,0.313,0.381,,,,,,,
2023,28,COL Rockies,"2,607,935.00","32,197.00","$155,645,682 ",3.35,0.3642,59,103,-1.5,28,162,4.45,1368,76,447,1543,0.249,0.31,0.405,,,,,,,
2023,19,DET Tigers,"1,612,876.00","19,912.00","$119,236,836 ",2.57,0.48148,78,84,-0.5,19,162,4.08,1292,85,508,1473,0.236,0.305,0.382,,,,,,,
2023,3,HOU Astros,"3,052,347.00","37,683.00","$240,388,766 ",5.17,0.55556,90,72,0.8,7,162,5.1,1441,107,550,1241,0.259,0.331,0.437,,,,,,,
2023,29,KAS Royals,"1,307,052.00","16,136.00","$88,186,975 ",1.9,0.34568,56,106,-1.1,29,162,4.17,1325,163,411,1396,0.244,0.303,0.398,,,,,,,
2023,24,LA Angels,"2,640,575.00","32,600.00","$218,537,055 ",4.7,0.45062,73,89,-0.6,24,162,4.56,1346,72,518,1524,0.245,0.317,0.426,,,,,,,
2023,6,LA Dodgers,"3,837,079.00","47,371.00","$227,091,667 ",4.89,0.61728,100,62,1.3,3,162,5.59,1422,105,644,1359,0.257,0.34,0.455,,,,,,,
2023,10,MIA Marlins,"1,162,819.00","14,356.00","$114,351,500 ",2.46,0.51852,84,78,-0.4,13,162,4.11,1423,86,430,1287,0.259,0.316,0.405,,,,,,,
2023,9,MIL Brewers,"2,551,347.00","31,498.00","$138,288,760 ",2.98,0.5679,92,70,0.5,5,162,4.49,1290,129,591,1412,0.24,0.319,0.385,,,,,,,
2023,11,MIN Twins,"1,974,124.00","24,372.00","$137,798,640 ",2.96,0.53704,87,75,0.7,11,162,4.8,1336,86,594,1654,0.243,0.326,0.428,,,,,,,
2023,23,NY Mets,"2,573,555.00","31,772.00","$208,427,344 ",4.48,0.46296,75,87,-0.1,23,162,4.43,1276,118,525,1331,0.238,0.316,0.407,,,,,,,
2023,17,NY Yankees,"3,269,016.00","40,358.00","$259,417,008 ",5.58,0.50617,82,80,-0.2,15,162,4.15,1207,100,557,1427,0.227,0.304,0.397,,,,,,,
2023,30,OAK Athletics,"832,352.00","10,276.00","$51,230,000 ",1.1,0.30864,50,112,-2.1,30,162,3.61,1187,149,498,1496,0.223,0.298,0.37,,,,,,,
2023,4,PHI Phillies,"3,052,605.00","37,686.00","$241,362,606 ",5.19,0.55556,90,72,0.5,8,162,4.91,1417,141,539,1481,0.256,0.327,0.438,,,,,,,
2023,22,PIT Pirates,"1,630,624.00","20,131.00","$72,407,500 ",1.56,0.46914,76,86,-0.6,21,162,4.27,1293,117,556,1464,0.239,0.315,0.392,,,,,,,
2023,15,SD Padres,"3,271,554.00","40,390.00","$236,200,139 ",5.08,0.50617,82,80,0.6,16,162,4.64,1316,137,653,1311,0.244,0.329,0.413,,,,,,,
2023,18,SF Giants,"2,690,418.00","33,215.00","$128,155,663 ",2.76,0.48765,79,83,-0.3,18,162,4.68,1332,118,548,1603,0.242,0.321,0.413,,,,,,,
2023,13,SEA Mariners,"2,500,153.00","30,866.00","$177,920,416 ",3.83,0.54321,88,74,0.6,10,162,4.16,1271,57,544,1492,0.235,0.312,0.383,,,,,,,
2023,25,STL Cardinals,"3,241,091.00","40,013.00","$174,086,450 ",3.75,0.43827,71,91,-0.7,25,162,4.44,1376,101,570,1326,0.25,0.326,0.416,,,,,,,
2023,8,TB Rays,"1,440,301.00","17,781.00","$75,441,212 ",1.62,0.61111,99,63,1.2,4,162,5.31,1432,160,514,1420,0.26,0.331,0.445,,,,,,,
2023,1,TEX Rangers,"2,533,044.00","31,272.00","$248,537,867 ",5.35,0.55556,90,72,1,6,162,5.44,1470,79,599,1416,0.263,0.337,0.452,,,,,,,
