,country,Code,year,gini,World regions according to OWID
0,Afghanistan,AFG,2023,,Asia
1,Aland Islands,ALA,2023,,Europe
2,Albania,ALB,2023,,Europe
3,Algeria,DZA,2023,,Africa
4,American Samoa,ASM,2023,,Oceania
5,Andorra,AND,2023,,Europe
6,Angola,AGO,2023,,Africa
7,Anguilla,AIA,2023,,North America
8,Antigua and Barbuda,ATG,2023,,North America
9,Argentina,ARG,2023,,South America
10,Argentina (urban),,2024,0.42353317,
11,Armenia,ARM,2023,0.2715465,Asia
12,Aruba,ABW,2023,,North America
13,Australia,AUS,2023,,Oceania
14,Austria,AUT,2023,0.3120468,Europe
15,Austria-Hungary,OWID_AUH,2023,,Europe
16,Azerbaijan,AZE,2023,,Asia
17,Bahamas,BHS,2023,,North America
18,Bahrain,BHR,2023,,Asia
19,Bangladesh,BGD,2023,,Asia
20,Barbados,BRB,2023,,North America
21,Belarus,BLR,2023,,Europe
22,Belgium,BEL,2023,0.26823103,Europe
23,Belize,BLZ,2023,,North America
24,Benin,BEN,2023,,Africa
25,Bermuda,BMU,2023,,North America
26,Bhutan,BTN,2023,,Asia
27,Bolivia,BOL,2023,0.42050114,South America
28,Bolivia (urban),,1992,0.49072397,
29,Bonaire Sint Eustatius and Saba,BES,2023,,North America
30,Bosnia and Herzegovina,BIH,2023,,Europe
31,Botswana,BWA,2023,,Africa
32,Brazil,BRA,2023,0.5163944,South America
33,British Indian Ocean Territory,IOT,2023,,Asia
34,British Virgin Islands,VGB,2023,,North America
35,Brunei,BRN,2023,,Asia
36,Bulgaria,BGR,2023,0.39470536,Europe
37,Burkina Faso,BFA,2023,,Africa
38,Burundi,BDI,2023,,Africa
39,Cambodia,KHM,2023,,Asia
40,Cameroon,CMR,2023,,Africa
41,Canada,CAN,2023,,North America
42,Cape Verde,CPV,2023,,Africa
43,Cayman Islands,CYM,2023,,North America
44,Central African Republic,CAF,2023,,Africa
45,Chad,TCD,2023,,Africa
46,Chile,CHL,2023,,South America
47,China,CHN,2023,,Asia
48,China (rural),,2022,0.3169194,
49,China (urban),,2022,0.35928813,
50,Christmas Island,CXR,2023,,Asia
51,Cocos Islands,CCK,2023,,Asia
52,Colombia,COL,2023,0.53881925,South America
53,Colombia (urban),,1991,0.51318896,
54,Comoros,COM,2023,,Africa
55,Congo,COG,2023,,Africa
56,Cook Islands,COK,2023,,Oceania
57,Costa Rica,CRI,2024,0.4582914,
58,Cote d'Ivoire,CIV,2023,,Africa
59,Croatia,HRV,2023,0.30105957,Europe
60,Cuba,CUB,2023,,North America
61,Curacao,CUW,2023,,North America
62,Cyprus,CYP,2023,0.318384,Europe
63,Czechia,CZE,2023,0.25713998,Europe
64,Czechoslovakia,OWID_CZS,2023,,Europe
65,Democratic Republic of Congo,COD,2023,,Africa
66,Democratic Republic of Vietnam,,2023,,Asia
67,Denmark,DNK,2023,0.2992485,Europe
