,country,Code,year,life_expectancy
0,Afghanistan,AFG,2023,66.0346
1,Africa,,2023,63.8428
2,Albania,ALB,2023,79.6019
3,Algeria,DZA,2023,76.261
4,American Samoa,ASM,2023,72.8518
5,Americas,,2023,77.2922
6,Andorra,AND,2023,84.0406
7,Angola,AGO,2023,64.617
8,Anguilla,AIA,2023,79.3115
9,Antigua and Barbuda,ATG,2023,77.5976
10,Argentina,ARG,2023,77.3947
11,Armenia,ARM,2023,75.6827
12,Aruba,ABW,2023,76.353
13,Asia,,2023,74.5661
14,Australia,AUS,2023,83.9228
15,Austria,AUT,2023,81.9559
16,Azerbaijan,AZE,2023,74.4286
17,Bahamas,BHS,2023,74.5518
18,Bahrain,BHR,2023,81.2835
19,Bangladesh,BGD,2023,74.6723
20,Barbados,BRB,2023,76.1782
21,Belarus,BLR,2023,74.4339
22,Belgium,BEL,2023,82.115
23,Belize,BLZ,2023,73.5656
24,Benin,BEN,2023,60.7738
25,Bermuda,BMU,2023,82.3089
26,Bhutan,BTN,2023,72.9753
27,Bolivia,BOL,2023,68.5814
28,Bonaire Sint Eustatius and Saba,BES,2023,77.4355
29,Bosnia and Herzegovina,BIH,2023,77.8504
30,Botswana,BWA,2023,69.1631
31,Brazil,BRA,2023,75.8482
32,British Virgin Islands,VGB,2023,77.2758
33,Brunei,BRN,2023,75.3266
34,Bulgaria,BGR,2023,75.6363
35,Burkina Faso,BFA,2023,61.092
36,Burundi,BDI,2023,63.6511
37,Cambodia,KHM,2023,70.6675
38,Cameroon,CMR,2023,63.6996
39,Canada,CAN,2023,82.6302
40,Cape Verde,CPV,2023,76.0587
41,Cayman Islands,CYM,2023,80.3576
42,Central African Republic,CAF,2023,57.4077
43,Chad,TCD,2023,55.0692
44,Chile,CHL,2023,81.1667
45,China,CHN,2023,77.9529
46,Colombia,COL,2023,77.7246
47,Comoros,COM,2023,66.7768
48,Congo,COG,2023,65.772
49,Cook Islands,COK,2023,75.2818
50,Costa Rica,CRI,2023,80.7995
51,Cote d'Ivoire,CIV,2023,61.9438
52,Croatia,HRV,2023,78.5803
53,Cuba,CUB,2023,78.0855
54,Curacao,CUW,2023,76.7996
55,Cyprus,CYP,2023,81.648
56,Czechia,CZE,2023,79.8341
